sentence_lemma	sentence_token	index_lemma	index_token	lemma
denn d arm Leutchen müssen an diese eine Tag $ die sie vergönnen sein $ alle Manier und Stimmung d Liebe durchleben und sowohl d verloren Tag d zart Zeit nachholen als d leidenschaftlich Ende vorausnehmen mit d Hingabe ihr Leben $	Denn die armen Leutchen mußten an diesem einen Tage , der ihnen vergönnt war , alle Manieren und Stimmungen der Liebe durchleben und sowohl die verlorenen Tage der zarteren Zeit nachholen als das leidenschaftliche Ende vorausnehmen mit der Hingabe ihres Lebens .	12	12	vergnnen
nun Großvater $ reden $ deine Alte werden es uns nicht vergönnen $ $	Nun Großvater , rede , deine Alte wird es uns nicht vergönnen . “	11	11	vergnnen
in wenig Jahr $ mit mäßig Mühe sollen wir erlernen $ wozu man d jung Mann ruhig seine zehn $ zwölf Jahr vergönnen $ und daneben sollen wir von unsere acht bis in unsere fünfzehnt Jahr $ wo möglich noch Klaviervirtuosein werden $ Englisch und Französisch und Italienisch lernen $ nach d Natur zeichnen $ in fein Handarbeit und in häuslich Handarbeit bewandert und üben sein $ und Tanzen lernen haben $ $	In wenig Jahren , mit mäßiger Mühe sollen wir erlernen , wozu man dem jungen Manne ruhig seine zehn , zwölf Jahre vergönnt , und daneben sollen wir von unserm achten bis in unser fünfzehntes Jahr , wo möglich noch Claviervirtuosin werden , Englisch und Französisch und Italienisch lernen , nach der Natur zeichnen , in feinen Handarbeiten und in häuslichen Handarbeiten bewandert und geübt sein , und Tanzen gelernt haben . —	22	22	vergnnen
was so wenige vergönnen sein $ er haben d Grabmal d Cajus Cestius besuchen $ und d uralt Gemälde d durch d Fackeldampf neugierig Kunstverehrer geschwärzt Wand d Pyramide mit Kennerblick beschauen $ mit eine Wort $ es sein er nichts entgehen $ er haben mit wahr Reisegenie seine Zeit hinbringen und die müssen man er lassen $ er sein schön wie d Sonnengott $	Was so wenigen vergönnt ist , er hatte das Grabmahl des Cajus Cestius besucht , und die uralten Gemälde der durch den Fackeldampf neugieriger Kunstverehrer geschwärzten Wände der Pyramide mit Kennerblicken beschaut , mit einem Worte , es war ihm nichts entgangen , er hatte mit wahrem Reisegenie seine Zeit hingebracht Und das mußte man ihm lassen , er war schön wie der Sonnengott !	3	3	vergnnen
noch eine ander Frage sein $ ob es d Dichter vergönnen sein $ statt d Wahren auch Irrtum $ z. B. statt d leibnitzischen Begriff von Gott und Vorsehung $ die Lucrezischen $ vortragen $ $	Noch eine andere Frage ist : ob es dem Dichter vergönnt sei , statt des Wahren auch Irrthümer , z. B. statt der Leibnitzischen Begriffe von Gott und Vorsehung , die Lucrezischen , vorzutragen ? –	10	10	vergnnen
keine auswärtig Staatsgewalt $ keine einzeln legislativ oder exekutiv Akt dieselbe sein man demnach im diesseitig Gebiet Raum zu vergönnen schuldig $ keine unter fremd Staatsauctorität entstehen Rechtsverhältnis unmittelbar Vollziehbarkeit zugestehen $	Keiner auswärtigen Staatsgewalt , keinem einzelnen legislativen oder executiven Act derselben ist man demnach im diesseitigen Gebiet Raum zu vergönnen schuldig , keinem unter fremder Staatsauctorität entstandenen Rechtsverhältniß unmittelbare Vollziehbarkeit zuzugestehen .	19	19	vergnnen
$ für d Aufrollung d ursprünglich Wesen eine Volk in d Geschichte sein es eine gewaltig Unterschied ob es nur oder beinahe nur mit d Volk seine Gleichen sich treffen und reiben und messen lernen $ oder ob es er d Geschichte vergönnen und gebieten haben sich mit fremd Macht in d Arena zu tummeln $ und im erfrischend Kampf mit immer neu Gewalt sein Dasein zu gründen $ zu erweitern $ zu vertiefen $ vielleicht auch ruhmvoll zu verlieren $ $	„ Für die Aufrollung des ursprünglichen Wesens eines Volkes in der Geschichte ist es ein gewaltiger Unterschied ob es nur oder beinahe nur mit den Völkern seines Gleichen sich trifft und reibt und messen lernt , oder ob es ihm die Geschichte vergönnt und geboten hat sich mit fremden Mächten in der Arena zu tummeln , und im erfrischenden Kampfe mit immer neuen Gewalten sein Dasein zu gründen , zu erweitern , zu vertiefen , vielleicht auch ruhmvoll zu verlieren . “	42	42	vergnnen
da finden man d mythologisch Gruppe mit allegorisch Sinn $ d burlesk Figur d Zwerg $ eine Fürstenstatue $ auch fehlen d Einsiedelei und Kapelle nicht $ und eine Blick werden wir vergönnen durch eine groß Fenster in unzugänglich Gemach $ wo sich d Majestät im Kreis d Familie zuweilen d Blick d getreu Vasall zeigen $	Da findet man die mythologischen Gruppen mit allegorischem Sinn , die burlesken Figuren der Zwerge , eine Fürstenstatue ; auch fehlt die Einsiedelei und Kapelle nicht , und ein Blick wird uns vergönnt durch ein grosses Fenster in unzugängliche Gemächer , wo sich die Majestäten im Kreis der Familie zuweilen dem Blick der getreuen Vasallen zeigen .	32	32	vergnnen
darum vergönnen ich $ daß ich zu d Gott meine Vater noch eine kurz Gebet senden mögen $	Darum vergönne mir , daß ich zu dem Gott meiner Väter noch ein kurzes Gebet senden möge .	1	1	vergnnen
wie freuen ich mich $ daß sie d Sinn gebieten $ und nicht allein d Blut und Zorn vergönnen d Wort zu führen $ edel nennen ich d $ d auch im Recht d Eifer zügeln können $ noch 'edler d $ die um d Freund Willen sich seine Recht selbst entäußern mögen $ er haben d Gegner und auch sich besiegen $	Wie freu' ich mich , daß ihr dem Sinn gebietet , Und nicht allein dem Blut und Zorn vergönnt Das Wort zu führen : edel nenn' ich den , Der auch im Recht den Eifer zügeln kann , Noch 'edler den , der um der Freunde Willen Sich seines Rechtes selbst entäußern mag , Er hat den Gegner und auch sich besiegt .	18	18	vergnnen
