sentence_lemma	sentence_token	target_index	original_word
es können also d allgemein Grundsatz hier voranstellen werden $	Es kann also der allgemeine Grundsatz hier vorangestellt werden :	7	voranstellen
es sein sogar bequem für d Darstellung d Pädagogik $ d Unterrichts-Lehre voranstellen $ und d unmittelbar Rücksicht auf d Charakter-Bildung nachfolgen zu lassen $	Es ist sogar bequem für die Darstellung der Pädagogik , die Unterrichts-Lehre voranzustellen , und die unmittelbaren Rücksichten auf die Charakter-Bildung nachfolgen zu lassen .	12	voranstellen
$ Leute $ die bei ihr da Sint $ müssen Bauwn und reuten $ d Bebauen sein als d wesentlich $ wichtig d Reuten voranstellen $ ebenso Konrad $ Trojanerkr $ 6263 $	„ Liute , die bî ir dâ sint , müeʒen bûwn und riuten ( das Bebauen ist als das Wesentliche , Wichtigere dem Reuten vorangestellt ; ebenso Konrad , Trojanerkr . 6263 :	24	voranstellen
ich meinen d folgend Satz $ die ich noch eine paar ohnehin ersichtlich $ aber zu d Gruppe gehörend voranstellen haben $ 17 $ 18 $ [formel] 19 $ 20 $	Ich meine die folgenden Sätze , denen ich noch ein paar ohnehin ersichtliche , aber zu der Gruppe gehörende vorangestellt habe : 17 ) 18 ) [Formel] 19 ) 20 )	19	voranstellen
als Grundsatz dürfen nunmehr voranstellen werden $ dass d Bildung d Verstand in eben d Maß d Willen entwickeln helfen $ als sie $ nach d Grundforderung Pestalozzi $ d Selbsttätigkeit in Anspruch nehmen $ und als d Stoffliche in sie sich d Formale unterordnen $	Als Grundsatz darf nunmehr vorangestellt werden : dass die Bildung des Verstandes in eben dem Maasse den Willen entwickeln hilft , als sie , nach der Grundforderung Pestalozzis , die Selbstthätigkeit in Anspruch nimmt , und als das Stoffliche in ihr sich dem Formalen unterordnet .	4	voranstellen
denn eben jen Idealgestalt $ welche sie als d endlich Ergebnis alle künstlerisch Bemühung ansehen $ welche sie in eine zu auffallend Übereinstimmung mit d Manierist ganz negativ als Ding erklären $ welche auch in Bezug auf d Form teils d wirklich entgegensetzen sein $ teils d Wirkliche übertreffen $ sein nicht d Ergebnis $ sondern d Voraussetzung ihr Darlegung $ welche sie als eine rund $ keine Entwicklung $ keine Beweis bedürftig Forderung voranstellen $ und als solch durch eine Entscheidend sollen oder müssen d Leser ankündigen $	Denn eben jene Idealgestalten , welche sie als das endliche Ergebniß aller künstlerischen Bemühungen ansehen , welche sie in einer zu auffallenden Uebereinstimmung mit den Manieristen ganz negativ als Dinge erklären , welche auch in Bezug auf die Form theils dem Wirklichen entgegengesetzt sind , theils das Wirkliche übertreffen , sind nicht das Ergebniß , sondern die Voraussetzung ihrer Darlegung , welche sie als eine runde , keiner Entwickelung , keines Beweises bedürftige Forderung voranstellen , und als solche durch ein entscheidendes Soll oder Muß dem Leser ankündigen .	74	voranstellen
es können z. B. eine Philosophie eine verhältnismäßig schon reich und erfüllt metaphysisch Prinzip aufstellen haben $ und da d Ästhetik eine d richtig Probe eine Metaphysik sein $ so sollen man erwarten $ daß eine ebenso konkret ästhetisch Prinzip sich hier finden lassen $ die sich von selbst im System da einreihen $ wo zuerst d Grundidee in ihr weit Allgemeinheit voranstellen werden $ dann d abstrakt Moment ihr Entwicklung sich in ihr Gesamteinheit zusammenfassen $	Es kann z. B. eine Philosophie ein verhältnißmäßig schon reiches und erfülltes metaphysisches Prinzip aufgestellt haben , und da die Aesthetik eine der richtigsten Proben einer Metaphysik ist , so sollte man erwarten , daß ein ebenso concretes ästhetisches Prinzip sich hier finden lasse , das sich von selbst im System da einreihe , wo zuerst die Grundidee in ihrer weitesten Allgemeinheit vorangestellt wird , dann die abstracteren Momente ihrer Entwicklung sich in ihre Gesammteinheit zusammenfassen .	62	voranstellen
nicht alle Klasse von Vegetationsform sein gleich gut eignen $ d Beziehung zwischen Klima und besonders eingerichtet Periodizität zu zeigen $ wenn wir d wichtig herausgreifen wollen $ obgleich schließlich auch d unwichtig sich d durch sie scharf bezeichnet Periode mehr oder wenige ohne Änderung anschließen $ so sein d Baum in ihr nach groß Grundzug gescheiden Vegetationsform voranstellen $ außerdem mehrere auf einzeln Zone fast allein beschränkt Vegetationsklasse wie d Mangrove $ Liane $ Epiphyten $ stamm- und Blattsukkulente $ Dornstrauch $ Glaciale Stauden und d xerophil Form d Staudenklasse $	Nicht alle Klassen von Vegetationsformen sind gleich gut geeignet , die Beziehungen zwischen Klima und besonders eingerichteter Periodizität zu zeigen ; wenn wir die wichtigsten herausgreifen wollen , obgleich schliesslich auch die unwichtigeren sich der durch sie scharf bezeichneten Periode mehr oder weniger ohne Aenderung anschliessen , so sind die Bäume in ihren nach grossen Grundzügen geschiedenen Vegetationsformen voranzustellen , ausserdem mehrere auf einzelne Zonen fast allein beschränkte Vegetationsklassen wie die Mangroven , Lianen , Epiphyten , Stamm- und Blattsucculenten , Dornsträucher , glaciale Stauden und die xerophilen Formen der Staudenklasse .	58	voranstellen
sie sein dann berechtigt und stehen mit d ganz Schulzesegen Bewegung vollständig auf eine Linie $ wenn sie d erziehend Tätigkeit $ d geistig Hebung voranstellen und erreichen $	Sie ist dann berechtigt und steht mit der ganzen Schulze’schen Bewegung vollständig auf einer Linie , wenn sie die erziehende Thätigkeit , die geistige Hebung voranstellt und erreicht .	25	voranstellen
von d ursprünglich Absicht $ demselben als Einleitung eine Geschichte d Entwicklung d Seeschiffahrt voranstellen $ müssen Umgang nehmen werden $ weil d Band sonst gar zu umfangreich werden sein $	Von der ursprünglichen Absicht , demselben als Einleitung eine Geschichte der Entwicklung der Seeschiffahrt voranzustellen , musste Umgang genommen werden , weil der Band sonst gar zu umfangreich geworden wäre .	14	voranstellen
