sentence_lemma	sentence_token	index_lemma	index_token	lemma
man vergegenwärtigen sich $ dass d meiste d letztere durch hoch Temperatur unter Austreibung d Schwefelsäure zersetzen werden $	Man vergegenwärtige sich , dass die meisten der letzteren durch hohe Temperatur unter Austreibung der Schwefelsäure zersetzt werden .	16	16	zersetzen
schon 1819 haben Grishow zeigen $ daß d Pilz überhaupt niemals Kohlensäure zersetzen $ sondern immer nur Sauerstoff einatmen und Kohlensäure aushauchen $ was 1834 von Marcet noch weiter ausführen werden $ nachdem schon vorher 1822 Th. De Saussure eine ausgezeichnet Untersuchung über d Sauerstoffatmung d Blüte publizieren haben $ eine Arbeit $ welche zugleich d erst Grundlage für d Theorie d vegetabilisch Eigenwärme werden $ worauf wir noch zurückkommen $	Schon 1819 hatte Grishow gezeigt , daß die Pilze überhaupt niemals Kohlensäure zersetzen , sondern immer nur Sauerstoff einathmen und Kohlensäure aushauchen , was 1834 von Marcet noch weiter ausgeführt wurde , nachdem schon vorher 1822 Th. de Saussure eine ausgezeichnete Untersuchung über die Sauerstoffathmung der Blüthen publicirt hatte , eine Arbeit , welche zugleich die erste Grundlage für die Theorie der vegetabilischen Eigenwärme wurde , worauf wir noch zurückkommen .	12	12	zersetzen
$ d Prozeß $ durch welche d Eiweißstoff im tierisch Leben zersetzen werden $ sein noch sehr wenig bekannt $ wir vermuten $ dass neben andere wegen d Umwandlung auch diejenige d sogenannt Selbstzersetzung und diejenige $ welche durch Alkalien einleiten werden $ in Anwendung bringen sein $	— Die Prozesse , durch welche die Eiweissstoffe im thierischen Leben zersetzt werden , sind noch sehr wenig bekannt ; wir vermuthen , dass neben andern Wegen der Umwandlung auch derjenige der sogenannten Selbstzersetzung und derjenige , welcher durch Alkalien eingeleitet wird , in Anwendung gebracht ist .	11	11	zersetzen
$ so aber treffen d Sonnenstrahl unsere Erde $ werden von d fest Maß dieselbe zersetzen $ und lassen dabei ihr Wärmestoff fahren $ dadurch werden d unter Schicht d Atmosphäre stark ausdehnen und müssen in d Höhe steigen $ um eine kalt Luft Platz zu machen $ welche überall in er niedersinken und eine Art Bewegung in d Luft verursachen $	– So aber treffen die Sonnenstrahlen unsere Erde , werden von der festen Masse derselben zersetzt , und lassen dabei ihren Wärmestoff fahren ; dadurch wird die untern Schicht der Atmosphäre stark ausgedehnt und muß in die Höhe steigen , um einer kälteren Luft Platz zu machen , welche überall in ihn niedersinkt und eine Art Bewegung in der Luft verursacht .	15	15	zersetzen
doch ersehen ich so viel $ daß d Sohle $ welche aus Metallstreifen zusammensetzen sein $ bei d Berührung mit d Wasser dasselbe unter lebhaft Aufbrausen so stark zersetzen $ daß eine Einsinken unmöglich werden $	Doch ersah ich so viel , daß die Sohlen , welche aus Metallstreifen zusammengesetzt waren , bei der Berührung mit dem Wasser dasselbe unter lebhaftem Aufbrausen so stark zersetzten , daß ein Einsinken unmöglich wurde .	28	28	zersetzen
in konzentriert erhitzt Schwefelsäure werden er vollkommen zersetzen $ entwickeln Fluorwasserstoff $ was Glas ätzen $	In concentrirter erhitzter Schwefelsäure wird er vollkommen zersetzt , entwickelt Fluorwasserstoff , was Glas ätzt .	7	7	zersetzen
d tierisch Magen können man mit vollkommen Recht als eine chemisch Retorte bezeichnen $ in welche d sich begegnend Stoff ganz nach d allgemein Gesetz chemisch Affinität sich zersetzen $ verbinden u. s. W. eine in d Magen eingebringt Gift können durch eine chemisch Gegengift in dieselbe Weise entkräften werden $ als haben man diese Prozedur außerhalb dieselbe vornehmen $ eine krankhaft $ in demselben angesammelt Stoff werden durch eingeführt chemisch Mittel ebenso neutralisieren und zerstören $ wie in jede beliebig Gefäß $	Den thierischen Magen kann man mit vollkommenem Recht als eine chemische Retorte bezeichnen , in welcher die sich begegnenden Stoffe ganz nach den allgemeinen Gesetzen chemischer Affinität sich zersetzen , verbinden u. s. w. Ein in den Magen eingebrachtes Gift kann durch ein chemisches Gegengift in derselben Weise entkräftet werden , als hätte man diese Procedur außerhalb desselben vorgenommen ; ein krankhafter , in demselben angesammelter Stoff wird durch eingeführte chemische Mittel ebenso neutralisirt und zerstört , wie in jedem beliebigen Gefäß .	28	28	zersetzen
diese bilden eine farbelos $ wasserhell Flüßigkeit von eigentümlich Geruch und nur gering Beständigkeit $ sie müssen an eine kühl Ort vor Licht schützen aufbewahren werden $ auch gut verschließen sein $ da sie sich schon an d Luft $ wenn auch langsam $ zersetzen $	Diese bildet eine farblose , wasserhelle Flüssigkeit von eigentümlichem Geruch und nur geringer Beständigkeit ; sie muß an einem kühlen Ort vor Licht geschützt aufbewahrt werden , auch gut verschlossen sein , da sie sich schon an der Luft , wenn auch langsam , zersetzt .	44	44	zersetzen
einmal $ indem er d Acker neu nahrhaft Materie für d Pflanze mitteilen $ und zweitens $ indem er d darin schon erhalten Stoff durch chemisch Wechselwirkung zersetzen $ und wiederum so verbinden $ daß sie dadurch zum Übergang in d Pflanze fähig werden $ vielleicht auch indem er d Lebenstätigkeit d Pflanze $ wodurch sie sich diese Stoff aneignen $ aufregen $	Einmal : indem er dem Acker neue nahrhafte Materien für die Pflanzen mittheilt , und zweitens : indem er die darin schon erhaltenen Stoffe durch chemische Wechselwirkung zersetzt , und wiederum so verbindet , daß sie dadurch zum Uebergange in die Pflanzen fähig werden ; vielleicht auch indem er die Lebensthätigkeit der Pflanzen , wodurch sie sich diese Stoffe aneignen , aufregt .	27	27	zersetzen
nun sein freilich unter d Kupferkieskruste d Fahlerz gewöhnlich zersetzen $ so daß d Kieskruste leicht abspringen $ und man versuchen werden $ dieselbe als eine Verwitterungsprodukt d Fahlerz ansehen $	Nun ist freilich unter der Kupferkieskruste das Fahlerz gewöhnlich zersetzt , so daß die Kieskruste leicht abspringt , und man versucht wird , dieselbe als ein Verwitterungsprodukt des Fahlerzes anzusehen .	9	9	zersetzen
d Nahrung können auch keine Unterschied zwischen d Tier und Pflanzenreiche angeben $ denn d Respiration sein d Hauptnahrung und diese sein in beide Teil bei hoch Tier und Pflanzenorganisation sein d Unterschied $ daß hier d Kohlensäure zersetzen werden $ dort hervorbrechen werden $	Die Nahrung kañ auch keinen Unterschied zwischen dem Thier und Pflanzenreiche angeben , deñ die Respiration ist die Hauptnahrung und diese ist in beyden Theilen bei höheren Thier und Pflanzenorganisationen ist der Unterschied , daß hier die Kohlensäure zersetzt wird , dort hervorbracht wird .	38	38	zersetzen
man nehmen jedoch nicht gleich bei Öffnung d Brust eine solch Wolf heraus $ sondern man müssen so lange warten $ bis er $ stocken $ haben $ haben man er einmal aus d Ofen $ so werden er unter eine 13 Zentner schwer Hammer bringen $ eine ungeheuer Schwere $ und in acht $ auch mehr Stück zersetzen $ welche man in d dortig Hüttensprache Kothlizhe nennen $ sowie die mit d Schlacke aus d Ofen fließend Eisen Pogahze nennen werden $	Man nimmt jedoch nicht gleich bei Öffnung der Brust einen solchen Wolf heraus , sondern man muss so lange warten , bis er „ gestockt “ hat ; hat man ihn einmal aus dem Ofen , so wird er unter einen 13 Zentner schweren Hammer gebracht , eine ungeheure Schwere , und in acht , auch mehr Stücke zersetzt , welche man in der dortigen Hüttensprache Kothlizhe nennet , sowie das mit den Schlacken aus dem Ofen fliessende Eisen Pogahze genannt wird .	58	58	zersetzen
es sein nicht unwahrscheinlich $ daß d Wasser selbst hierbei zum Teil zersetzen werden $ und in fest Verbindung übergehen $	Es ist nicht unwahrscheinlich , daß das Wasser selbst hierbei zum Theil zersetzt werde , und in feste Verbindungen übergehe .	12	12	zersetzen
da sich ferner an d Zellwand auch Zinkschlamm absetzen $ so bilden d ausgescheiden Kupfer mit diese klein geschließen Element $ durch welche Kupfervitriol ohne jede Nutzen zersetzen werden $	Da sich ferner an der Zellwand auch Zinkschlamm absetzt , so bildet das ausgeschiedene Kupfer mit diesem kleine geschlossene Elemente , durch welche Kupfervitriol ohne jeden Nutzen zersetzt wird .	27	27	zersetzen
d Umstand $ dass d Sulfat in sehr hoch Temperatur sämtlich unter Austreibung d Schwefelsäureanhydrit zersetzen werden $ legen d Vermutung nahe $ dass diese gefinden Schwefelsäure erst bei d Erkaltung d Schlacke unter Einwirkung d Luft entstehen sein $	Der Umstand , dass die Sulfate in sehr hoher Temperatur sämmtlich unter Austreibung des Schwefelsäureanhydrits zersetzt werden , legt die Vermuthung nahe , dass diese gefundene Schwefelsäure erst bei der Erkaltung der Schlacken unter Einwirkung der Luft entstanden sei .	15	15	zersetzen
lassen man d Strom durch konzentriert Lösung d Haloidsalze und löslich Oxyd gehen $ so werden nur d gelöst Substanz $ nicht aber d Lösungsmittel zersetzen $	Lässt man den Strom durch concentrirte Lösungen der Haloidsalze und löslichen Oxyde gehen , so wird nur die gelöste Substanz , nicht aber das Lösungsmittel zersetzt .	25	25	zersetzen
in d offen Glasröhre zersetzen sich d groß Teil zu gediegen Quecksilber und schweflig Säure $	In der offenen Glasröhre zersetzt sich der größere Theil zu gediegenem Quecksilber und schwefliger Säure .	4	4	zersetzen
d Holzstück müssen nicht zu groß sein $ damit sie viel glühend Oberfläche darbieten $ um so d Sauerstoffgas vollständig zu zersetzen $	Die Holzstücke müssen nicht zu groß sein , damit sie viel glühende Oberfläche darbieten , um so das Sauerstoffgas vollständiger zu zersetzen .	21	21	zersetzen
d letztere beruhen einfach darauf $ daß sich d Glycerinverbindung d Fettsäure in Berührung mit Alkali zersetzen $ es entstehen d Alkaliverbindung d Fettsäure $ während Glycerin abgeschieden werden $	Die letztere beruht einfach darauf , daß sich die Glycerinverbindungen der Fettsäuren in Berührung mit Alkali zersetzen ; es entstehen die Alkaliverbindungen der Fettsäure , während Glycerin abgeschieden wird .	16	16	zersetzen
dieselbe treten ein $ wenn mit Chlorkalklösung getränkt Leinwand d Luft aussetzen werden $ d Kohlensäure d atmosphärisch Luft zersetzen eine Teil d Chlorkalk in kohlensauer Kalk $ lagern diese auf d Leinenfaser ab $ und machen sie hart und rauh $	Dasselbe tritt ein , wenn mit Chlorkalklösung getränkte Leinwand der Luft ausgesetzt wird ; die Kohlensäure der atmosphärischen Luft zersetzt einen Teil des Chlorkalks in kohlensauren Kalk , lagert diesen auf der Leinenfaser ab , und macht sie hart und rauh .	19	19	zersetzen
sollen sich d Körper durch Säure nicht zersetzen $ so müssen dieselbe zuvor aufschließen werden $ S. 27 $ $	Sollte sich der Körper durch Säuren nicht zersetzen , so muss derselbe zuvor aufgeschlossen werden ( S. 27 ) .	7	7	zersetzen
es sein jedoch nicht nötig $ daß man d bisher betrachten binär $ d. h. nur aus zwei Teil bestehend Körper stets in d geschmelzen Zustand überführen $ um sie durch Elektrolyse zu zersetzen $ man können vielmehr auch ihr Lösung in Wasser hierzu benutzen $	Es ist jedoch nicht nöthig , daß man die bisher betrachteten binären , d. h. nur aus zwei Theilen bestehenden Körper stets in den geschmolzenen Zustand überführt , um sie durch Elektrolyse zu zersetzen ; man kann vielmehr auch ihre Lösungen in Wasser hierzu benutzen .	33	33	zersetzen
d Versuch von De Saussure haben dartuen $ daß d ober Schichte d Luft mehr Kohlensäure als d unter enthalten $ die mit d Pflanze sich in Berührung befinden $ daß d Kohlensäuregehalt d Luft groß sein bei Nacht $ als bei Tag $ wo d eingesaugt kohlensauer Gas zersetzen werden $	Die Versuche von de Saussure haben dargethan , daß die oberen Schichten der Luft mehr Kohlensäure als die unteren enthalten , die mit den Pflanzen sich in Berührung befinden , daß der Kohlensäuregehalt der Luft größer ist bei Nacht , als bei Tag , wo das eingesaugte kohlensaure Gas zersetzt wird .	49	49	zersetzen
aus diese Grund setzen er zuerst Kali $ spät Natron $ d Wirkung stark wirkend voltaisch Säule aus $ und sehen aus beide am negativ Draht glänzend Metallkugelchen hervorgehen $ die unter Stein-Oel aufbewahren ihr Metallglanz behalten $ an d Luft dagegen sich sogleich wieder oxydieren und durch diese Oxydierung in Kali im eine $ in Natron im ander Falle verwandeln werden $ mit Wasser in Berührung bringen zersetzen sie $ wegen ihr sehr groß Verwandtschaft zum Sauerstoff $ d Wasser $	Aus diesem Grunde setzte er zuerst Kali , später Natron , der Wirkung stark wirkender voltaischer Säulen aus , und sah aus beiden am negativen Drathe glänzende Metallkügelchen hervorgehen , die unter Stein-Oel aufbewahrt ihren Metallglanz behielten , an der Luft dagegen sich sogleich wieder oxydirten und durch diese Oxydirung in Kali im einen , in Natron im andern Falle verwandelt wurden ; mit Wasser in Berührung gebracht zersetzten sie , wegen ihrer sehr großen Verwandtschaft zum Sauerstoff , das Wasser .	68	68	zersetzen
d Experiment sein sehr auffallend $ da bei gewöhnlich Luftdruck d Prozeß bekanntlich umgekehrt sein $ d Dolomit werden durch Gipswasser zersetzen $ es bilden sich Ca C und Bitterwasser gehen fort $ weil Bittersalz löslich als Gips sein $	Das Experiment ist sehr auffallend , da bei gewöhnlichem Luftdruck der Prozeß bekanntlich umgekehrt ist : der Dolomit wird durch Gypswasser zersetzt , es bildet sich Ċa C̈ und Bitterwasser geht fort , weil Bittersalz löslicher als Gyps ist .	21	21	zersetzen
d groß Knochen werden in erstaunlich kurz Zeit vollständig zersetzen und verdauen $	Die größten Knochen werden in erstaunlich kurzer Zeit vollständig zersetzt und verdaut .	9	9	zersetzen
