sentence_lemma	sentence_token	index_lemma	index_token	lemma
diese Ofen haben entweder rechteckig Grundform $ sein oben durch eine Tonnengewölbe überspannen und etwa 15 M lang $ 3.5 bis 5 M breit und ebenso hoch $ oder sie sein zylindrisch bauen und oben durch eine Kuppelgewölbe abdecken bei 8.5 M Durchmesser $ und 3.5 M Höhe bis zum Gewölbe $ oder endlich sie haben Kegelform bei 8.5 bis 9 M Durchmesser an d Grundfläche und 6 bis 8.5 M Höhe $	Diese Oefen haben entweder rechteckige Grundform , sind oben durch ein Tonnengewölbe überspannt und etwa 15 m lang , 3.5 bis 5 m breit und ebenso hoch ; oder sie sind cylindrisch gebaut und oben durch ein Kuppelgewölbe abgedeckt bei 8.5 m Durchmesser , und 3.5 m Höhe bis zum Gewölbe ; oder endlich sie haben Kegelform bei 8.5 bis 9 m Durchmesser an der Grundfläche und 6 bis 8.5 m Höhe .	12	12	berspannen
diese Strom sein etwa so breit wie d Elbe bei Dresden $ aber wasserreich $ und in seine Lauf durch d Hauptstadt von vier mächtig Pfahlbrücke überspannen $	Dieser Strom ist etwa so breit wie die Elbe bei Dresden , aber wasserreicher , und in seinem Lauf durch die Hauptstadt von vier mächtigen Pfahlbrücken überspannt .	26	26	berspannen
es geschehen diese mit Hilfe eine klein Siebchen $ die man sich herstellen $ indem man eine daumendick Bambusrohr schräg durchschneiden und d Schnitt mit fein Musselin $ Gaze oder Drahtgeflecht überspannen $	Es geschieht dies mit Hülfe eines kleinen Siebchens , das man sich herstellt , indem man ein daumendickes Bambusrohr schräg durchschneidet und den Schnitt mit feinem Musslin , Gaze oder Drahtgeflecht überspannt .	31	31	berspannen
zu Dschumba am Zarbstrome $ die sich tief durch diese ganz Alpenmasse durchwinden $ nur überspannen von einige Brücke aus schwank Flechtwerk $ werden d Bürgermeister $ Maleck $	Zu Dschumba am Zarbstrome ( der sich tief durch diese ganze Alpenmasse durchwindet , nur überspannt von einigen Brücken aus schwankem Flechtwerk ) wurde der Bürgermeister ( Malek )	15	15	berspannen
erstere überspannen in eine dünn Schicht d Boden überall da $ wo er aus Geröll bestehen $ letztere siedeln sich auf d Sterbebett d Flechte an $	Erstere überspannt in einer dünnen Schicht den Boden überall da , wo er aus Geröll besteht ; letztere siedelt sich auf dem Sterbebette der Flechte an .	1	1	berspannen
außerhalb d Stadt sein noch 39 Bogen d römisch Wasserleitung $ die hier eine Tal überspannen $ zu sehen $	Ausserhalb der Stadt sind noch 39 Bogen der römischen Wasserleitung , die hier ein Thal überspannte , zu sehen .	15	15	berspannen
d Ganze sein eigentlich stehen gebleiben Fels mit Quader von Kalkstein umbauen $ vielleicht mit Granit bekleiden sein $ eine oben offen $ breit $ 5 Meter $ Gang gehen von d Nordseite zu d offen Kammer $ die sehr groß $ kaum mit einzeln Stein überspannen gedenken werden können $	Das Ganze ist eigentlich stehen gebliebner Fels mit Quadern von Kalkstein umbaut , vielleicht mit Granit bekleidet gewesen ; ein oben offener , breiter ( 5 métres ) Gang geht von der Nordseite zu der offnen Kammer , die sehr groß , kaum mit einzelnen Steinen überspannt gedacht werden kann .	46	46	berspannen
d Tonnengewölbe lagern als ungegliedert fortlaufend Halbkreisbogen d Länge nach auf d Mauer $ die es d Quere nach überspannen $	Das Tonnengewölbe lagert als ungegliedert fortlaufender Halbkreisbogen der Länge nach auf den Mauern , die es der Quere nach überspannt .	19	19	berspannen
als es sich 1801 als Notwendigkeit herausstellen $ d alt London-Bridge abreissen und eine neu Brücke an ihr Stelle zu errichten $ arbeiten Telford d Entwurf eine gußeisern Brücke aus $ welche in eine Bogen von 600 Fuß Spannweite d ganz Breite d Themse überspannen sollen $ eine Entwurf $ die an Schönheit alle ander Brücke London übertreffen haben werden $	Als es sich 1801 als Notwendigkeit herausstellte , die alte London-bridge abzureissen und eine neue Brücke an ihrer Stelle zu errichten , arbeitete Telford den Entwurf einer gusseisernen Brücke aus , welche in einem Bogen von 600 Fuss Spannweite die ganze Breite der Themse überspannen sollte : ein Entwurf , der an Schönheit alle anderen Brücken Londons übertroffen haben würde .	44	44	berspannen
in d Schlafkammer klappen eine Schranktür und d Gerufene treten hervor $ in die eine Hand eine sogenannt Holzschenvioline $ d. h. eine alt Holzschuh $ mit drei bis vier zerschabt Geigensaite überspannen $ in die andere eine Bogen $ ganz d Instrument würdig $	In der Schlafkammer klappte eine Schrankthür und der Gerufene trat hervor , in der einen Hand eine sogenannte Holzschenvioline , d. h. einen alten Holzschuh , mit drei bis vier zerschabten Geigensaiten überspannt , in der andern einen Bogen , ganz des Instrumentes würdig .	32	32	berspannen
