sentence_lemma	sentence_token	target_index	original_word
diese Abgesang gehen zart in d wohlig Schnarchen eine Schläfer über $ die jedoch iah abbrechen $ als eine $ Prost $ $ aus fünf $ sechs Kehle erklingen und danach d $ achtzehn $ zwanzig Zwo eine Skatrunde $	Dieser Abgesang ging zart in das wohlige Schnarchen eines Schläfers über , das jedoch iah abbrach , als ein „ Prost ! " aus fünf , sechs Kehlen erklang und danach das „ Achtzehn — zwanzig zwo einer Skatrunde .	1	Abgesang
nachdem Fischbacher d Berufung eine eigen bayerisch Staatspräsident verlangen haben $ schließen er mit d Ruf $ Bayern d Bayern $ und Lügte zum Abgesang hinzu $	Nachdem Fischbacher die Berufung eines eigenen bayerischen Staatspräsidenten verlangt hatte , schloß er mit dem Ruf „ Bayern den Bayern " und lügte zum Abgesang hinzu :	24	Abgesang
nun kommen im Film leider eine unerträglich Länge $ Kaulsdorfer Hausfrau und Berufstätige ziehen unter d endelos Abgesang d Lied $ d Wandern sein d Müller Lust $ in d umliegend Ortsteile $ um einkaufen $	Nun kommt im Film leider eine unerträgliche Länge : Kaulsdorfer Hausfrauen und Berufstätige ziehen unter dem endlosen Abgesang des Liedes „ Das Wandern ist des Müllers Lust " in die umliegenden Ortsteile , um einzukaufen .	17	Abgesang
d gemeinsam Abgesang $ Ad6 zur gut Nacht $ Iipb d schonen und stimmungsvoll Nachmittac und mit er d Kultur Woche harmonisch ausklinken $	Der gemeinsame Abgesang .. Ad6 zur guten Nacht " IipB den schonen und stimmungsvollen Nachmittac und mit ihm die Kultur woche harmonisch ausklinken .	2	Abgesang
Alfons werden mit Blikken regulär sturmreif schießen und tänzeln bald wie dunnemals d dick Falstaff mit d Abgesang $ wie freuen ich ich $ We freuen ich ich $ wie treiben ich d Verlan $	Alfons wurde mit Blikken regulär sturmreif geschossen und tänzelte bald wie dunnemals der dicke Falstaff mit dem Abgesang „ Wie freu ich mich , we freu ich mich , wie treibt mich das Verlan -	17	Abgesang
gegen 0.30 Uhr marschieren d Faschist auf d Befehl $ Kompanie marschieren und unter Abgesang d Lied $ d Fahne hoch $ d Reihe fest schließen $ randalieren d Kreuzbergstraße entlang $	Gegen 0.30 Uhr marschierten die Faschisten auf den Befehl „ Kompanie marsch und unter Abgesang des Liedes „ Die Fahne hoch , die Reihen fest geschlossen " randalierend die Kreuzbergstraße entlang .	14	Abgesang
noch keine Woche nach ihr Abgesang $ Allerletztes aus d Dadaer $ stellen sich hans-ek- $ Ktuüt Wenzel und Steffen Mensching in d Akademie d Kunst $ pushen von d buschfunk- Produktion $ auf d neu politisch Tat-Sache um und ein $ -hundekomödie $ nennen sie ihr $ neu Clownsabend $ $	Noch keine Woche nach ihrem Abgesang „ AllerLetztes aus der DaDaeR " stellten sich Hans-Ek- ■ ktuüt Wenzel und Steffen Mensching in der Akademie der Künste , gepusht von der Buschfunk- Produktion , auf die neuen politischen Tat-Sachen um und ein . -Hundekomödie " nennen sie ihren „ neuen Clownsabend " :	5	Abgesang
8. Riemenwerk d Zugtier $ 9. d auf d Strophe und Gegenstrophe folgend Abgesang $ 11. Streitmacht $ 13. Nordostfranzosische Textilindustriestadt $	8. Riemenwerk der Zugtiere ,' 9. der auf die Strophe und Gegenstrophe folgende Abgesang , 11. Streitmacht , 13. nordostfranzosische Textilindustriestadt .	13	Abgesang
58 gebiegen Haltevorrichtung $ 60. d auf d Strophe und Geaenstrophe folgend Abgesang $ 62. Staat in Vorderasien $ 64. griechisch Gott $ 8s $	58 gebogene Haltevorrichtung , 60. der auf die Strophe und Geaenstrophe folgende Abgesang , 62. Staat in Vorderasien , 64. griechischer Gott , 8S .	12	Abgesang
im Gegenteil $ d $ Figaro $ haben darauf hinweisen können $ daß d unsterblich Komödiengestalt $ die er seine Namen verdenken $ in eine Krisenzeit schaffen werden sein $ d d unsere ähneln $ und daß vielleicht schon eine neu Beaumarchais am Werk sein $ um eine sterbend Klasse d satirisch Abgesang zu schreiben $	Im Gegenteil : der „ Figaro " hätte darauf hinweisen können , daß die unsterbliche Komödiengestalt , der er seinen Namen verdenkt , in einer Krisenzeit geschaffen worden ist . die der unseren ähnelt , und daß vielleicht schon ein neuer Beaumarchais am Werke ist , um einer sterbenden Klasse den satirischen Abgesang zu schreiben .	52	Abgesang
unter d Abgesang d Lied -Heute blau und morgen blau und übermorgen wieder folgen sie d Zöllner und packen im Rausch gleich ihr Geschäftsgeheimnis aus $	Unter dem Abgesang des Liedes -Heute blau und morgen blau und übermorgen wieder folgte sie den Zöllnern und packte im Rausch gleich ihre Geschäftsgeheimnisse aus .	2	Abgesang
