sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
Senkrecht $ 1. Orientierungsmittel $ 2. italienisch Dichter d Spatrenaissance $ 3. Ringelwurm $ 5. Widerhall $ 6. Vorgebirge $ Berg $ 7. griechisch r Buchstabe $ 8. Pflanze feucht Standort $ 9. Fluß im Nordwesten d VR Polen $ 10. Ackergerät $ 12. altgriechisch Dichter $ 13. Tierunterkunft $ 14. Betreuer eine Touristengruppe $ 15. Einspruchsrecht $ 17. Laubbaum $ 19. leicht Fußbekleidung $ 23. Zusammenkunft $ Treffen $ $ Wohlgeruch $ 27. Stadt in d Türkei $ 29. Stadt in Nebraska $ Usa $ $ 32. Handlung $ 33. englisch Bauernführer d 16. Jh. $ 34. Wendekommando auf See $ 35. Weißhändiger Longormoffe Hinterindien $ 42. Fischei $ 44. Haushaltsplan $ 46. Weißpappel $ 47. eine Grundschleppnetz $ 49. Bewohner eine SSR $ 51. Begründer d Sowjetunion $ 53. Unterarmknochen $ 54. fluggewendt Wasservogel $ 56. unverbürgt Erzählung $ 58. farbig Ringerscheinung um Sonne oder Mond $ 61. Rierbehausung $ 63. orientalisch Titel $	41	0	Ackergert	Senkrecht : 1. Orientierungsmittel , 2. italienischer Dichter der Spätrenaissance , 3. Ringelwurm , 5. Widerhall , 6. Vorgebirge , Berg , 7. griechisch r Buchstabe , 8. Pflanze feuchter Standorte , 9. Fluß im Nordwesten der VR Polen , 10. Ackergerät , 12. altgriechischer Dichter , 13. Tierunterkunft , 14. Betreuer einer Touristengruppe , 15. Einspruchsrecht , 17. Laubbaum , 19. leichte Fußbekleidung , 23. Zusammenkunft , Treffen , . Wohlgeruch , 27. Stadt in der Türkei , 29. Stadt in Nebraska ( USA ) , 32. Handlung , 33. englischer Bauernführer des 16. Jh. , 34. Wendekommando auf See , 35. weißhändiger Longormoffe Hinterindiens , 42. Fischeier , 44. Haushaltsplan , 46. Weißpappel , 47. ein Grundschleppnetz , 49. Bewohner einer SSR , 51. Begründer der Sowjetunion , 53. Unterarmknochen , 54. fluggewandter Wasservogel , 56. unverbürgte Erzählung , 58. farbige Ringerscheinung um Sonne oder Mond , 61. rierbehausung , 63. orientalischer Titel .	2532889X_1975-07-12_01_244.tcf.xml-7-41
$ manche alt Ackergerät rosten noch vereinzelt irgendwo in eine Versteck $	3	0	Ackergert	„ Manche alten Ackergeräte rosten noch vereinzelt irgendwo in einem Versteck .	2532889X_1974-09-21_01_337.tcf.xml-24-3
sie überlassen wir 21 Pferd und auch Ackergerät $ damit wir d erst Saat auf befreit Erde ausbringen können $	7	0	Ackergert	Sie überließen uns 21 Pferde und auch Ackergerät , damit wir die erste Saat auf befreiter Erde ausbringen konnten .	2532889X_1975-03-24_01_033.tcf.xml-32-7
eine neu entwickelt Ackergerät $ mit die man in eine Arbeitsgang mähen $ schälen und säen können	3	0	Ackergert	Ein neu entwickeltes Ackergerät , mit dem man in einem Arbeitsgange mähen , schälen und säen kann	2532889X_1950-09-19_01_058.tcf.xml-130-3
heute stehen d neuartig Ackergerät $ Bodenlokkerer $ Kultivator und Drillwalze $ nicht nur überall zur Verfügung $ sondern durchlaufen bereits d dritt Generation ihr Vervollkommnung $	4	0	Ackergert	Heute stehen die neuartigen Ackergeräte — Bodenlokkerer , Kultivatoren und Drillwalzen — nicht nur überall zur Verfügung , sondern durchlaufen bereits die dritte Generation ihrer Vervollkommnung .	2532889X_1977-09-24_01_276.tcf.xml-65-4
unter Anleitung erfahren Meister und Geselle erlernen diese Jugend d schlosser- und Schmiedchandwerk und schaffen aus Schrott und Altmaterial Ackergerät $ Pflug $	19	0	Ackergert	Unter Anleitung erfahrener Meister und Gesellen erlernt diese Jugend das Schlosser- Und Schmiedchandwerk und schafft aus Schrott und Altmaterial Ackergeräte , Pflüge .	2532889X_1948-03-31_01_031.tcf.xml-24-19
d Ackergerät d Altbauer aus d Dorf reichen nicht aus $	1	0	Ackergert	Die Ackergeräte der Altbauern aus dem Dorf reichten nicht aus .	2532889X_1951-10-07_01_184.tcf.xml-29-1
auch mit d Traktorist d Ma sprechen Wilhelm Pieck $ und begeistert führen sie er ihr neu Ackergerät und Maschine vor $	17	0	Ackergert	Auch mit den Traktoristen der MAS sprach Wilhelm Pieck , und begeistert führten sie ihm ihre neuesten Ackergeräte und Maschinen vor .	2532889X_1951-01-03_01_084.tcf.xml-23-17
wucherisch plündern d Kulaken d arm Bauer aus $ ja $ sie gehen noch raffiniert vor als d ehemalig Junker $ sie nutzen d Arbeitskraft d arm Bauer gegen leiheweise Hergabe von Ackergerät oder Saatgut verbrecherisch aus $ treten schamlos an d Stelle d Fürst und Gutsbesitzer als Faktor d Rückschritt $	32	0	Ackergert	Wucherisch plündern die Kulaken die armen Bauern aus , ja , sie gehen noch raffinierter vor als die ehemaligen Junker : Sie nutzen die Arbeitskraft der armen Bauern gegen leihweise Hergabe von Ackergerät oder Saatgut verbrecherisch aus , treten schamlos an die Stelle der Fürsten und Gutsbesitzer als Faktoren des Rückschritts .	2532889X_1953-02-24_01_045.tcf.xml-21-32
d Mobile_Telesystems Mnrtinskirchen im Bezirk Kottbus z. B. haben außer ihr eigen Reparatur noch eine nroße Zahl von Ackergerät für Produktionsgenossenschaft instand setzen $	18	0	Ackergert	Die MTS Mnrtinskirchen Im Bezirk Kottbus z. B. hat außer ihren eigenen Reparaturen noch eine nroße Zahl von Ackergeräten für Produktionsgenossenschaften Instand gesetzt .	26120215_1953_02_26_01_184.tcf.xml-13-18
schwer Ackergerät wie Scheibenpflug können sich nur langsam durch d hartverkrustet Boden vorwärtsbewegen $	1	0	Ackergert	Schwere Ackergeräte wie Scheibenpflüge können sich nur langsam durch den hartverkrusteten Boden vorwärtsbewegen .'	26120215_1969_08_08_01_291.tcf.xml-32-1
d Treckerfahrer Arthur Merten aua Großneuendorf sein es durch geschickt Fahren d Maschine und überlegt Gebrauch d Ackergerät in diese Tag gelingen $ d Verbrauch an Brennstoff und Motorenöl um 18 Prozent zu verringern $	17	0	Ackergert	Dem Treckerfahrer Arthur Merten aua Großneuendorf ist es durch geschicktes Fahren der Maschinen und überlegten Gebrauch der Ackergeräte in diesen Tagen gelungen , den Verbrauch an Brennstoff und Motorenöl um 18 Prozent zu verringern .	2532889X_1949-04-30_01_019.tcf.xml-22-17
d revolutionär Regierung beginnen daher schon vor sechs Jahr $ Genossenschaft verschieden Art sowie Organisation d Bauemhilfe zu schaffen $ dünge- und Schädlingsbekämpfungsmittel sowie modern Ackergerät zu verbilligt Preis zur Verfügung zu stellen $	25	0	Ackergert	Die revolutionäre Regierung begann daher schon vor sechs Jahren , Genossenschaften verschiedener Art sowie Organisationen der Bauemhilfe zu schaffen , Dünge- und Schädlingsbekämpfungsmittel sowie modernere Ackergeräte zu verbilligten Preisen zur Verfügung zu stellen .	2532889X_1981-11-18_01_117.tcf.xml-10-25
als Anreiz für $ len Bauer $ überschüssig Saatgut abgeben $ werden Düngemittel $ Bindegarn $ Hufnagel und Ackergerät zur Verfügung stellen $	18	0	Ackergert	Als Anreiz für / len Bauern , überschüssiges Saatgut abzugeben , werden Düngemittel , Bindegarn , Hufnagel und Ackergeräte zur Verfügung gestellt .	26120215_1948_02_10_01_191.tcf.xml-4-18
mehrere Kuh $ Ziege $ Schaf $ wertvoll Ackergerät $ Kofferradio $ Uhr $ Schmuck und vor alle Bargeld werden auch heute noch auf dem' Land verlangen $ wo 80 Prozent d Einwohner Simbabwe leben $	8	0	Ackergert	Mehrere Kühe , Ziegen , Schafe , wertvolles Ackergerät , Kofferradios , Uhren , Schmuck und vor allem Bargeld werden auch heute noch auf dem' Lande verlangt , wo 80 Prozent der Einwohner Simbabwes leben .	2532889X_1983-04-26_01_130.tcf.xml-5-8
im Wesentlich kommen es auf eine gut $ organisatorisch Vorarbeit an $ die bei d Errechnung genau Unkostensatz $ die durch d Inanspruchnahme d tierisch und maschinell Zugkraft sowie d sonstig Maschine und Ackergerät entstehen $ zugrunde legen werden $	33	0	Ackergert	Im wesentlichen kommt es auf eine gute , organisatorische Vorarbeit an , die bei der Errechnung genauer Unkostensätze , die durch die Inanspruchnahme der tierischen und maschinellen Zugkräfte sowie der sonstigen Maschinen und Ackergeräte entstehen , zugrunde gelegt wird .	2532889X_1951-03-21_01_058.tcf.xml-49-33
auch an Ackergerät mangeln es $ um im bayerisch und allgäuer Hochland d kartoffel- und Kornanbau zur Selbstversorgung d milchwirtschafllichen Betrieb zu fordern $	2	0	Ackergert	Auch an Ackergerät mangelt es , um im bayerischen und Allgäuer Hochland den Kartoffel- und Kornanbau zur Selbstversorgung der milchwirtschafllichen Betriebe zu fordern .	26120215_1946_06_20_01_017.tcf.xml-31-2
in d alt Dorfschmiede von Bohnsdorf $ eine Ortsteil von Treptow $ werden einst Pferd d Hufe beschlagen $ Ackergerät schmieden und reparieren $	19	0	Ackergert	In der alten Dorfschmiede von Bohnsdorf , einem Ortsteil von Treptow , wurden einst Pferden die Hufe beschlagen , Ackergeräte geschmiedet und repariert .	2532889X_1984-04-28_01_125.tcf.xml-2-19
Ziehbrunnen $ historisch Ackergerät und eine präpariert Pferd $ die d Preußenkönig auf d Flucht vor Napoleon benutzen haben sollen $ gehören zu d viel Ausstellungsstück Foto $ ni $ rnthc r kchmut7 $	3	0	Ackergert	Ziehbrunnen , historische Ackergeräte und ein präpariertes Pferd , das der Preußenkönig auf der Flucht vor Napoleon benutzt haben soll , gehören zu den vielen Ausstellungsstücken Fotos : NI ) Rnthc r Kchmut7 <	2532889X_1980-03-31_01_057.tcf.xml-2-3
neben 56 neu Schlepper erhalten d Ma 366 Ackergerät $ unter die sich 46 groß $ Dreischar-Pöüge befinden $	8	0	Ackergert	Neben 56 neuen Schleppern erhielten die MAS 366 Ackergeräte , unter denen sich 46 groß « Dreischar-PÖüge befinden .	26120215_1951_03_21_01_125.tcf.xml-11-8
neu Exponat sein thaersch Ackergerät wie eine mehrzellig Drillmaschine $ eine Unkrautvernichter $ auch Exstirpator oder Grubber nennen $ und eine Strauchegge $	4	0	Ackergert	Neue Exponate sind Thaersche Ackergeräte wie eine mehrzellige Drillmaschine , ein Unkrautvernichter - auch Exstirpator oder Grubber genannt — und eine Strauchegge .	2532889X_1986-11-20_01_169.tcf.xml-4-4
gewiß werden schon in d Lehrwerkstatt so manche wichtig Ackergerät reparieren $ aber die sein nur eine Troofen auf d heiß Stein $	9	0	Ackergert	Gewiß wurde schon in der Lehrwerkstatt so manches wichtige Ackergerät repariert , aber das war nur ein Troofen auf den heißen Stein .	2532889X_1954-09-04_01_079.tcf.xml-17-9
1. eine vermehrt und verbessert Versorgung d Landwirtschaft mit d notwendig Betriebsmittel $ D. h. in erst Linie mit Düngemittel $ Saatgut $ Ackergerät $ Zugkraft und Nutzvieh $	23	0	Ackergert	1. Eine vermehrte und verbesserte Versorgung der Landwirtschaft mit den notwendigen Betriebsmitteln , D. h. in erster Linie mit Düngemitteln , Saatgut , Ackergeräten , Zugkräften und Nutzvieh .	2532889X_1947-02-12_01_011.tcf.xml-10-23
$ in diese Frühjahr sollen er seine Ackergerät mal vergebens suchen I_ Tt	7	0	Ackergert	„ In diesem Frühjahr soll er seine Ackergeräte mal vergebens suchen i_ tt	26120215_1962_04_08_01_355.tcf.xml-1-7
Maschine und Ackergerät stehen einsatzbereit $ und hochwertig Vermehrungssaatgut sein vorhanden $	2	0	Ackergert	Maschinen und Ackergeräte stehen einsatzbereit , und hochwertiges Vermehrungssaatgut ist vorhanden .	2532889X_1957-03-07_01_013.tcf.xml-20-2
Senkrecht $ 1. Kraftfahrzeug $ 2. Schnurband $ 3. Laubbaum $ 4. griechisch Buchstabe $ 5. Strom in Afrika $ 6. jugoslawisch Stadt $ Serbien $ $ 7. sowjetisch Kosmonaut $ 8. kaukasisch Zupfinstrument $ 9. Maßeinheit d Beschleunigung $ 12. Literaturfreundin $ 13. Ackergerät $ 16. Greifvogel $ 17. Bewohner eine südosteuropäisch Volksrepublik $ 18. Vorrat $ 21. Mineral mit gut Spaltbarkeit $ 23. keramisch $ Gußmasse $ 25. Italienische Dichter $ 1497/98-1535 $ $ 26. deutsch Naturschilderer $ 27. griechisch Buchstabe $ 29. Campingartikel $ 31. Gewässer $ 32. Feldspielbegriff $ 33. Fluß im Westen d UdSSR $	44	0	Ackergert	Senkrecht : 1. Kraftfahrzeug , 2. Schnürband , 3. Laubbaum , 4. griechischer Buchstabe ,' 5. Strom in Afrika , 6. jugoslawische Stadt ( Serbien ) , 7. sowjetischer Kosmonaut , 8. kaukasisches Zupfinstrument , 9. Maßeinheit der Beschleunigung , 12. Literaturfreundin , 13. Ackergerät , 16. Greifvogel , 17. Bewohner einer südosteuropäischen Volksrepublik , 18. Vorrat , 21. Mineral mit guter Spaltbarkeit , 23. keramische " Gußmasse , 25. Italienischer Dichter ( 1497/98-1535 ) , 26. deutscher Naturschilderer , 27. griechischer Buchstabe , 29. Campingartikel , 31. Gewässer , 32. Feldspielbegriff , 33. Fluß im Westen der UdSSR .	2532889X_1978-07-01_01_257.tcf.xml-3-44
naturgemäß machen $ d Mangel an Zugmaschine und Zugvieh sowie fehlend Ackergerät d Zusammenarbeit d bäuerlich Bevölkerung notwendig $	11	0	Ackergert	Naturgemäß macht « der Mangel an Zugmaschinen und Zugvieh sowie fehlendes Ackergerät die Zusammenarbeit der bäuerlichen Bevölkerung notwendig .	2532889X_1946-08-21_01_048.tcf.xml-28-11
in zahlreich Dorf haben d Bauer durch d Hochwasser Ackergerät und Vieh verlieren $	9	0	Ackergert	In zahlreichen Dörfern haben die Bauern durch das Hochwasser Ackergeräte und Vieh verloren .	26120215_1981_12_24_01_057.tcf.xml-13-9
es schließen sich $ ine Weihnachtsfeier an $ bed d d Vertreterin d Frauenausschuß $ Jem Einwcfonern Podelees Gebrauchsgegenstand und Ackergerät neben Geldspenid'en übergeben können $ die d köpenücker Frauenausschuß im Zusammenarbeit mit d Betrieb und Partei sammeln halten $	20	0	Ackergert	Es schloß sich © ine Weihnachtsfeier an , bed der die Vertreterinnen des Frauenausschusses « Jem Einwcfonern Podelees Gebrauchsgegenstände und Ackergeräte neben Geldspenid'en übergeben konnten , die der Köpenücker Frauenausschuß im Zusammenarbeit mit dem Betrieben und Parteien Gesammelt halte .	2532889X_1946-12-20_01_124.tcf.xml-7-20
viel d ausgestellt Ackergerät sein in d erst Zelt nach 1945 d Bauer noch unentbehrlich $	3	0	Ackergert	Viele der ausgestellten Ackergeräte waren in der ersten Zelt nach 1945 den Bauern noch unentbehrlich .	2532889X_1979-08-03_01_054.tcf.xml-13-3
mit zusammengekneifen Auge mustern eine alt Bauer im grün Loden eine neu Ackergerät für d Zwischenfruchtanbau $ mit die in eine Arbeitsgans mähen $ schälen und säen werden können $	12	0	Ackergert	Mit zusammengekniffenen Augen mustert ein alter Bauer im grünen Loden ein neues Ackergerät für den Zwischenfruchtanbau , mit dem in einem ArbeitsganS gemäht , geschält und gesät werden kann .	2532889X_1950-09-19_01_058.tcf.xml-90-12
