sentence_lemma	sentence_token	index_lemma	index_token	lemma
d Widerstand wachsen $ während Botha mit d Ausnahmegesetz d Medien $ d Land und d Wahrheit zum Schweigen bringen wollen $	Der Widerstand wächst , während Botha mit den Ausnahmegesetzen die Medien , das Land und die Wahrheit zum Schweigen bringen will .	8	8	Ausnahmegesetz
und schließlich sein Karl Marx d ständig Ratgeber und Führer d deutsch Arbeiterklasse in d schwer Zeit d Kampf Cegen d bismnrckschen Ausnahmegesetz $	Und schließlich ist Karl Marx der ständige Ratgeber und Führer der deutschen Arbeiterklasse in der schweren Zeit des Kampfes cegen die Bismnrckschen Ausnahmegesetze .	22	22	Ausnahmegesetz
inlegal Zeitung und ander Literatur $ bauen lokal und inlegal d zerschlagen Gewerkschaft immer wieder auf $ organisiert Streik und Wahl $ machen Beerdigung trotz oft blutig Polizeiterror zu Massendemonstration $ tragen standhaft und zäh alle -opfer und erringen so nach zwölf Jahr d Sieg über d Ausnahmegesetz und d Allmachtig scheinend Bismarck $ weder mit d Peitsche d Polizeiterror noch mit d Zuckerbrot d erst Sozialversicherungsgesetz sein d Arbeiter zur Preisgabe d Klassenbewußtsein und d Sozialismus zu bewegen $	illegale Zeitungen und andere Literatur , bauten lokal und illegal die zerschlagenen Gewerkschaften immer wieder auf . organisierten Streiks und Wahlen , machten Beerdigungen trotz oft blutigen Polizeiterrors zu Massendemonstrationen , trugen standhaft und zäh alle -Opfer und errangen so nach zwölf Jahren den Sieg über das Ausnahmegesetz und den allmachtig scheinenden Bismarck . weder mit der Peitsche des Polizeiterrors noch mit dem Zuckerbrot der ersten Sozialversicherungsgesetze waren die Arbeiter zur Preisgabe des Klassenbewußtseins und des Sozialismus zu bewegen .	47	47	Ausnahmegesetz
d Zahl d gewerkschaftlich organisiert Arbeiterin betragen kaum eine neunzigstel d organisiert Arbeiter $ da d Gewerkschaft unter d $ Ausnahmegesetz ihr Statut meistens so formulieren müssen $ daß d Frau ausdrücklich von d Mitgliedschaft ausschließen werden $	Die Zahl der gewerkschaftlich organisierten Arbeiterinnen betrug kaum ein Neunzigstel der organisierten Arbeiter , da die Gewerkschaften unter dem ' Ausnahmegesetz ihre Statuten meistens so formulieren mußten , daß die Frauen ausdrücklich von der Mitgliedschaft ausgeschlossen wurden .	20	20	Ausnahmegesetz
so haben d Rassistenregime zum Wochenende d im Juni verhängt Ausnahmegesetz weiter verschärfen $	So hat das Rassistenregime zum Wochenende die im Juni verhängten Ausnahmegesetze weiter verschärft .	10	10	Ausnahmegesetz
d Beamte $ die damals d Ausnahmegesetz konzipieren haben $ entwerfen heute d Notstandsgesetz $	Die Beamten , die damals die Ausnahmegesetze konzipiert haben , entwerfen heute das Notstandsgesetz .	6	6	Ausnahmegesetz
d israelisch Regierung haben eine $ Ausnahmegesetz zur Bekämpfung d Terrorismus $ erlassen $	Die israelische Regierung hat ein „ Ausnahmegesetz zur Bekämpfung des Terrorismus " erlassen .	6	6	Ausnahmegesetz
als unabdingbar Bestandteil solch Bedingung werden d sofortig Einführung eine Gesetz über d demokratisch Rechte $ d Außerkraftsetzung d Ausnahmegesetz $ d Freilaßung alle Internierte und d Rückzug d britisch Truppe in ihr Garnison bezeichnen $	Als unabdingbare Bestandteile solcher Bedingungen werden die sofortige Einführung eines Gesetzes über die demokratischen Rechte , die Außerkraftsetzung der Ausnahmegesetze , die Freilassung aller Internierten und der Rückzug der britischen Truppen in ihre Garnisonen bezeichnet .	19	19	Ausnahmegesetz
d Exekutivausächuti werden für d Freilaßung d verhaftet Arbeiter $ d Einstellung d Verfolgung von Streikleünenmein und d Aufhebung d Ausnahmegesetz kämpfen $	Der Exekutivausächuti werde für die Freilassung der verhafteten Arbeiter , die Einstellung der Verfolgung von Streikleünenmein und die Aufhebung der Ausnahmegesetze kämpfen .	20	20	Ausnahmegesetz
er versuchen in diese Ar Tikel bereits im Jahr 1879 $ in d Perlode d bismarckgchen Ausnahmegesetz $ seine reformistisch Ansicht in d Partei einschmuggeln und damit d Sozialdemokratie vom Weg d Kampf um d Sozialigmus und Gen d biimarckschen Terror auf d Linie d Aufgabe d revolutionär Kampf $ d Versöhnung mit d Kapitalismus $ d Verzicht auf d Sozialismus $ W Brinfen	Er versucht In diesem Ar tikel bereits im Jahre 1879 — in der Perlode des Bismarckgchen Ausnahmegesetzes — seine reformistischen Ansichten in die Partei einzuschmuggeln und damit die Sozialdemokratie vom Weg des Kampfes um den Sozialigmus und Genen den Biimarckschen Terror auf die Linie der Aufgabe des revolutionären Kampfes , der Versöhnung mit dem Kapitalismus , des Verzichts auf den Sozialismus , w brinfen	16	16	Ausnahmegesetz
d heftig $ Verfolgung d sozialistisch Bewegung $ die sich 1878 zur Verhängung d Ausnahmegesetz steigern $ schrecken sie nicht $ sondern festigen sie nur in ihr Überzeugung 1882 finden wir Klara in d Schweiz $ wo sie am inlegal $ Sozialdemokraf und Seirer Verbreitung nach Deutschland hinein mitarbeiten $	Die heftigen . Verfolgungen der sozialistischen Bewegung , die sich 1878 zur Verhängung des Ausnahmegesetzes steigerten , schreckten sie nicht , sondern festigten sie nur in ihrer Überzeugung 1882 finden wir Klara in der Schweiz , wo sie am illegalen „ Sozialdemokraf und seirer Verbreitung nach Deutschland hinein mitarbeitet .	14	14	Ausnahmegesetz
in eine gemeinsam Kommunique sprechen sie sich für d Freilaßung alle unter d Ausnahmegesetz Inhaftierte und d Abschaffung d diskriminierend Rassengesetz aus $	In einem gemeinsamen Kommunique sprachen sie sich für die Freilassung aller unter den Ausnahmegesetzen Inhaftierten und die Abschaffung der diskriminierenden Rassengesetze aus .	13	13	Ausnahmegesetz
nur im bonner Staat sein d gültig Gesetz Ausnahmegesetz gegen d Sport $	Nur im Bonner Staat sind die gültigen Gesetze Ausnahmegesetze gegen den Sport .	8	8	Ausnahmegesetz
als Bismarck diese Ausnahmegesetz $ wider d gemeingefährlich Bestrebung d Sozialdemokratie $ am 19. Oktober 1878 $ zwei im Mai und Juni verüben Attentat gegen Wilhelm I. als Vorwand benutzen $ mit 211 gegen 149 Stimme im Reichstag durchbringen können $ sein er durchaus sicher $ d jung Partei d deutsch Proletariat vernichten zu können $	Als Bismarck dieses Ausnahmegesetz „ wider die gemeingefährlichen Bestrebungen der Sozialdemokratie " am 19. Oktober 1878 . zwei im Mai und Juni verübte Attentate gegen Wilhelm I. als Vorwand benutzend , mit 211 gegen 149 Stimmen im Reichstag durchbringen konnte , war er durchaus sicher , die junge Partei des deutschen Proletariats vernichten zu können .	3	3	Ausnahmegesetz
zehn Jahr regieren diese Periode d Militär mit Ausnahmegesetz $	Zehn Jahre regierten dieser Periode die Militärs mit Ausnahmegesetzen .	8	8	Ausnahmegesetz
d Verhaftung d drei jung Mensch $ die nebenbei sagen nicht einmal d FDJ und auch nicht d Sed angehören $ erinnern an d Zeit d Ausnahmegesetz und $ d Nazireeimes $	Die Verhaftung der drei jungen Menschen — die nebenbei gesagt nicht einmal der FDJ und auch nicht der SED angehören — erinnert an die Zeiten der Ausnahmegesetze und ' des Nazireeimes .	26	26	Ausnahmegesetz
Waffen $ $ $ $ gegen Ausnahmegesetz $ $ und $ nie wieder Faschismus und Krieg $ $ mit seh $	waffen ! " , „ Gegen Ausnahmegesetze ! " und „ Nie wieder Faschismus und Krieg ! " mit seh .	6	6	Ausnahmegesetz
$ ermächtigungs- und Ausnahmegesetz pflegen in d Geschichte zuerst immer bescheiden und äußerst gutmütig auftreten $ aber wir kennen d Geist $ die sie regieren $	„ Ermächtigungs- und Ausnahmegesetze pflegen in der Geschichte zuerst immer bescheiden und äußerst gutmütig aufzutreten , aber wir kennen den Geist , der sie regiert .	3	3	Ausnahmegesetz
Men von d britisch Regierung d Freilaßung alle politisch Häftling $ eine Charta d demokratisch Rechte für d Bevölkerung Nordirland $ d Abschaffung alle Ausnahmegesetz $ die d Unterdrückung d Bevölkerung dienen $ d Rückzug d britisch Truppe in Nordirland in ihr Kaserne bis zu ihr endgültig Abzug und d Ersetzung d irisch Polizei durch Ordnungskraft $ die für d Bevölkerung annehmbar sein und unter demokratisch Kontrolle stehen $	men von der britischen Regierung die Freilassung aller politischen Häftlinge , eine Charta der demokratischen Rechte für die Bevölkerung Nordirlands , die Abschaffung aller Ausnahmegesetze , die der Unterdrückung der Bevölkerung dienen , den Rückzug der britischen Truppen in Nordirland in ihre Kasernen bis zu ihrem endgültigen Abzug und die Ersetzung der irischen Polizei durch Ordnungskräfte , die für die Bevölkerung annehmbar sind und unter demokratischer Kontrolle stehen .	24	24	Ausnahmegesetz
$ zu keine Zeit $ $ so resümieren August Bebel $ $ sein d Klassencharakter von Staat und Gesellschaft d Masse so ins Bewußtsein bringen werden wie unter d fast zwölfjahrig Dauer d Ausnahmegesetz $ nie haben Regierung $ Polizei und Gericht an Ansehen und Autorität mehr einbüßen $	„ Zu keiner Zeit , " so resümierte August Bebel , „ ist der Klassencharakter von Staat und Gesellschaft den Massen so ins Bewußtsein gebracht worden wie unter der fast zwölfjährigen Dauer des Ausnahmegesetzes , nie haben Regierung , Polizei und Gerichte an Ansehen und Autorität mehr eingebüßt .	33	33	Ausnahmegesetz
