sentence_lemma	sentence_token	index_lemma	index_token	lemma
Titel reihen sich an Titel $ ohne daß d Sendung damit d nötig Dynamik gewinnen $	Titel reihte sich an Titel , ohne daß die Sendung damit die nötige Dynamik gewann .	13	13	Dynamik
Stabilität $ Dynamik und Zielstrebigkeit $ wie sie für d Realisierung $ d Beschluß d xi. Parteitag d Sed zur weit Gestaltung d entwickelt sozialistisch Gesellschaft charakteristisch sein $ erhalten um so groß Gewicht $ als sie zugleich d international Position d DDR stärken $	Stabilität , Dynamik und Zielstrebigkeit , wie sie für die Realisierung ' der Beschlüsse des XI. Parteitages der SED zur weiteren Gestaltung der entwickelten sozialistischen Gesellschaft charakteristisch sind , erhalten um so größeres Gewicht , als sie zugleich die internationale Position der DDR stärken .	2	2	Dynamik
d DDR verfügen über alle Potenz $ um auch künftig eine hoch Dynamik d gesellschaftlich Entwicklung zu gewährleisten und d Anforderung unsere Zeit erfolgreich im Interesse und zum Wohl d Mensch zu bewältigen $	Die DDR verfügt über alle Potenzen , um auch künftig eine hohe Dynamik der gesellschaftlichen Entwicklung zu gewährleisten und die Anforderungen unserer Zeit erfolgreich im Interesse und zum Wohle der Menschen zu bewältigen .	12	12	Dynamik
d programmatisch Feststellung d Generalsekretär d Zentralkomitee unsere Partei Genosse Erich Honecker $ daß politisch Stabilität $ ökonomisch Dynamik $ kontinuierlich Fortsetzung d Einheil von Wutschaft und Sozialpolitik zum Wohl De* Vnll'p $ $ von entscheidend Bedeutung für unsere Beitrag zur Sicherung d Frieden sein $ haben ihr Bestätigung auch hier in Dei Uno finden $ im erfolgreich Wirken d Delegation d DDR auf d 38. Vollversammlung $	Die programmatische Feststellung des Generalsekretärs des Zentralkomitees unserer Partei Genossen Erich Honecker , daß politische Stabilität , ökonomische Dynamik , kontinuierliche Fortsetzung der Einheil von Wutschafts und Sozialpolitik zum Wohle de* Vnll'p « ; von entscheidender Bedeutung für unseren Beitrag zur Sicherung des Friedens sind , haben ihre Bestätigung auch hier in dei UNO gefunden , im erfolgreichen Wirken der Delegation der DDR auf der 38. Vollversammlung .	18	18	Dynamik
d Abkommen steil $ eine potentiell bedeutsam Wandel in d Dynamik d Ost-West-Konfrontation $ dar $	Das Abkommen steile „ einen potentiell bedeutsamen Wandel in der Dynamik der Ost-West-Konfrontation " dar .	10	10	Dynamik
in Verwirklichung d Beschluß d 7. Tagung d Zentralkomitee gelten es $ d Intensivierung d Volkswirtschaft umfaßend zu vertiefen $ um d ökonomisch Dynamik und d wirtschaftlich Leistungskraft unsere Republik weiter ausbauen $	In Verwirklichung der Beschlüsse der 7. Tagung des Zentralkomitees gelte es , die Intensivierung der Volkswirtschaft umfassend zu vertiefen , um die ökonomische Dynamik und die wirtschaftliche Leistungskraft unserer Republik weiter auszubauen .	23	23	Dynamik
d Dynamik d Wirtschaft während d nächst fünf Jahr kommen in d Ansteigen d Nationaleinkommen mit d Jahreszuwachsrate von rund sieben Prozent zum Ausdruck $	Die Dynamik der Wirtschaft während der nächsten fünf Jahre kommt in dem Ansteigen des Nationaleinkommens mit der Jahreszuwachsrate von rund sieben Prozent zum Ausdruck .	1	1	Dynamik
diese ganz personlich Konfrontation mit d Dynamik Aer industriell Vorfertigung im Wohnungsbau sein gar nicht so einfach zu bestehen $	Diese ganz personliche Konfrontation mit der Dynamik aer industriellen Vorfertigung im Wohnungsbau war gar nicht so einfach zu bestehen .	6	6	Dynamik
Günter Mittag $ Mitglied d Politbüro und Sekretär d Zentralkomitee d Sed $ weisen nach $ daß in unsere Republik d sozialistisch Planwirtschaft ihr Dynamik auch unter verändert Bedingung beweisen $ weil d marxistisch-leninistisch Partei in d Wirtschaftspolitik ihr führend Rolle auf d Grundlage eine richtig Gesellschaftsstrategie konsequent verwirklichen	Günter Mittag , Mitglied des Politbüros und Sekretär des Zentralkomitees der SED , weist nach , daß in unserer Republik die sozialistische Planwirtschaft ihre Dynamik auch unter veränderten Bedingungen beweist , weil die marxistisch-leninistische Partei in der Wirtschaftspolitik ihre führende Rolle auf der Grundlage einer richtigen Gesellschaftsstrategie konsequent verwirklicht	24	24	Dynamik
d mexikanisch Außenminister Bernardo Sepulveda stellen fest $ d Weg d politisch Verhandlung gen im Interesse d Konfliktbeilegung haben in Tegucigalpa eine neu Dynamik erhalten $	Der mexikanische Außenminister Bernardo Sepulveda stellte fest , der Weg der politischen Verhandlung gen im Interesse der Konfliktbeilegung habe in Tegucigalpa eine neue Dynamik erhalten ,	23	23	Dynamik
d Eltern haben verstehen $ daß d $ Dynamik d gesellschaftlich Entwicklung auch hoch Anforderung an d sozialistisch Erziehung in d Familie stellen $ wie schon auf d viii $	Die Eltern haben verstanden , daß die . Dynamik der gesellschaftlichen Entwicklung auch höhere Anforderungen an die sozialistische Erziehung in der Familie stellt , wie schon auf dem VIII .	8	8	Dynamik
zu zusammenhanglos $ ohne Witz und Dynamik operieren d Gastgeber $ bei die nur Meinert $ Strozniak und Dressel eine zufriedenstellend Partie bieten $	Zu zusammenhanglos , ohne Witz und Dynamik operierten die Gastgeber , bei denen nur Meinert , Strozniak und Dressel eine zufriedenstellende Partie boten .	6	6	Dynamik
kontinuierlich zu produzieren $ also termin- und qualitätsgerecht $ die heißen Monat für Monat $ Dekade für Dekade $ Tag für Tag d geplant Dynamik beim Leistungszuwachs entsprechend d volkswirtschaftlich Bedarf zu erreichen $ d Plan zu erfüllen $	Kontinuierlich zu produzieren , also termin- und qualitätsgerecht , das heißt Monat für Monat , Dekade für Dekade , Tag für Tag die geplante Dynamik beim Leistungszuwachs entsprechend dem volkswirtschaftlichen Bedarf zu erreichen , den Plan zu erfüllen .	24	24	Dynamik
und seine landschafts- und Tierdarstellung erhalten ihr inner Dynamik aus ebendiese Bezug $	Und seine Landschafts- und Tierdarstellungen erhalten ihre innere Dynamik aus ebendiesem Bezug .	8	8	Dynamik
so können d Kontinuität und Dynamik unsere wirtschaftlich Entwicklung sichern werden $ obwohl sich d außenwirtschaftlich Bedingung bereits wesentlich zu unsere Ungunsten verändern haben $	So konnten die Kontinuität und Dynamik unserer wirtschaftlichen Entwicklung gesichert werden , obwohl sich die außenwirtschaftlichen Bedingungen bereits wesentlich zu unseren Ungunsten verändert hatten .	5	5	Dynamik
sozialistisch Eigentümerbewußtsein und demokratisch Masseninitiative $ noch fest zu eine untrennbar Einheit zusammenfügen $ um d Dynamik unsere Entwicklung gerecht zu werden $	sozialistischen Eigentümerbewußtseins und demokratischer Masseninitiative , noch fester zu einer untrennbaren Einheit zusammenzufügen , um der Dynamik unserer Entwicklung gerecht zu werden .	16	16	Dynamik
durch eine ständig Dynamik $ durch beiderseitig Bemühen um d Lösung noch vorhanden Schwäche und Mangel $ durch gemeinsam Suche nach Antwort auf d aktuell Bedürfnis und Forderung kennzeichnen sein $	durch eine ständige Dynamik , durch beiderseitiges Bemühen um die Lösung noch vorhandener Schwächen und Mängel , durch gemeinsames Suchen nach Antworten auf die aktuellen Bedürfnisse und Forderungen gekennzeichnet sind .	3	3	Dynamik
in Auswertung d xi. Parteitag d Sed haben d LDPD darauf orientieren $ daß alle Mitglied intensiv d im Bericht und in d direktiv herausgearbeitet Grundrich Tungen d wirtschafts- und Sozialpolitik studieren und in ihr theoretisch Gehalt mit d Ziel eindringen $ eine eigen Beitrag zur weit ökonomisch Dynamik d Republik zu leisten $	In Auswertung des XI. Parteitages der SED habe die LDPD darauf orientiert , daß alle Mitglieder intensiv die im Bericht und in der Direktive herausgearbeiteten Grundrich tungen der Wirtschafts- und Sozialpolitik studieren und in ihren theoretischen Gehalt mit dem Ziel eindringen , einen eigenen Beitrag zur weiteren ökonomischen Dynamik der Republik zu leisten .	48	48	Dynamik
wir lassen uns davon leiten $ daß d Dynamik d Wirtschaftswachstum immer mehr von d Beherrschung d Schlüsseltechnologie bestimmen werden $	Wir lassen uns davon leiten , daß die Dynamik des Wirtschaftswachstums immer mehr von der Beherrschung der Schlüsseltechnologien bestimmt wird .	8	8	Dynamik
anhand diese Aufnahme werden d Dynamik geologisch Prozeß erforschen $ werden Hydrogeologlsche Karten' entwerfen sowie d geotechnisch Bedingung für d Bau verschieden Objekt Estimmt $	Anhand dieser Aufnahmen werde die Dynamik geologischer Prozesse erforscht , werden hydrogeologlsche Karten' entworfen sowie die geotechnischen Bedingungen für den Bau verschiedener Objekte estimmt .	5	5	Dynamik
Angola d Zeitung $ diario de luanda $ heben d Wort Erich Honecker hervor $ Stabilität und Dynamik d sozialistisch Weltsystem bestimmt in eng Zusammenwirken mit d international Arbeiterbewegung und d national Befreiungsbewegung immer mehr d Gang d Ding iii d Welt $	ANGOLA Die Zeitung „ Diario de Luanda " hebt die Worte Erich Honeckers hervor , Stabilität und Dynamik des sozialistischen Weltsystems bestimmten in engem Zusammenwirken mit der internationalen Arbeiterbewegung und der nationalen Befreiungsbewegung immer mehr den Gang der Dinge iii der Welt .	17	17	Dynamik
politisch Stabilität $ ökonomisch Dynamik und staatlich Sicherheit sein nicht voneinander zu trennen	Politische Stabilität , ökonomische Dynamik und staatliche Sicherheit seien nicht voneinander zu trennen	4	4	Dynamik
sie weisen damit eine hoch Dynamik auf als im Vergleichszeitraum d Vorjahr $	Sie weist damit eine höhere Dynamik auf als im Vergleichszeitraum des Vorjahres .	5	5	Dynamik
