sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
$ d Logik d Ding selbst führen zu d Erkenntnis $ daß sich d Regierung bei ihr Entscheidung von ander Motiv als vom Umweltschutz leiten lassen $	17	0	Entscheidung	„ Die Logik der Dinge selbst führt zu der Erkenntnis , daß sich die Regierung bei ihrer Entscheidung von anderen Motiven als vom Umweltschutz leiten ließ .	26120215_1974_02_03_01_331.tcf.xml-6-17
ich finden diese Entscheidung für jede jung emanzipiert Frau entwürdigen und deprimierend ich können und wollen sie nicht einfach so hinnehmen $	3	0	Entscheidung	Ich finde diese Entscheidung für jede junge emanzipierte Frau entwürdigend und deprimierend ich kann und will sie nicht einfach so hinnehmen .	2532889X_1990-02-23_01_107.tcf.xml-29-3
Entscheidung $ die auf d Festigkeit d Klassenkollektiv wie auch auf d Entwicklung d Schülerpersönlichkeit bestimmend Einfluß nehmen können $ dürfen ich nicht spontan treffen $	0	0	Entscheidung	Entscheidungen , die auf die Festigkeit des Klassenkollektivs wie auch auf die Entwicklung der Schülerpersönlichkeit bestimmenden Einfluß nehmen können , darf ich nicht spontan treffen .	2532889X_1968-08-17_01_061.tcf.xml-30-0
wir haben er gleichzeitig auch d Frage d Bevölkerung d Hauptstadt vorlegen $ warum d Magistrat d Initiative d berliner zum Bau eine neu Müggelturmes dadurch bremsen $ daß er so lange zögern $ eine endgültig Entscheidung über diese Projekt zu treffen $	36	0	Entscheidung	Wir hatten ihm gleichzeitig auch die Frage der Bevölkerung der Hauptstadt vorgelegt , warum der Magistrat die Initiative der Berliner zum Bau eines neuen Müggelturmes dadurch bremste , daß er so lange zögerte , eine endgültige Entscheidung über dieses Projekt zu treffen .	26120215_1959_03_15_01_201.tcf.xml-24-36
innerhalb von vier Woche nach d Entscheidung über d Aufnahme haben d Betrieb mit d Jugendliche eine Lehr vertragen zum 1. September 1978 abschließen	6	0	Entscheidung	Innerhalb von vier Wochen nach der Entscheidung über die Aufnahme hat der Betrieb mit dem Jugendlichen einen Lehr vertrag zum 1. September 1978 abzuschließen	2532889X_1977-10-14_01_103.tcf.xml-11-6
während über 100 und vielleicht 200 M Konkurrent wie Mike Wenden $ Australien $ $ Michel Rousseau $ Frankreich $ oder Wladimir Bure $ UdSSR $ noch in d Entscheidung eingreifen können $ sein auf d lang Kraulstrecke bisher weit und breit keine ernsthaft Gegner zu sehen $	29	0	Entscheidung	Während über 100 und vielleicht 200 m Konkurrenten wie Mike Wenden ( Australien ) , Michel Rousseau ( Frankreich ) oder Wladimir Bure ( UdSSR ) noch in die Entscheidung eingreifen könnten , ist auf den langen Kraulstrecken bisher weit und breit kein ernsthafter Gegner zu sehen .	26120215_1972_08_08_01_113.tcf.xml-20-29
Galeriekonze Rt d DS Entscheidung d Tag 19.40 Orplf zum Hörer $	4	0	Entscheidung	Galeriekonze rt des DS Entscheidungen des Tages 19.40 Orplf zum Hörer .	26120215_1968_02_09_01_350.tcf.xml-204-4
nach d entschieden Erklärung Rechtsanwalt Doktor Kauls und nachdem Rechtsanwalt Doktor Böhmer I eine sofortig Entscheidung d Gericht über d eingebringt Antrag verlangen $ können Wintrich nicht umhin $ diese Antrag stattgeben $	15	0	Entscheidung	Nach der entschiedenen Erklärung Rechtsanwalt Dr. Kauls und nachdem Rechtsanwalt Dr. Böhmer I eine sofortige Entscheidung des Gerichts über die eingebrachten Anträge verlangte , konnte Wintrich nicht umhin , diesem Antrag stattzugeben .	2532889X_1954-11-25_01_012.tcf.xml-10-15
wohl in keine ander Sportart sein Entscheidung so umstritten wie gerade beim Eishockey mit seine unzählig kompliziert Paragraph $	6	0	Entscheidung	Wohl in keiner anderen Sportart waren Entscheidungen so umstritten wie gerade beim Eishockey mit seinen unzähligen komplizierten Paragraphen .	26120215_1952_01_09_01_036.tcf.xml-3-6
sie stehen in d letzte Jahr wiederholt in d Entscheidung um d Meistertitel gegenüber $ die beide je dreimal an sich bringen können $ $ ich sein am Sonntag wieder da und gehen mit groß Selbstvertrauen in d Titelkampf $ $ erklären wir Meister Voeeenreiter $	9	0	Entscheidung	Sie standen in den letzten Jahren wiederholt in den Entscheidungen um den Meistertitel gegenüber , den beide je dreimal an sich bringen konnten , „ Ich bin am Sonntag wieder da und gehe mit großem Selbstvertrauen in den Titelkampf " , erklärte uns Meister Voeeenreiter .	26120215_1948_08_21_01_056.tcf.xml-11-9
wir Kommunist setzen uns dagegen für d Wahl eine gesamtdeutsch Nationalversammlung ein $ die d Verfassungsentwurf für ganz Deutschland ausarbeiten und d Volk zur endgültig Entscheidung vorlegen sollen $	25	0	Entscheidung	Wir Kommunisten setzten uns dagegen für die Wahl einer gesamtdeutschen Nationalversammlung ein , die den Verfassungsentwurf für ganz Deutschland ausarbeiten und dem Volk zur endgültigen Entscheidung vorlegen sollte .	2532889X_1974-05-24_01_090.tcf.xml-3-25
d Entscheidung Daniber $ ob d Welt-Titelkampf von d DDR überhaupt beschicken werden $ fällen jedoch erst nach d international Wettbewerb vom 17. bis 19. Januar in Kitzbühel und am 25./26 $	1	0	Entscheidung	Die Entscheidung daniber , ob die Welt-Titelkämpfe von der DDR überhaupt beschickt werden , fällt jedoch erst nach den internationalen Wettbewerben vom 17. bis 19. Januar in Kitzbühel und am 25./26 .	26120215_1958_01_07_01_168.tcf.xml-3-1
trotz diese Entscheidung verschaffen sich d Stimme d Opposition stark als früh Gehör $	2	0	Entscheidung	Trotz dieser Entscheidung verschaffte sich die Stimme der Opposition stärker als früher Gehör .	2532889X_1968-02-11_01_125.tcf.xml-6-2
es sein nicht d Entscheidung d Volk von Simbabwe $	4	0	Entscheidung	Es ist nicht die Entscheidung des Volkes von Simbabwe .	2532889X_1979-02-22_01_024.tcf.xml-48-4
viert Platz bleiben $ sein eine d umstritten Entscheidung diese Spiel $ die jedoch nicht $ nur wir treffen $	8	0	Entscheidung	vierte Platz blieb , war eine der umstrittenen Entscheidungen dieser Spiele , die jedoch nicht ' nur uns trafen .	2532889X_1968-02-19_01_163.tcf.xml-44-8
damit haben d Arbeiter Burma eine Entscheidung treffen $ die für d weit Entwicklung ihr Land von groß Bedeutung sein $	6	0	Entscheidung	Damit haben die Arbeiter Burmas eine Entscheidung getroffen , die für die weitere Entwicklung ihres Landes von großer Bedeutung ist .	2532889X_1964-05-24_01_156.tcf.xml-5-6
Pressebericht zufolge begründen Ard und Zweite_Deutsche_Fernsehen ihr Entscheidung damit $ daß d viel klein Partei bei eine solch Sendung nicht berücksichtigen werden können $	7	0	Entscheidung	Presseberichten zufolge begründeten ARD und ZDF ihre Entscheidung damit , daß die vielen kleinen Parteien bei einer solchen Sendung nicht berücksichtigt werden könnten .	26120215_1990_11_05_01_304.tcf.xml-8-7
d Zeit stellen d Mensch unausweichlich vor d Entscheidung $ die er treffen müssen $ um zu leben $ denn $ eine Leben ohne Entscheidung sein keine Leben $ $	24	0	Entscheidung	Die Zeit stelle den Menschen unausweichlich vor die Entscheidung , die er treffen müsse , um zu leben : denn „ ein Leben ohne Entscheidung Ist kein Leben " .	2532889X_1959-07-22_01_091.tcf.xml-64-24
d Sekretariatsmitglied führen wiederholt Kontrollebefahrung durch $ beraten sich mit d Genosse vor Ort und dringen auf schnell Entscheidung $	18	0	Entscheidung	Die Sekretariatsmitglieder führten wiederholt Kontrollbefahrungen durch , berieten sich mit den Genossen vor Ort und drangen auf schnelle Entscheidungen .	2532889X_1979-12-15_01_205.tcf.xml-45-18
dafür brüsten man $ sich aber im Vorstandskommunique' $ daß man alle notwendig Entscheidung $ im Einvernehmen mit unsere Verbündete treffen müssen $	13	0	Entscheidung	Dafür brüstet man ' sich aber im Vorstandskommunique' , daß man alle notwendigen Entscheidungen „ im Einvernehmen mit unseren Verbündeten treffen muß .	2532889X_1961-07-13_01_006.tcf.xml-34-13
ebenso wie wir jetzt in Industrie und Landwirtschaft buchstäblich keine Schritt ohne Inanspruchnahme d neu Errungenschaft d Wissenschaft vorankommen können $ so sein auch in unsere gesellschaftlich Leben d Entwicklung d Wissenschaft d notwendig Basis für Entscheidung $ für d tagtäglich Praxis $	36	0	Entscheidung	Ebenso wie wir jetzt in Industrie und Landwirtschaft buchstäblich keinen Schritt ohne Inanspruchnahme der neuesten Errungenschaften der Wissenschaft vorankommen können , so ist auch in unserem gesellschaftlichen Leben die Entwicklung der Wissenschaft die notwendige Basis für Entscheidungen , für die tagtägliche Praxis .	2532889X_1972-12-22_01_028.tcf.xml-906-36
d ideologisch Arbeit mit d Leiter und Einkäufer haben deshalb d Ziel $ sie ihr hoch Verantwortung zu zeigen $ immerhin kaufen sie für 40 Million Mark Ware ein $ und sie zu befähigen $ klug Entscheidung für eine bedarfsgerecht Versorgung zu treffen $	36	0	Entscheidung	Die ideologische Arbeit mit den Leitern und Einkäufern hatte deshalb das Ziel , ihnen ihre hohe Verantwortung zu zeigen — immerhin kaufen sie für 40 Millionen Mark Ware ein — und sie zu befähigen , kluge Entscheidungen für eine bedarfsgerechte Versorgung zu treffen .	26120215_1974_05_29_01_153.tcf.xml-10-36
