sentence_lemma	sentence_token	target_index	original_word
Terie $ die noch $ u Fuß d Cheifs stehen $	terie , die noch « u Füßen des Cheifs stand .	5	Fu
mit eine Boot kommen sie herüber und setzen ihr Fuß auf unsere Ufer $	Mit einem Boot kamen sie herüber und setzten ihren Fuß auf unser Ufer .	6	Fu
auch Versicherung lassen sich $ haben d Vertreter einmal d Fuß in d Wohnung setzen $ in eine persönlich Gespräch gut $ an d Mann bringen $	Auch Versicherungen lassen sich , hat der Vertreter einmal den Fuß in die Wohnung gesetzt , in einem persönlichen Gespräch besser „ an den Mann bringen .	10	Fu
d Aufforderung an d Bundesregierung in Bonn $ eine Volksabstimmung durchführen $ basieren auf eine staats- und Völkerrecht $ die Verneinung nichts andere bedeuten können $ als d primitiv demokratisch $ Recht eine Volk mit Fuß treten $	Die Aufforderung an die Bundesregierung in Bonn , eine Volksabstimmung durchzuführen , basiert auf einem Staats- und Völkerrecht , dessen Verneinung nichts anderes bedeuten könnte , als das primitivste demokratische . Recht eines Volkes mit Füßen treten .	13	Fu
well man in Bonn wissen $ daß d EVQ auf sehr schwach Fuß stehen $ wollen man $ falls d Evg-Proiekt scheitern $ für eine noch eng Zusammenarbeit mit d Usa Vorsorge treffen $ 471	Well man in Bonn wisse , daß die EVQ auf sehr schwachen Füßen stehe , wolle man , falls das EVG-Proiekt scheitert , für eine noch engere Zusammenarbeit mit den USA Vorsorge treffen . 471	9	Fu
bei er schwimmen nichts in nebelhaft Ferne $ bei er sein alle glasklar $ und wenn er sich für eine Mann wie Ossietzky einsetzen $ dann haben d Hand und Fuß $	Bei ihm schwimmt nichts in nebelhafter Ferne , bei ihm ist alles glasklar , und wenn er sich für einen Mann wie Ossietzky einsetzte , dann hatte das Hand und Fuß .	14	Fu
nie wieder werden d Mörder d deutsch Volk $ d Schänder d deutsch Kul> Tur eine Fuß auf unsere Boden setzen $	Nie wieder werden die Mörder des deutschen Volkes , die Schänder der deutschen Kul> tur einen Fuß auf unseren Boden setzen .	14	Fu
allein d darauf ruhend Fuß schalten bereits d Mikrotaster ein und damit d Schubabschaltung und ihr Spareffekt aus $	Allein der darauf ruhende Fuß schaltet bereits den Mikrotaster ein und damit die Schubabschaltung und ihren Spareffekt aus .	4	Fu
Brauer schlagen d Ball von d Linie $ aber genau Riediger in d Fuß $ die sein 15. Saisontor erzielen dann dringen in d 43. Minute d überragend Schulenberg im Slalomlauf in d gegnerisch Strafraum ein $ serviert Schütze d Ball genau vor d Fuß $ die aus d Drehung zum 2:0 einschießen $	Brauer schlug den Ball von der Linie , aber genau Riediger in die Füße , der sein 15. Saisontor erzielte Dann drang in der 43. Minute der überragende Schulenberg im Slalomlauf in den gegnerischen Strafraum ein , servierte Schütze den Ball genau vor die Füße , der aus der Drehung zum 2:0 einschoß .	47	Fu
sie $ d Junge $ werden es zu Fuß legen $ gratis und franko $	Ihnen , den Jungen , wird es zu Füßen gelegt , gratis und franko .	7	Fu
wenn wir d Ursache für d Krise so erklären $ dann können wir darauf warten $ daß Revisionismus und Opportunismus im Bewußtsein d Mensch fest Fuß fassen $	Wenn wir die Ursachen für die Krise so erklären , dann können wir darauf warten , daß Revisionismus und Opportunismus im Bewußtsein der Menschen festen Fuß fassen .	18	Fu
zu eine Zeitpunkt $ da d Entspannungsprozeß in Europa und in ander Teil d Welt erst Frucht d beharrlich Ringen d friedeliebend Volk tragen $ halten d anormal Lage auf Zypern weiter an $ treten d Imperialismus und seine Helfershelfer d Völkerrecht schamlos mit Fuß $	Zu einem Zeitpunkt , da der Entspannungsprozeß in Europa und in anderen Teilen der Welt erste Früchte des beharrlichen Ringens der friedliebenden Völker trägt , hält die anormale Lage auf Zypern weiter an , treten der Imperialismus und seine Helfershelfer das Völkerrecht schamlos mit Füßen .	0	Fu
Jh.. Re $ $ Doktor Günter Hesse $ $ Elfried mein link Fuß 18 Uhr $ Club d Re $ Gertrud Hertzer $ albrechtstra- 18. griechisch Göttin $	Jh.. re ; „ Dr. Günter Hesse " : Elfriede Mein linker Fuß 18 Uhr , Club der re ; Gertrud Hertzer , Albrechtstra- 18. griechische Göttin .	12	Fu
seine Majestät besteigen sein Roß auf Helftaer Boden und reiten $ ohne seine Fuß auf d verflucht eislebener Erde zu setzen $ zum Markt $	Seine Majestät bestieg sein Roß auf Helftaer Boden und ritt . ohne seinen Fuß auf die verfluchte Eislebener Erde zu setzen , zum Markt .	19	Fu
$ ich haben naß Fuß $ $ sagen d Frau $ als wir am Stadtrand ankommen sein $ $ Schnee sein ich in d Schuh gefallen $	„ Ich habe nasse Füße " , sagte die Frau , als wir am Stadtrand angekommen waren , „ Schnee ist mir in die Schuhe gefallen .	9	Fu
60000 Mann stehen mit Gewehr bei Fuß und warten auf d Kommando $ Feuer frei $ d Konzerngewaltige $	60000 Mann stehen mit Gewehr bei Fuß und warten auf das Kommando „ Feuer frei " der Konzerngewaltigen .	6	Fu
$ und du wollen zu Fuß bis Polen gehen $	.. Und du willst zu Fuß bis Polen gehen ?	2	Fu
Kolbenschlag auf d Kinnspitze $ Fessel um Fuß und Hals $ die bei d gering Bewegung zur Selbsterdrosselung führen $ die sollen d Fahnenjunker d Bundeswehr hart machen $	Kolbenschläge auf die Kinnspitze , Fesseln um Füße und Hals , die bei der geringsten Bewegung zur Selbsterdrosselung führen — das soll die Fahnenjunker der Bundeswehr hart machen .	6	Fu
d Pfad werden immer schlecht $ meine Fuß fangen an zu schmerzen $ und auch d andern von d Wachgruppe gehen es so $	Der Pfad wurde immer schlechter , meine Füße fingen an zu schmerzen , und auch den andern von der Wachgruppe ging es so .	10	Fu
d demokratisch Rechte d Bürger werden mit Fuß treten $	Die demokratischen Rechte der Bürger wurden mit Füßen getreten .	5	Fu
d ehemalig Kompaniechef in eine Ss-Polizeiregiment Wilhelm Siemers $ die d Beihilfe zum Mord an etwa tausend polnisch Bürger anklagen sein $ bleiben ohne Bestrafung auf frei Fuß $	Der ehemalige Kompaniechef in einem SS-Polizeiregiment Wilhelm Siemers , der der Beihilfe zum Mord an etwa tausend polnischen Bürgern angeklagt war , bleibt ohne Bestrafung auf freiem Fuß .	12	Fu
da sein d Glückspilz $ d Heimfahrer $ mit ihr Bündel $ vermummen bis zur Nase $ treten von eine Fuß auf d ander $ mehr vor Aufregung als vor Kälte $	Da sind die Glückspilze , die Heimfahrer , mit ihren Bündeln , vermummt bis zur Nase , treten von einem Fuß auf den anderen , mehr vor Aufregung als vor Kälte .	14	Fu
aber es bleiben er auch keine Zeit $ darüber zu reflektieren $ denn d Mann hinter d Gitter erstarrt nach diese Satz in seine Bewegung $ bringen nur langsam d recht Fuß wieder auf d Erde $ machen eine Kehrtwendung auf d link Absatz und blicken Frank Einige-Sekunden lang forschen an $	Aber es blieb ihm auch keine Zeit , darüber zu reflektieren ; denn der Mann hinter dem Gitter erstarrte nach diesem Satz in seiner Bewegung , brachte nur langsam den rechten Fuß wieder auf die Erde , machte eine Kehrtwendung auf dem linken Absatz und blickte Frank einige-Sekunden lang forschend an .	9	Fu
d beide im Boot sein naß von kop * bis Fuß $	Die beiden im Boot waren naß von KoP * bis Fuß .	10	Fu
sie treten d Seeleute mit Fuß $ schlagen sie ins Gesicht $ zerren sie an d Haaren und Verrankten sie d Arme $	Sie traten die Seeleute mit Füßen , schlugen ihnen ins Gesicht , zerrten sie an den Haaren und verrankten ihnen die Arme .	17	Fu
$ ich werden geraten $ bei d Wetter lieber zu Fuß zu gehen $	„ Mir wurde geraten , bei dem Wetter lieber zu Fuß zu gehen !	9	Fu
Bolcla probieren mit d recht Fuß eine neu $ schwarz Schuh mit flach Absatz an $	Bolcla probiert mit dem rechten Fuß einen neuen , schwarzen Schuh mit flachem Absatz an .	5	Fu
er steigen aus d Wanne $ tappen auf bloß Fuß durch d Wohnung $ langweilen sich $ fühlen sich vernachlässigen $ werden hungrig $ suchen nach Essen und finden eine halb Huhn im Kühlschrank $	Er steigt aus der Wanne , tappt auf bloßen Füßen durch die Wohnung , langweilt sich , fühlt sich vernachlässigt , wird hungrig , sucht nach Essen und findet ein halbes Huhn im Kühlschrank .	2	Fu
$ eine erneut Mal sein beweisen $ wie brutal in d vereinigt Staat d herrschend Kreis und ihr Büttel im Interesse von Macht und Profit d verfassungsmäßig Rechte d unterdrückt und ausgebeutet schwarz Amerikaner und ander Minderheit mit Fuß treten $ $ heißen es dann $	„ Ein erneutes Mal ist bewiesen , wie brutal in den Vereinigten Staaten die herrschenden Kreise und ihre Büttel im Interesse von Macht und Profit die verfassungsmäßigen Rechte der unterdrückten und ausgebeuteten schwarzen Amerikaner und anderer Minderheiten mit Füßen treten " , heißt es dann .	16	Fu
gegen eine Kaution von 10000 Dollar werden er auf frei Fuß setzen $	Gegen eine Kaution von 10000 Dollar wurde er auf freien Fuß gesetzt .	8	Fu
mit diese Konzeption fassen d Partei im städtisch Mittelstand und in d alt Intelligenz rasdi Fuß $ sie finden Zuspruch besonders auch bei d um diese Zeit aus d Sowjetunion heimkehrend deutsch Kriegsgefangene $ die Sidi zumeist bereits d antifaschistisch Bewegung anschließen haben $	Mit dieser Konzeption faßte die Partei im städtischen Mittelstand und in der alten Intelligenz rasdi Fuß ; sie fand Zuspruch besonders auch bei den um diese Zeit aus der Sowjetunion heimkehrenden deutschen Kriegsgefangenen , die sidi zumeist bereits der antifaschistischen Bewegung angeschlossen hatten .	24	Fu
nämlich vor zwei Jahr nicht mehr und nicht wenige $ als daß mitten in d kalifornisch Wüste vor seine Fuß eine $ fliegend Untertasse landen $	nämlich vor zwei Jahren nicht mehr und nicht weniger , als daß mitten in der kalifornischen Wüste vor seinen Füßen eine „ Fliegende Untertasse landete .	6	Fu
was im Versorgungskontor kopfstehen $ sollen $ wieder auf d Fuß kommen $	Was im Versorgungskontor kopfsteht , soll - wieder auf die Fuße kommen .	8	Fu
da sich d Gegner aber $ Idit daran halten und trotzdem zu seine schnell Tor nach bereits drei Minute kommen Ausgangspunkt sein eine technisch Unfertigkeit eine Spieler $ die d Ball fünf Meter vom Fuß prallen lassen $ so daß d Gegner kontern- können $ sein d $ Spiel schon fast mit d Anpfiff gegen wir laufen $	Da sich der Gegner aber ^ idit daran hielt und trotzdem zu seinem schnellen Tor nach bereits drei Minuten kam Ausgangspunkt war eine technische Unfertigkeit eines Spielers , der den Ball fünf Meter vom Fuß prallen ließ , so daß der Gegner kontern- konnte — war das , Spiel schon fast mit dem Anpfiff gegen uns gelaufen .	11	Fu
Gebrechlichkeit $ krank Fuß $ dösen genügen $ um d Tod verfallen zu sein $	Gebrechlichkeit , kranke Füße — dös genügte , um dem Tode verfallen zu sein .	8	Fu
d Usa werden anklagen $ d Moral $ d Tradition und Gewohnheit d vietnamesisch Volk mit Fuß zu treten $	Die USA wurden angeklagt , die Moral , die Traditionen und Gewohnheiten des vietnamesischen Volkes mit Füßen zu treten .	17	Fu
sie erheben zugleich Anklage gegen d Bonner Regime $ die d Rechte d Jugend mit Fuß treten $	Sie erhoben zugleich Anklage gegen das Bonner Regime , das die Rechte der Jugend mit Füßen tritt .	13	Fu
Tür seine Fuß Herührte $ diese mit alle Kraft Wiener zustoßen wer nicht sc $ Hnelr genug sein $ Bekim eine fürchterlich Stoß und tragen meistens gebrechen oder gequetscht Glied davon	Tür seinen Fuß herührte . diese mit aller Kraft Wiener zustieß Wer nicht sc . hnelr genug war . bekim einen fürchterlichen Stoß und trug meistens gebrochene oder gequetschte Glieder davon	2	Fu
in d Stadt Djenne $ 400 Kilometer nordöstlich von Bamako $ müssen $ d Einwohner noch vor eine Jahrzehnt d Boot benutzen $ um ihr inmitten d nigerr Fluß liegend Insel zu verlassen $ jetzt gehen sie zu Fuß $ d Nigerarm sein verschwinden $ ausgetrocknet $	In der Stadt Djenne , 400 Kilometer nordöstlich von Bamako , mußten . die Einwohner noch vor einem Jahrzehnt das Boot benutzen , um ihre inmitten des Nigerr Flusses liegende Insel zu verlassen , jetzt gehen sie zu Fuß , der Nigerarm ist verschwunden , ausgetrocknet .	23	Fu
es enden $ $ ich gehen d lang Weg nach Haua zu Fuß $	Es endet : . ich ging den langen Weg nach Haua zu Fuß .	11	Fu
Hand und Fuß werden an eine Eisenstange fesseln $ an die sie aufhängen und mit Elektroschock $ malträtieren werden $	Hände und Füße wurden an eine Eisenstange gefesselt , an der sie aufgehängt und mit Elektroschocks { malträtiert wurde .	1	Fu
d imperialistisch Macht $ die mit Bonn d schändlich Vertrag über d 50- jährig Besetzung Westendeutschland abschließen haben $ wehren sich mit Hand und Fuß gegen d Abzug d Besatzungstruppe aus Deutschland $ da sie Westdeutschland eben mit Hilfe diese Besatzungstruppe in d Aggressionsherd Nr. 1 in Europa verwandeln und es in d Nordatlantikpakt einbeziehen wollen $ wobei sie aus diese Grund auch in keine Weise an d Lösung d Deutschlandfrage interessieren sein $	Die imperialistischen Mächte , die mit Bonn den schändlichen Vertrag über die 50- jährige Besetzung Westdeutschlands abgeschlossen haben , wehren sich mit Händen und Füßen gegen den Abzug der Besatzungstruppen aus Deutschland , da sie Westdeutschland eben mit Hilfe dieser Besatzungstruppen in den Aggressionsherd Nr. 1 in Europa verwandeln und es in den Nordatlantikpakt einbeziehen wollen , wobei sie aus diesem Grunde auch in keiner Weise an der Lösung der Deutschlandfrage interessiert sind .	23	Fu
aber nicht nur in Washington $ auch in Bonn erweisen sich $ daß d Bonner Regierung bereit sein $ für d allgemein Wiederaufrüstung und Evst recht für d Atomrüstung d Selbstbestimmungsrecht d deutsch Volk hundertfach preisgeben und mit Fuß zu treten $	Aber nicht nur in Washington , auch in Bonn erweist sich , daß die Bonner Regierung bereit ist , für die allgemeine Wiederaufrüstung und evst recht für die Atomrüstung das Selbstbestimmungsrecht des deutschen Volkes hundertfach preiszugeben und mit Füßen zu treten .	39	Fu
Voraus kommen eine Bitterkeit gehen $ zwo Bitterkeit gehen du zu d Seite $ und eine folgen d Spur deine Fuß $	Voraus kommt eine Bitterkeit gegangen , Zwo Bitterkeiten gehn dir zu den Seiten , Und eine folgt den Spuren deiner Füße .	10	Fu
wenn man sich eben nur im Glanz d Zahl sonnen $ bekommen man leicht kalt Fuß $	Wenn man sich eben nur im Glanz der Zahlen sonnt , bekommt man leicht kalte Füße .	4	Fu
selbst Harry Glaß rutschen einmal beim Aufsetzen mit d recht Fuß weg und müssen dadurch seine Hoffnung auf eine gut Platz be $	Selbst Harry Glaß rutschte einmal beim Aufsetzen mit dem rechten Fuß weg und mußte dadurch seine Hoffnungen auf einen guten Platz be -	10	Fu
bei diese Gelegenheit verlieren Berthold d link Schuh $ die sie er wieder auf d Fuß stecken $	Bei dieser Gelegenheit verlor Berthold den linken Schuh , den Sie ihm wieder auf den Fuß steckten .	13	Fu
als d holländisch Kolonialherr in d erst Hälfte d 19. Jahrhundert ihr Fuß auch auf d Boden von Irian-Barat $ West-Irian $ setzen $ treffen sie im zentral Hochland d Insel auf Papua-Stamm $ die nach ihr Produktionsweise noch in d Steinzeit gehören $	Als die holländischen Kolonialherren in der ersten Hälfte des 19. Jahrhunderts ihren Fuß auch auf den Boden von Irian-Barat ( West-Irian ) setzten , trafen sie im zentralen Hochland der Insel auf Papua-Stamme , die nach ihrer Produktionsweise noch in die Steinzeit gehörten .	12	Fu
Marjana fühlen sich kräftig und leicht $ es sein angenehm $ mit bloß Fuß über d frisch $ mit d Hacke aufgelockert Erde zu gehen $ Marjana jäten und singen dabei $	Marjana fühlte sich kräftig und leicht ; es war angenehm , mit bloßen Füßen über die frische , mit der Hacke aufgelockerte Erde zu gehen ; Marjana jätete und sang dabei .	23	Fu
die machen schon etwas aus $ besonders wenn man Glück haben und hinter eine Kutscher laufen $ die eine wohlwollen und mal mit d Fuß nachhelfen $	Das machte schon etwas aus . besonders wenn man Glück hatte und hinter einem Kutscher lief , der einem wohlwollte und mal mit dem Fuß nachhalf .	4	Fu
9. Fluß im Norden d UdSSR $ 10. geographisch Begriff $ 12. Ölpflanze $ 17. ober Teil d Fuß $ 18. Wohlgeruch $ 20. Vereinigung $ 21. Stadt im Rheinland $	9. Fluß im Norden der UdSSR , 10. geographischer Begriff , 12. Ölpflanze , 17. oberer Teil des Fußes , 18. Wohlgeruch , 20. Vereinigung , 21. Stadt im Rheinland .	1	Fu
$ er sein an d Lusa sein $ $ erzählen Heinrich $ $ und als er d Fuß fast verfrieren sein $ haben er d russisch Babuschka $	„ Er ist an der Lusa gewesen " , erzählte Heinrich , „ und als ihm die Füße fast verfroren waren , hat ihm die russische Babuschka .	13	Fu
