sentence_lemma	sentence_token	index_lemma	index_token	lemma
gründen werden diese Bau als hoch Mädchenschule $ Cecilien Lyzeum $ im Jahr 1910 $	Gegründet wurde dieser Bau als höhere Mädchenschule „ Cecilien Lyzeum " im Jahre 1910 .	9	9	Lyzeum
unvergeßlich Eindruck von ihr Aufenthalt in Berlin schildern polnisch Jugendliche d Xxv. allgemeinbildend Lyzeum $ J. Wybicki $ aus Warschau in ihr Brief an Erich Honecker $	Unvergeßliche Eindrücke von ihrem Aufenthalt in Berlin schilderten polnische Jugendliche des XXV. Allgemeinbildenden Lyzeums „ j. Wybicki " aus Warschau in ihrem Brief an Erich Honecker .	13	13	Lyzeum
diese Geschichte enthüllen wir d wahr Charakter Braguelottes $ denn $ wie wir nachher erfahren $ zeigen er d gleich Haltung d Inspektor d rumänisch Lyzeum d Stadt gegenüber $	Diese Geschichte enthüllte uns den wahren Charakter Braguelottes . denn , wie wir nachher erfuhren , zeigte er die gleiche Haltung dem Inspektor des Rumänischen Lyzeums der Stadt gegenüber .	25	25	Lyzeum
zwischen d ernst- Thälmann-Oberschule Schwedt und d Lyzeum $ Juliusz Slowadci $ in Debno entwickeln sich eine eng Zusammenarbeit $	Zwischen der Ernst- Thälmann-Oberschule Schwedt und dem Lyzeum „ Juliusz Slowadci " in Debno entwickelt sich eine enge Zusammenarbeit .	7	7	Lyzeum
wegen d Ausschreitung in eine Lyzeum d Stadt müssen d gesamt Unterricht einstellen werden $	Wegen der Ausschreitungen in einem Lyzeum der Stadt mußte der gesamte Unterricht eingestellt werden .	5	5	Lyzeum
Tag d neu Jahr polnisch Gast zu Besuch $ lieben Freund $ die wir seit Jahr kennen $ d Direktor d ökonomisch Lyzeum von Zielona Gora $ Jan Konieczny $ sein Stellvertreter Mieczyslaw Bartkowlak und die Frau Irena sowie $ d polnisch Deutschlehrerin Irena Rajewska mit ihr Ehemann $	Tagen des neuen Jahres polnische Gäste zu Besuch , liebe Freunde , die wir seit Jahren kennen : der Direktor des ökonomischen Lyzeums von Zielona Gora , Jan Konieczny , sein Stellvertreter Mieczyslaw Bartkowlak und dessen Frau Irena sowie ^ die polnische Deutschlehrerin Irena Rajewska mit ihrem Ehemann .	22	22	Lyzeum
d studierend Jugend d staatlich pädagogisch Lyzeum in Warschau besitzen eine ausgezeichnet organisiert Ultur=ensemble $ die Leistung sich durch hoch künstlerisch Niveau Ausz Eichnen $	Die studierende Jugend des Staatlichen Pädagogischen Lyzeums in Warschau besitzt ein ausgezeichnet organisiertes ultur=Ensemble , dessen Leistungen sich durch hohes künstlerisches Niveau ausz eichnen .	6	6	Lyzeum
nach seine Rückkehr 1936 sein er als Pädagoge in Tirana und danach bis 1939 am Lyzeum Jn Korea tätig $ wo er zu eine d aktiv Führer d kommunistisch Gruppe werden $	Nach seiner Rückkehr 1936 war er als Pädagoge in Tirana und danach bis 1939 am Lyzeum Jn Korea tätig , wo er zu einem der aktivsten Führer der kommunistischen Gruppe wurde .	15	15	Lyzeum
Ueckermünde regelmäßig finden Erfahrungsaustausch zwischen Schüler und Lehrer d Kopernikus-Oberschule Torgelow und d kopernikus- Lyzeum in Kolobrzeg statt $	Ueckermünde Regelmäßig finden Erfahrungsaustausche zwischen Schülern und Lehrern der Kopernikus-Oberschule Torgelow und dem Kopernikus- Lyzeum in Kolobrzeg statt .	14	14	Lyzeum
seit 20 Jahr verbinden d Lyzeum von Kowary und d karl-pflugbeil- Oberschule fest Freundschaft $	Seit 20 Jahren verbindet das Lyzeum von Kowary und die Karl-Pflugbeil- Oberschule feste Freundschaft .	5	5	Lyzeum
gegen d Kriegsvertrag sprechen sich auch d Facharbeiter und Techniker eine Werft in Montreuil $ d sozialistisch Sektion und d kommufmstische Parteiorganisation von Etueffont im Gebiet von Beifort $ kommunistisch und sozialistisch Arbeiter in St. Saulve im Departement Nord $ d Lehrer d pariser Lyzeum Buffon sowie 131 Arbeiter eine Lyoner Hüttenwerk aus $	Gegen die Kriegsverträge sprachen sich auch die Facharbeiter und Techniker einer Werft in Montreuil , die sozialistische Sektion und die kommufMstische Parteiorganisation von Etueffont im Gebiet von Beifort , kommunistische und sozialistische Arbeiter in St. Saulve im Departement Nord , die Lehrer des Pariser Lyzeums Buffon sowie 131 Arbeiter eines Lyoner Hüttenwerkes aus .	44	44	Lyzeum
d Film nutzen vor alle text- und Bilddokument aus d groß Vernichtungslager d Angkar $ einrichten in d früh Lyzeum Tuol Sleng in Phnom Penh $ sowie d Aussage von sieben Mann $ die als einzig diese Hölle überleben haben $	Der Film nutzt vor allem Text- und Bilddokumente aus dem größten Vernichtungslager der Angkar , eingerichtet in dem früheren Lyzeum Tuol Sleng in Phnom Penh , sowie die Aussagen von sieben Männern , die als einzige diese Hölle überlebt haben .	19	19	Lyzeum
sie sollen eine gut Lehrerin sein $ aber ihr Ansicht sein vielleicht d eine Lyzeum d Jahrhundertwende $	Sie soll eine gute Lehrerin sein , aber ihre Ansichten sind vielleicht die eines Lyzeums der Jahrhundertwende .	14	14	Lyzeum
hier leuchten d erst elektrisch Birne Aut $ werden d erst hundert Rundfunkapparat anschließen $ zehn neu stebenklatslge Schule $ eine Lyzeum $ zahlreich Kulturhelm $ vier neuerbaut Lichtspielhaus haben ihr Pforte für d nach Kultur dürstend Seele öffnen im Land D*r lieb Berg geben es nun neu Besdiaftigungazwelge $	Hier leuchteten die ersten elektrischen Birnen aut , wurden die ersten hundert Rundfunkapparate angeschlossen , Zehn neue stebenklatslge Schulen , ein Lyzeum , zahlreiche Kulturhelme , vier neuerbaute Lichtspielhäuser haben ihre Pforten für die nach Kultur dürstenden Seelen geöffnet Im Lande d*r lieben Berge gibt es nun neue Besdiaftigungazwelge .	21	21	Lyzeum
Paris 50000 Lehrer d technisch Lyzeum und Fachschule sein in ganz Frankreich in eine 48stündigen Ausstand treten $	Paris 50000 Lehrer der technischen Lyzeen und Fachschulen sind in ganz Frankreich in einen 48stündigen Ausstand getreten .	5	5	Lyzeum
d heutig Lyzeum $ Josef Haltrich d nur wenige Meter unterhalb d Gipfel d Burgberg errichten werden $ zählen etwa 600 Schüler $	Das heutige Lyzeum „ Josef Haltrich das nur wenige Meter unterhalb des Gipfels des Burgberges errichtet wurde , zählt etwa 600 Schüler .	2	2	Lyzeum
Beruf $ Sportlehrer am Lyzeum und in d Papierfabrik von Tervakoski	Beruf : Sportlehrer am Lyzeum und In der Papierfabrik von Tervakoski	4	4	Lyzeum
d Ausstellung $ Graphik und Aquarell Reinickendorfer Künstler $ in Berlin-Tegel $ Otto Haase-Straße $ Lyzeum $ $ Nah* Bahnhof Tegel $ werden bis einschließlich 10. Oktober verlängern und sein taglich von 10 bis 20 Uhr öffnen $	Die Ausstellung „ Graphiken und Aquarelle Reinickendorfer Künstler " in Berlin-Tegel , Otto Haase-Straße ( Lyzeum ) , nah* Bahnhof Tegel , wird bis einschließlich 10. Oktober verlängert und Ist taglich von 10 bis 20 Uhr geöffnet .	15	15	Lyzeum
viel Brigade unierhalten Patenschaftsvertrag mit polnisch Schule $ so mit d Schule Nr. 2 und 4 $ mit d Lyzeum und d Landwirtschaftsschule in Gubin $	Viele Brigaden unierhalten Patenschaftsverträge mit polnischen Schulen , so mit den Schulen Nr. 2 und 4 , mit dem Lyzeum und der Landwirtschaftsschule in Gubin .	19	19	Lyzeum
unsere Weg haben wir zu jen gerundet Haus aus Holz führen $ in d Puschkin $ d Goethe d russisch Volk $ während seine Studienzeit im Lyzeum von Zarskoe Selo leben haben $	Unser Weg hätte uns zu jenem gerundeten Hause aus Holz geführt , in dem Puschkin , der Goethe des russischen Volkes , während seiner Studienzeit im Lyzeum von Zarskoe Selo gelebt hatte .	26	26	Lyzeum
nach d Besuch eine Lyzeum in Beirut beginnen er sein Studium an d Universität Teheran und setzen es an d Fakultät für politisch und Wirtschaftswissenschaft in Paris und Brüssel fort $	Nach dem Besuch eines Lyzeums in Beirut begann er sein Studium an der Universität Teheran und setzte es an den Fakultäten für politische und Wirtschaftswissenschaften in Paris und Brüssel fort .	4	4	Lyzeum
bald schlagen d Abschiedsstunde $ denn Mildred haben eine Arbeitsplatz in eine Lyzeum finden um ihr Studium zu sichern $ und Arvid Zeit in d Usa sein mit eine wertvoll Arbeit über d $ vormarxistisch Arbeiterbewegung $ abschließen $	Bald schlug die Abschiedsstunde , denn Mildred hatte einen Arbeitsplatz in einem Lyzeum gefunden um ihr Studium zu sichern , und Arvids Zeit in den USA war mit einer wertvollen Arbeit über die „ Vormarxistische Arbeiterbewegung " abgeschlossen .	12	12	Lyzeum
d Mädchen und Junge werden durch ihr eng freundschaftlich Verbindung zum ökonomisch Lyzeum in Lubsko dazu anregen $	Die Mädchen und Jungen wurden durch ihre engen freundschaftlichen Verbindungen zum ökonomischen Lyzeum in Lubsko dazu angeregt .	12	12	Lyzeum
