sentence_lemma	sentence_token	target_index	original_word
d Versklavung d zu 70 Prozent von Kreole und Mestize $ zu 27 Prozent von Mulatte und Neger bewohnt Land werden für d Volk immer unerträglich $	Die Versklavung des zu 70 Prozent von Kreolen und Mestizen , zu 27 Prozent von Mulatten und Negern bewohnten Landes wird für das Volk immer unerträglicher .	15	Mulatte
$ verzeihen sie d Störung $ Maestro $ klingen eine angenehm Stimme $ und eine Gesicht treten in d Lichtschein d Morgensonne $ fremdartig und dunkel $ d Antlitz eine Mulatte $	„ Verzeihen Sie die Störung , Maestro . klang eine angenehme Stimme , und ein Gesicht trat in den Lichtschein der Morgensonne , fremdartig und dunkel — das Antlitz eines Mulatten .	30	Mulatte
und sein nicht d Mulatte in seine Begleitung $ die tückisch Antlitz sie $ als sie gestern abend d Balsa verlassen $ sehen und d sie unter Tausend wiedererkennen wollen $	Und war nicht der Mulatte In seiner Begleitung , dessen tückisches Antlitz sie , als sie gestern abend die Balsa verließ , gesehen und den sie unter Tausenden wiedererkennen wollte ?	4	Mulatte
mit diese Roman $ Flucht nach Santarim $ $ er werden in diese Jahr im Militärverlag erscheinen $ schließen sie nach $ Hochzeit mit d Tod $ und $ Mordkommando $ weiß Wind $ $ d Geschichte d Mulatte Orestes $ eine Hafenarbeiter aus Brasilien $ ab $	Mit diesem Roman „ Flucht nach Santarim " , er wird in diesem Jahr im Militärverlag erscheinen , schließen Sie nach „ Hochzeit mit dem Tod " und „ Mordkommando . Weißer Wind ' " die Geschichte des Mulatten Orestes , eines Hafenarbeiters aus Brasilien , ab .	38	Mulatte
mein Vater sein Mulatte $ d roßvater Neger und d Ur roßvater Affe $	Mein Vater war Mulatte , der roßvater Neger und der Ur roßvater Affe .	3	Mulatte
aus d Tür d Kombüse schauen eine Kopf mit d weiß Mütze eine Koch heraus $ und gleich danach erscheinen eine flink Mulatte $ die ich meine Koffer abnehmen und sie in d für ich reserviert Kabine bringen $	Aus der Tür der Kombüse schaute ein Kopf mit der weißen Mütze eines Kochs heraus , und gleich danach erschien ein flinker Mulatte , der mir meine Koffer abnahm und sie in die für mich reservierte Kabine brachte .	22	Mulatte
Fortunato entgehen d Blick nicht $ die d Mulatte wie unwillkürlich dabei nach Jacinta hinüberschweifen lassen $ ohne daß d Bursche dabei eine Miene verziehen haben $	Fortunato entging der Blick nicht , den der Mulatte wie unwillkürlich dabei nach Jacinta hinüberschweifen ließ , ohne daß der Bursche dabei eine Miene verzogen hätte .	8	Mulatte
d Kritik in d Artikel $ $ d Mulatte $ in d Meisterstufoe $ kommen für unsere Kombinat im recht Moment $	Die Kritik in dem Artikel „ . Der Mulatte ' in der Meisterstufoe " kam für unser Kombinat im rechten Moment .	8	Mulatte
$ wenn sie s denn mit klar Wort hören wollen $ $ brummen d Mulatte $ $ so können ich d auch recht sein $	„ Wenn Ihr s denn mit klaren Worten hören wollt " , brummte der Mulatte , „ so kann mir 's auch recht sein .	14	Mulatte
heute Verörfent leihen wir d zweit Antwort auf unsere kritisch Beitrag $ d Mulatte in d Meisterstube $ $	Heute verörfent liehen wir die zweite Antwort auf unseren kritischen Beitrag „ Der Mulatte in der Meisterstube " .	13	Mulatte
sie klagen über d Hitze $ über Da3 -Afrikanische Klima Brasilien $ diese unzivilisiert Klimaj d nur für Neger und Mulatte schaffen sein $ $	Sie klagte über die Hitze , über da3 -afrikanische Klima Brasiliens , dieses unzivilisierte Klimaj das nur für Neger und Mulatten geschaffen ist " .	20	Mulatte
neben er d riesig Mulatte auf eine Pferd $ mit die er d General fast um eine ganz Körperlänge überragen $	Neben ihm der riesige Mulatte auf einem Pferde , mit dem er den General fast um eine ganze Körperlänge überragte .	4	Mulatte
in d Stadt Port Elizabeth stoßen eine 24-jahrig Mulatte auf seine Fahrrad mit eine Lastwagen zusammen und bleiben mit schwer Verletzung liegen $	In der Stadt Port Elizabeth stieß ein 24jähriger Mulatte auf seinem Fahrrad mit einem Lastwagen zusammen und blieb mit schweren Verletzungen liegen .	8	Mulatte
tatsachelich entstehen die erst $ ernsthaft Zerwürfnis mit meine Teilhaber $ die zu meine Austritt aus d Geschäft führen $ durch $ inen Zwischenfall diese Art. Me- Orab haben eine Schar ausgezeichnet Leute aus Nord-Carolina mitbringen $ darunter eine ungewöhnlich hübsch jung Frau mit eine niedlich klein Junge $ die gerade $ u sprechen anfangen $ sehr hell Mulatte $ Gie haben wirklich als Weiße $ reiten können $	Tatsachlich entstand das erst « ernsthafte Zerwürfnis mit meinen Teilhabern , das zu meinem Austritt aus dem Geschäft führte , durch « inen Zwischenfall dieser Art. Me- Orab hatte eine Schar ausgezeichneter Leute aus Nord-Carolina mitgebracht , darunter eine Ungewöhnlich hübsche junge Frau mit einem niedlichen kleinen Jungen , der gerade « U sprechen anfing — sehr helle Mulatten , gie hätten wirklich als Weiße « reiten können .	58	Mulatte
$ da schlagen d Knall d beide abgefeuert Gewehr an sein Ohr $ die sein d verabredet Zeichen eine drohend Gefahr $ und Major Barbadoes schauen in Verzweiflung zu d leer Fenster hinauf $ denn wie eine Blitz sein d klein Mulatte zurückspringen $ um in seine Uniform zu fahren und seine Säbel umschnallen $	— Da schlug der Knall der beiden abgefeuerten Gewehre an sein Ohr — das war das verabredete Zeichen einer drohenden Gefahr , und Major Barbadoes schaute in Verzweiflung zu dem leeren Fenster hinauf , denn wie ein Blitz war der kleine Mulatte zurückgesprungen , um in seine Uniform zu fahren und seinen Säbel umzuschnallen .	41	Mulatte
ermutigen Durch^das $ Bejt spielen d amerikanisch $ Negerdichter lang hughes $ spuren Guillen d kulturell Widerstand auf $ die in d populär Sons $ d Tanzlied d Mulatte $ stecken $	Ermutigt durch^das , BeJt spiel des amerikanischen ^ Negerdichters Längsten Hughes , spurt Guillen den kulturellen Widerstand auf , der in den populären Sons , den Tanzliedern der Mulatten , steckt .	28	Mulatte
unter d direkt Einfluß d französisch Revolution von 1789 entwickeln sich in west- Haiti eine stark Unabhangigkeitsbeweaung $ die 1790 mit d Erhebung d Mulatte gegen d weiß Plantagenbesitzer beginnen und von 1794 ab in d zweit bürgerlich-demokratisch Revolution $ d Negersklave $ ihr Höhepunkt erreichen $	Unter dem direkten Einfluß der Französischen Revolution von 1789 entwickelte sich in West- Haiti eine starke Unabhangigkeitsbeweaung , die 1790 mit der Erhebung der Mulatten gegen die weißen Plantagenbesitzer begann und von 1794 ab in der zweiten bürgerlich-demokratischen Revolution ( der Negersklaven ) ihren Höhepunkt erreichte .	24	Mulatte
$ Verrat $ $ zischen d riesig Mulatte zwischen d Zahn $	„ Verrat ! " zischte der riesige Mulatte zwischen den Zähnen .	7	Mulatte
$ diejenige $ die d Boden bebauen $ sollen auch sein Besitzer sein II t_ __i_ p* $ j. 1— $ und d Mulatte Claudionor tauchen * Uf und brummen überzeugen $	„ Derjenige , der den Boden bebaut , soll auch sein Besitzer sein II T_ __i_ P* ¦ J. 1— . Und der Mulatte Claudionor tauchte * uf und brummte überzeugt :	23	Mulatte
auch Indianer mögen sich in diese Gruppe befinden haben $ aber d meiste sein $ Mulatte und Schwarze $ $	Auch Indianer mögen sich in dieser Gruppe befunden haben , aber die meisten waren „ Mulatten und Schwarze " .	15	Mulatte
