sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
d Weg zur praktisch Erfüllung die $ wofür d deutsch Revolutionär d Vergangenheit kämpfen haben $ d konsequent Orientierung d kultur- und Bildungspolitik auf eine umfaßend Aneignung d humanistisch $ revolutionär Erbe schaffen in d DDR eine Atmosphäre $ die auch d künstlerisch Rezeption d Bauernkrieg beflügeln $	43	0	Rezeption	Der Weg zur praktischen Erfüllung dessen , wofür die deutschen Revolutionäre der Vergangenheit gekämpft hatten , die konsequente Orientierung der Kultur- und Bildungspolitik auf eine umfassende Aneignung des humanistischen , revolutionären Erbes schuf in der DDR eine Atmosphäre , die auch die künstlerische Rezeption des Bauernkrieges beflügelte .	2532889X_1988-01-30_01_365.tcf.xml-550-43
$ in diese Buch werden versuchen $ auf d Basis d kulturhistorisch Ansatz d sowjetisch Psychologie und d daraus $ $ $ entwickelt Position eine kritisch Psychologie $ unter $ teilweise kritisch $ Rezeption von marxistisch Motivationslehre $ besonders aus d sozialistisch Land $ eine Neubegründung d Motivationsforschung in d bürgerlich Gesellschaft zu leisten $	33	0	Rezeption	„ In diesem Buch wird versucht , auf der Basis des kulturhistorischen Ansatzes der sowjetischen Psychologie und der daraus . . . entwickelten Positionen einer Kritischen Psychologie , unter ( teilweise kritischer ) Rezeption von marxistischen Motivationslehren , besonders aus den sozialistischen Ländern , eine Neubegründung der Motivationsforschung in den bürgerlichen Gesellschaften zu leisten .	2532889X_1982-03-20_01_258.tcf.xml-10-33
d Rezeption und Würdigung Gerhart Hauptmann $ d kritisch-realistisch Höhepunkt seine Lebenswerk haben hierzulande bereits eine lang Tradition $	1	0	Rezeption	Die Rezeption und Würdigung Gerhart Hauptmanns , der kritisch-realistischen Höhepunkte seines Lebenswerkes hat hierzulande bereits eine lange Tradition .	26120215_1987_11_14_01_083.tcf.xml-27-1
sie können sich auf gut Ergebnis eine verstärkt ideologisch Beschäftigung mit d Prinzip d sozialistisch Rezeption von Erbe und Gegenwartsschaffen stützen $	15	0	Rezeption	Sie konnten sich auf gute Ergebnisse einer verstärkten ideologischen Beschäftigung mit den Prinzipien der sozialistischen Rezeption von Erbe und Gegenwartsschaffen stützen .	2532889X_1975-12-30_01_066.tcf.xml-6-15
d Rezeption Büchner auf d Bühne d DDR untersuchen Ulrich Kaufmann und Frank Hörnigk $	1	0	Rezeption	Die Rezeption Büchners auf den Bühnen der DDR untersuchen Ulrich Kaufmann und Frank Hörnigk .	26120215_1988_10_08_01_377.tcf.xml-12-1
dabei gehen es ohne Zweifel erstrangig um d Genuß ästhetisch geformt Sprachegebilde $ die einerseits auf d erst Blick eingängig und schlicht erscheinen wie viel Gedicht Goethe $ andererseits aber oft eine groß Mau an Anstrengung d Rezeption erfordern $	37	0	Rezeption	Dabei geht es ohne Zweifel erstrangig um den Genuß ästhetisch geformter Sprachgebilde , die einerseits auf den ersten Blick eingängig und schlicht erscheinen wie viele Gedichte Goethes , andererseits aber oft ein großes Mau an Anstrengung der Rezeption erfordern .	2532889X_1982-03-22_01_058.tcf.xml-72-37
mehrere Beitrag gelten d Weiterwirken beide Dichter $ vor alle d Rezeption d aischyleischen Prometheus-Gestalt $ ferner ganz praktisch $ kulturpolitisch wichtig Frage wie d $ in welcher Weise aischylos- Drama noch stark für unsere Bühne zu erschließen sein $ sowie d ebenfalls wichtig Übersetzungsproblematik $	11	0	Rezeption	Mehrere Beiträge gelten dem Weiterwirken beider Dichter , vor allem der Rezeption der Aischyleischen Prometheus-Gestalt , ferner ganz praktischen . kulturpolitisch wichtigen Fragen wie der , in welcher Weise Aischylos- Dramen noch starker für unsere Bühne zu erschließen sind , sowie der ebenfalls wichtigen Übersetzungsproblematik .	2532889X_1982-05-29_01_249.tcf.xml-19-11
d Rezeption eine Film geschehen nun einmal durch d Auge $	1	0	Rezeption	Die Rezeption eines Filmes geschieht nun einmal durch das Auge .	26120215_1972_11_09_01_081.tcf.xml-19-1
d Auflösung und damit d Rezeption d Symbol sein also im Grund nehmen viel einfach als es zunächst scheinen $	5	0	Rezeption	Die Auflösung und damit die Rezeption der Symbole ist also im Grunde Genommen viel einfacher als es zunächst scheint .	26120215_1971_03_25_01_100.tcf.xml-9-5
sie sein Problem d literarisch Romantik und ihr Rezeption in unsere Gesellschaft widmen und Bo Rücksichtigt besonders d Werk Kieisis und d E. T. A. Hoffmann $	8	0	Rezeption	Sie ist Problemen der literarischen Romantik und ihrer Rezeption in unserer Gesellschaft gewidmet und bo rücksichtigt besonders das Werk Kieisis und das E. T. A. Hoffmanns .	2532889X_1977-10-04_01_044.tcf.xml-4-8
