sentence_lemma	sentence_token	target_index	original_word
d groß Tragfähigkeit d neu Kran erlauben auch $ fortschrittlich Montagetechnologie anwenden $ jvie d Blockmontage $	Die größere Tragfähigkeit der neuen Kräne erlaubt auch , fortschrittliche Montagetechnologien anzuwenden , jvie die Blockmontage .	2	Tragfhigkeit
eine besondere Rolle spielen diese Verfahren beim Brandschutz von Stahlbauteil $ die ihr Tragfähigkeit recht schnell verlieren können $ wenn sie im Brandfall auf Temperatur von über 400 Grad erhitzen werden $	Eine besondere Rolle spielt dieses Verfahren beim Brandschutz von Stahlbauteilen , die ihre Tragfähigkeit recht schnell verlieren können , wenn sie im Brandfall auf Temperaturen von über 400 Grad erhitzt werden .	13	Tragfhigkeit
unsere Fertigungsprogramm enthalten $ Gleiswaage in modern $ entlastungslos Schaltgewichtsbauart $ Normalgröße A $ Wägefähigkeit 60-80 T $ Tragfähigkeit 135 T $ Brückenlänge 9 b $ Wägefähigkeit 100 T $ Tragfähigkeit 160 T $ Brückenlänge 13 M und groß Verbund-Gleiswaage kombiniert Gleis-Straßenfahrzeug-Waage Straßenfahrzeugwaage 20 und 30 T Wägefähigkeit $	Unser Fertigungsprogramm enthält : Gleiswaagen in moderner , entlastungsloser Schaltgewichtsbauart , Normalgrößen a ) Wägefähigkeit 60-80 t , Tragfähigkeit 135 t , Brückenlänge 9 b ) Wägefähigkeit 100 t , Tragfähigkeit 160 t , Brückenlänge 13 m und größer Verbund-Gleiswaagen Kombinierte Gleis-Straßenfahrzeug-Waage Straßenfahrzeugwaagen 20 und 30 t Wägefähigkeit .	18	Tragfhigkeit
nach Vertiefung d Hafenbecken können jetzt Tanker bis zu 45000 Tonne Tragfähigkeit festmachen $	Nach Vertiefung des Hafenbeckens können jetzt Tanker bis zu 45000 Tonnen Tragfähigkeit festmachen .	11	Tragfhigkeit
Si'e sein zwölf Meter breit und 180 Meter lang und werden fortan für alle mitteleuropäisch Schiff bis zu eine Tragfähigkeit von 1300 Tonne befahrbar sein $	Si'e ist zwölf Meter breit und 180 Meter lang und wird fortan für alle mitteleuropäischen Schiffe bis zu einer Tragfähigkeit von 1300 Tonnen befahrbar sein .	19	Tragfhigkeit
d Ausnutzung d Transportkapazität müssen auf d Weg d voll Auslastung d Tragfähigkeit und d kontinuierlich Inanspruchnahme verbessern werden $	Die Ausnutzung der Transportkapazitäten muß auf dem Wege der vollen Auslastung der Tragfähigkeit und der kontinuierlichen Inanspruchnahme verbessert werden .	12	Tragfhigkeit
als zweit Großtanker mit eine Tragfähigkeit Von43 000tdw haben d deutsch Si $ Ereederpi Rostock du $ Schwedt $ in Dienst stellen d Schiff $ die am Sonntag in rostock- Wäffmhiün'de festmachen $ werden von dey * schwedisch Salen-Reederei kaufen $	Als zweiten Großtanker mit einer Tragfähigkeit von43 000tdw hat die Deutsche Si » ereederpi Rostock dir „ Schwedt " in Dienst gestellt Das Schiff , das am Sonntag in Rostock- WäffMHiün'de festmachte , wurde von deY * schwedischen Salen-Reederei gekauft .	5	Tragfhigkeit
d Tragfähigkeit sein so groß $ daß sie schwer LKW standhalten	Die Tragfähigkeit ist so groß , daß sie schweren LKW standhält	1	Tragfhigkeit
liquifltjkoprttymhr' u&a datoren sein $ Suche Schweißelektrode or. vi d neu Tarifvertrag $ $ für ihr Hauptabteiluni 1. Krankenkassenangeiteuter Stah seilen 10—20 Mm bau- Abwasserreinigung Albert Schulze $ Berlin $ zahnstengen u $ Spindel $ Wineinige tiefbau- 2. Reichsbahnoberzugfuhrer d von 1o—30 T Tragfähigkeit $ Nleure mit Erfahrung auf d Willy E H M a n n Berlin $	Liquifltjkoprttymhr' u&a datoren sind : Suche Schweißelektroden Or. VI des neuen Tarifvertrage » , für ihre Hauptabteiluni 1. Krankenkassenangeiteuter Stah seile 10—20 mm Bau- Abwasserreinigung Albert Schulze , Berlin , Zahnstengen u , Spindel , Wineinige Tiefbau- 2. Reichsbahnoberzugfuhrer den von 1O—30 t Tragfähigkeit . nleure mit Erfahrungen auf dem Willy e h m a n n Berlin .	43	Tragfhigkeit
in d Reisegeschwindigkeit übertreffen sie d an 12b um 300 Km und in d Tragfähigkeit um 20000 Kilogramm $	In der Reisegeschwindigkeit übertrifft sie die AN 12B um 300 km/h und in der Tragfähigkeit um 20000 Kilogramm .	14	Tragfhigkeit
damit verfügen d deutsch Seereederei Rostock gegenwärtig über 150 Schiff mit insgesamt rund 790000 Tonne Tragfähigkeit d 6000-tonnen- Schiff $ die für d 24stündigen wachfrei Maschinenbetrieb einrichten sein $ werden $ wie seine Vorgänger $ im Afrika-Liniendienst d Ddr-Reederei einsetzen $	Damit verfügt die Deutsche Seereederei Rostock gegenwärtig über 150 Schiffe mit insgesamt rund 790000 Tonnen Tragfähigkeit Das 6000-Tonnen- Schiff , das für den 24stündigen wachfreien Maschinenbetrieb eingerichtet ist , wird , wie seine Vorgänger , im Afrika-Liniendienst der DDR-Reederei eingesetzt .	15	Tragfhigkeit
d Einführung d Containerverkehr mit eine rapid Verkürzung d Hafenliegezelt und d Entwicklung neu Schiffstype mit groß Tragfähigkeit $ d Verbesserung d Antriebstechnik und d Steigerung d Leistung d einzeln Antriebsmaschine sein d wesentlich technisch Voraussetzung für Bau und Einsatz schnell Schiff $	Die Einführung des Containerverkehrs mit einer rapiden Verkürzung der Hafenliegezelten und der Entwicklung neuer Schiffstypen mit größeren Tragfähigkeiten , die Verbesserung der Antriebstechnik und die Steigerung der Leistung der einzelnen Antriebsmaschinen waren die wesentlichen technischen Voraussetzungen für Bau und Einsatz schneller Schiffe .	17	Tragfhigkeit
Tel 800.- M $ Tragfähigkeit 250 Kg $ zu erfra pers $ vja-schwert $ nirobesch. $ 22 TM $ Bln..	Tel 800.- M , Tragfähigkeit 250 kg . zu erfra pers , VjA-Schwert , Nirobesch. , 22 TM , Bln..	4	Tragfhigkeit
d neu Schiff $ die eine Tragfähigkeit von 600 Tonne haben $ werden auf Wolga und Don Obst und Gemüse aus d südlich Region in d nördlich Unionsrepublik bringen $	Die neuen Schiffe , die eine Tragfähigkeit von 600 Tonnen haben , werden auf Wolga und Don Obst und Gemüse aus den südlichen Regionen in die nördlichen Unionsrepubliken bringen .	6	Tragfhigkeit
d durchschnittlich Tragfähigkeit d Schiff in d Welt erhöhen sich im Zeitraum 1961—1968 um rund 60 Prozent und betragen zur Zeit 30000 Tdw $	Die durchschnittliche Tragfähigkeit der Schiffe in der Welt erhöhte sich im Zeitraum 1961—1968 um rund 60 Prozent und beträgt zur Zeit 30000 tdw .	2	Tragfhigkeit
Länge 17,3 Meter $ Breite 3,5 Meter $ Tragfähigkeit 13 Tonne $	Länge 17,3 Meter , Breite 3,5 Meter , Tragfähigkeit 13 Tonnen .	8	Tragfhigkeit
beziehen auf eine Tonne Tragfähigkeit sein investitions- und Kostenaufwand für Binnenschiff $ vergleichen man sie mit ander Transportmittel $ am gering $	Bezogen auf eine Tonne Tragfähigkeit sind Investitions- und Kostenaufwand für Binnenschiffe — vergleicht man sie mit anderen Transportmitteln — am geringsten .	4	Tragfhigkeit
in d Mmm-Bewegung knobeln Wi daran $ d Einsatz von Mineralbeton beim Gleisverlegen zu erhöhen und gleichzeitig d Tragfähigkeit d Konstruktion zu steigern $	In der MMM-Bewegung knobeln wi daran , den Einsatz von Mineralbeton beim Gleisverlegen zu erhöhen und gleichzeitig die Tragfähigkeit der Konstruktion zu steigern .	18	Tragfhigkeit
Mittelmeerhafen gehören seit 1963 zum fest Linienprogramm d VEB Deutfracht/seereederei $ die gegenwärtig vom Seehafen Wismar aus 23 Schiff mit eine Tragfähigkeit bis zu 6000 Tonne auf vier Route einsetzen $	Mittelmeerhäfen gehören seit 1963 zum festen Linienprogramm des VEB Deutfracht/Seereederei , der gegenwärtig vom Seehafen Wismar aus 23 Schiffe mit einer Tragfähigkeit bis zu 6000 Tonnen auf vier Routen einsetzt .	21	Tragfhigkeit
d $ Belastungsprobe $ d Autor Jan Rojewski erstrecken sich nicht nur auf d Tragfähigkeit eine nach neu Gesichtspunkt errichtet Wohnbau-Decke $ von die in d drei Akte d Rede sein $	Die „ Belastungsprobe " des Autors Jan Rojewski erstreckt sich nicht nur auf die Tragfähigkeit einer nach neuen Gesichtspunkten errichteten Wohnbau-Decke , von der in den drei Akten die Rede ist .	14	Tragfhigkeit
$ Tragfähigkeit 1000 kp $ außenabrnessungen d Ladeplattform 1650 x 1050 Mm	• Tragfähigkeit 1000 kp • Außenabrnessungen der Ladeplattform 1650 x 1050 mm	1	Tragfhigkeit
entsprechend seine Tragfähigkeit sein d Schiff auch als Erzfrachter verwendbar $	Entsprechend seiner Tragfähigkeit ist das Schiff auch als Erzfrachter verwendbar .	2	Tragfhigkeit
Mitelektro-Jij' Dr. Antrieb $ 3 1 Tragfähigkeit $ 4 bis 11,6 M Ausladung	mitelektro-JiJ' dr. Antrieb ,* 3 1 Tragfähigkeit , 4 bis 11,6 m Ausladung	6	Tragfhigkeit
mit eine groß Tragfähigkeit übertreffen sie d an 10. il 18 und TU 104 in Bezug auf Produktivität und Rentabilität beträchtlich $	Mit einer größeren Tragfähigkeit übertrifft sie die AN 10. IL 18 und TU 104 in bezug auf Produktivität und Rentabilität beträchtlich .	3	Tragfhigkeit
d neu Brücke übernehmen d Aufgabe eine 1911 übergeben Stahlfachwerkbrücke $ die Tragfähigkeit auf zwölf Tonne begrenzen sein $	Die neue Brücke übernimmt die Aufgaben einer 1911 übergebenen Stahlfachwerkbrücke , deren Tragfähigkeit auf zwölf Tonnen begrenzt war .	12	Tragfhigkeit
d Traktorist lassen jedoch d Kopf nicht hängen $ kontrollieren täglich d Tragfähigkeit d Boden und teilen wenn es sein müssen $ d Feld in zwei oder mehrere Abschnitt ein $ damit keine Korn umkommen und d Bauer d Getreide nicht mit d Hand zu ernten brauchen $	Die Traktoristen lassen jedoch den Kopf nicht hängen , kontrollieren täglich die Tragfähigkeit des Boden und teilen wenn es sein muß — die Felder in zwei oder mehrere Abschnitte ein , damit kein Korn umkommt und die Bauern das Getreide nicht mit der Hand zu ernten brauchen .	12	Tragfhigkeit
jede d zwei 36000-Tonnen-Schif Fe von -interlighter $ Karin 26 leicht mit je 1100 Tonne Tragfähigkeit an Bord nehmen $	Jedes der zwei 36000-Tonnen-Schif fe von -Interlighter " karin 26 Leichter mit je 1100 Tonnen Tragfähigkeit an Bord nehmen .	15	Tragfhigkeit
ferner befinden Passagierflugzeug mittel Tragfähigkeit $ die Jak 40 $ im Bau $	Ferner befindet Passagierflugzeug mittlerer Tragfähigkeit , die JAK 40 , im Bau .	4	Tragfhigkeit
mit d Auslieferung von jährlich elf bis zwölf Schiff von 10000 bis 20000 Tonne Tragfähigkeit gehören d Werft zu d in diese Erzeugnisgruppe international führend Schiffbaubetrieb $	Mit der Auslieferung von jährlich elf bis zwölf Schiffen von 10000 bis 20000 Tonnen Tragfähigkeit gehört die Werft zu den in dieser Erzeugnisgruppe international führenden Schiffbaubetrieben .	14	Tragfhigkeit
