sentence_lemma	sentence_token	target_index	original_word
Berlin $ ADN $ $ d verpflichtend Namen d Kommunist und antifaschistisch Widerstandskämpfer Carl Moltmanni und Wilhelm Mayer haben d Minaster für national Verteidigung $ Armeegeneral Heinz Hoffmann $ anläßlich d 23. Jahrestag d national Volksarmee an Truppenteil verleihen $	Berlin ( ADN ) , Die verpflichtenden Namen der Kommunisten und antifaschistischen Widerstandskämpfer Carl Moltmanni und Wilhelm Mayer hat der Minaster für Nationale Verteidigung , Armeegeneral Heinz Hoffmann , anläßlich des 23. Jahrestages der Nationalen Volksarmee an Truppenteile verliehen .	37	Truppenteil
gestatten sie ich im Namen alle Angehörige unsere Truppenteil $ sie für d herzlich Wort und Wunsch $ die sie an wir richten $ und für d hoch Auszeichnung mit d Ernst-Thälrnainn-Baniruer $ die sie unsere Truppenteil verleihen Habeni zu danken $ $	Gestatten Sie mir im Namen aller Angehörigen unseres Truppenteils , Ihnen für die herzlichsten Worte und Wünsche , die Sie an uns richteten , und für die hohe Auszeichnung mit dem Ernst-Thälrnainn-Baniruer , das Sie unserem Truppenteil verliehen habeni zu danken . .	36	Truppenteil
Walter Ulbricht und Marschall Gretschko sowie d Persönlichkeit d Republik besuchen dabei d Einheit d an d soeben beendet Manöver beteiligt Truppenteil d DDR $ d Sowjetunion $	Walter Ulbricht und Marschall Gretschko sowie die Persönlichkeiten der Republik besuchten dabei die Einheiten der an dem soeben beendeten Manöver beteiligten Truppenteile der DDR , der Sowjetunion .	21	Truppenteil
volkseigen Betrieb $ Brigade d sozialistisch Arbeit $ Truppenteil d NVA $ Institution und Schule tragen d ehrenvoll Namen $ Hermann Matern $ $	Volkseigene Betriebe , Brigaden der sozialistischen Arbeit , Truppenteile der NVA , Institutionen und Schulen tragen den ehrenvollen Namen „ Hermann Matern " .	8	Truppenteil
neu Truppenteil sein als Verstärkung zu unsere Front stoßen $	Neue Truppenteile sind als Verstärkung zu unserer Front gestoßen .	1	Truppenteil
d regulär Streitkräfte alle Waffengattung und Truppenteil sowie d inregulär Streitkräfte d Partei in Südvietnam werden alle Kampfhandlung gegeneinander einstellen und sich strikt an d folgend Abmachung halten $	Die regulären Streitkräfte aller Waffengattungen und Truppenteile sowie die irregulären Streitkräfte der Parteien in Südvietnam werden alle Kampfhandlungen gegeneinander einstellen und sich strikt an die folgenden Abmachungen halten :	6	Truppenteil
d veranlaßt Traditionszirkel d FDJ $ d Geschichte ihr Truppenteil und d Arbeiterbewegung d Garnisonsbereich zu erforschen $	Das veranlaßte Traditionszirkel der FDJ , die Geschichte ihres Truppenteils und der Arbeiterbewegung des Garnisonsbereiches zu erforschen .	9	Truppenteil
für Oberst Viktor Kusmin $ Kommandeur d Truppenteil $ haben d Tag nicht genügen Stunde $	Für Oberst Viktor Kusmin , Kommandeur des Truppenteils , haben die Tage nicht genügend Stunden .	7	Truppenteil
Truppenteil und Einrichtung d rück- 146,3 2,7 6,0 13,0 33,5 12,0 75,1 4.0 wärtigen Dienst d Streitkräfte Truppe d Zivilverteidigung $ territorial- 34.1 0,7 6,9 1,0 22.4 3,1 verteidigung $ in d Streitkräfte in Europa und d 3. 573,1 117,5 106,8 173,1 347,0 171,0 2. 458,0 199.7 angrenzend Seegebiet insgesamt Anmerkung $	Truppenteile und Einrichtungen der rück- 146,3 2,7 6,0 13,0 33,5 12,0 75,1 4.0 wärtigen Dienste der Streitkräfte Truppen der Zivilverteidigung ( Territorial- 34.1 0,7 6,9 1,0 22.4 3,1 verteidigung ) in den Streitkräften in Europa und den 3. 573,1 117,5 106,8 173,1 347,0 171,0 2. 458,0 199.7 angrenzenden Seegebieten insgesamt Anmerkung :	0	Truppenteil
die sein zu jen Zeit vor kaum zwei Jahr $ als Bruderarmee helfen $ in d CSSR d sozialistisch Ordnung wiederherstellen $ und $ Bz $ $ Sonderkorrespondent bei schwierig Berichterstattung in diese Truppenteil Hilfe und Unterstutzung finden $	Das war zu jener Zeit vor kaum zwei Jahren , als Bruderarmeen halfen , in der CSSR die sozialistische Ordnung wiederherzustellen - und „ BZ " - Sonderkorrespondenten bei schwieriger Berichterstattung in diesem Truppenteil Hilfe und Unterstutzung fanden .	33	Truppenteil
Namensverleihung an d Truppenteil $ eine wichtig Form $ d Geschichtesbewußtsein in d sozialistisch Streitkräfte zu fördern	Namensverleihung an die Truppenteile - eine wichtige Form , das Geschichtsbewußtsein in den sozialistischen Streitkräften zu fördern	3	Truppenteil
d Teilnehmer d Beratung besuchen Truppenteil und Lehranstalten und sein bei Übung und lehr- Vorführung zugegen $ die in d Streitkräfte d sozialistisch Republik Rumänien durchführen werden $	Die Teilnehmer der Beratung besuchten Truppenteile und Lehranstalten und waren bei Übungen und Lehr- Vorführungen zugegen , die in den Streitkräften der Sozialistischen Republik Rumänien durchgeführt wurden .	5	Truppenteil
im vergangen Herbst treffen sich Truppenteil aus vier verschieden Armee zu eine großangelegt Manöverübung auf d Territorium unsere Republik $	Im vergangenen Herbst trafen sich Truppenteile aus vier verschiedenen Armeen zu einer großangelegten Manöverübung auf dem Territorium unserer Republik .	5	Truppenteil
deshalb sein es unsere vordringlich Aufgabe $ d Gefechtsbereitschaft und d Fähigkeit d Einheit und Truppenteil $ unter alle Bedingung d Kampfhandlung erfolgreich zu führen $ auf fein hoch Stand zu halten $	Deshalb Ist es unsere vordringliche Aufgabe , die Gefechtsbereitschaft und die Fähigkeit der Einheiten und Truppenteile , unter allen Bedingungen die Kampfhandlungen erfolgreich zu führen , auf feinem hohen Stand zu halten .	15	Truppenteil
vor Mot.-Schützen d Truppenteil $ Artur Ladwig $ werten d Mitglied	Vor Mot.-Schützen des Truppenteils „ Artur Ladwig " wertete das Mitglied	3	Truppenteil
im Truppenteil Müller d Volksmarine rechnen d Besatzung d Raketenschnelleboot $ Karl Meseberg $ ausgezeichnet Ergebnis in d politisch und Gefechtsausbildung ab $	Im Truppenteil Müller der Volksmarine rechnete die Besatzung des Raketenschnellbootes „ Karl Meseberg " ausgezeichnete Ergebnisse in der politischen und Gefechtsausbildung ab .	1	Truppenteil
Berlin $ ADN $ $ ihr revolutionär Vorbild Anton Saefkow gedenken am Freitag anläßlich seine 80. Geburtstag d Angehörige d gleichnamig nva- Truppenteil $	Berlin ( ADN ) . Ihres revolutionären Vorbildes Anton Saefkow gedachten am Freitag anläßlich seines 80. Geburtstages die Angehörigen des gleichnamigen NVA- Truppenteils .	22	Truppenteil
