sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
die sein eine national Verrat von solch Ausmaß $ wie er nur eine abgebrüht Separatist vom Schlage Adenauer fertig bringen können $	13	0	abgebrht	Das Ist ein nationaler Verrat von solchem Ausmaß , wie ihn nur ein abgebrühter Separatist vom Schlage Adenauers fertig bringen kann .	26120215_1951_11_24_01_007.tcf.xml-16-13
aber so etwas abgebrüht und Charakterlos können ich ich nicht vorstellen $	3	0	abgebrht	Aber so etwas Abgebrühtes und Charakterloses konnte ich mir nicht vorstellen .	26120215_1956_02_05_02_127.tcf.xml-12-3
Ohne besonder Tatmo- TIV $ mit eine namhaft Besetzung und effektvoll szenisch Lösung erzählen d französisch Regisseur Philippe Labro d Geschichte eine Verbrechen $ die selbst d mit d Aufklärung betraut abgebrüht Kriminalist letzte Illusion über d moralisch Zustand d sogenannt $ high society $ austreiben $	31	0	abgebrht	OHNE BESONDERES TATMO- TIV : Mit einer namhaften Besetzung und effektvollen szenischen Lösungen erzählt der französische Regisseur Philippe Labro die Geschichte eines Verbrechens , das selbst den mit der Aufklärung betrauten abgebrühten Kriminalisten letzte Illusionen über den moralischen Zustand der sogenannten „ high society " austreibt .	26120215_1977_04_09_01_064.tcf.xml-25-31
er haben von d abgebrüht Reporter zumindest eine bißchen Ironie bei diese Wort erwarten $	4	0	abgebrht	Er hätte von dem abgebrühten Reporter zumindest ein bißchen Ironie bei diesen Worten erwartet .	26120215_1956_01_24_01_030.tcf.xml-11-4
$ haben d Bundesregierung d nötig $ $ $ so hören man selbst abgebrüht Korrespondent westlich Zeitung sich fragen $	13	0	abgebrht	„ Hat die Bundesregierung das nötig ? " , so hörte man selbst abgebrühte Korrespondenten westlicher Zeitungen sich fragen .	2532889X_1963-07-12_01_026.tcf.xml-7-13
es sein nicht so $ daß sich d Kampf um Macht und Einfluß nur zwischen d Große abspielen $ d abgebrüht und vor nichts zurückschreckend Manager $	20	0	abgebrht	Es Ist nicht so , daß sich die Kämpfe um Macht und Einfluß nur zwischen den Großen abspielen , den abgebrühten und vor nichts zurückschreckenden Managern .	26120215_1969_05_31_01_070.tcf.xml-7-20
d Haßblick d versammelt Arbeiter und ihr höhnisch Rede berühren er wenig $ er sein dagegen schon abgebrüht $ und es kränken er nicht mehr $ wenn d Kumpel er ihr Verachtung offen zeigen $	17	0	abgebrht	Die Haßblicke der versammelten Arbeiter und ihre höhnischen Reden berührten ihn wenig , er war dagegen schon abgebrüht , und es kränkte ihn nicht mehr , wenn die Kumpel ihm ihre Verachtung offen zeigten .	2532889X_1952-11-23_01_046.tcf.xml-15-17
aber so naiv $ wie d $ Welf '-Geschrei klingen $ sein d abgebrüht Schreiberkorps Springer wahrhaftig nicht $	13	0	abgebrht	Aber so naiv , wie das „ Welf '-Geschrei klingt , ist das abgebrühte Schreiberkorps Springers wahrhaftig nicht .	2532889X_1962-07-13_01_039.tcf.xml-23-13
nach fünf Minute können du nicht mehr sitzen $ nach acht Minute mögen du Gerrl flitzen $ nach zehn Minute sein $ abgebrüht $ du gehen hinaus und machen «s Dlf bequem und tauchen beherzt in Kok $ Flut ein $ nehmen deine Schurz und wandeln W. eine Römer $ beflügeln von d alt shakespeare- Thema lassen dick Sauna-Mann um mich Seinl beim zweit Mal werden du dann schon kühn $ und nimm5t du wirklich ob $ machen du nichts Drausl sein ohne Furcht und nehmen du Zeit $ berliner $	22	0	abgebrht	Nach fünf Minuten kannst du nicht mehr sitzen . nach acht Minuten möchtest du gerrl flitzen : nach zehn Minuten bist « abgebrüht ; Du gehst hinaus und machst «s dlf bequemer und tauchst beherzt In koK « Fluten ein , nimmst deinen Schurz und wandelst w. ein Römer , beflügelt von dem alten Shakespeare- Themas Laßt dicke Sauna-Männer um mich seinl Beim zweiten Male wirst du dann schon kühner . und nimm5t du wirklich ob — mach dir nichts drausl Sei ohne Furcht und nimm dir Zeit , Berliner !	26120215_1972_12_10_01_152.tcf.xml-7-22
er müssen schon sehr $ abgebrüht $ sein $ wenn er dann in d nächst Nacht genauso ruhig schlafen können wie zuvor $ $ Lagermensch $ $	5	0	abgebrht	Er muß schon sehr . abgebrüht ' sein , wenn er dann in der nächsten Nacht genauso ruhig schlafen kann wie zuvor . . Lagermenschen ' .	2532889X_1956-02-18_01_107.tcf.xml-10-5
De erst Turbine $ in Einzelteil auf Lastwagen aus d Innere China heranschaffen $ sein montieren $ d erst Rohr bis auf wenige Meter legen d Arbeiter $ die zufrieden und ausnahmeslos gut nähren aussehen früh haben sie in manche Jahr nicht so viel Geld zu sehen bekommen $ wie sie hier in eine Monat verdienen $ nämlich zwischen 100 und 300 Yüan qualifizieren sich mit eine Lernbegier $ d eine abgebrüht Mitteleuropäer neidisch machen $	71	0	abgebrht	De erste Turbine , in Einzelteilen auf Lastwagen aus dem Inneren Chinas herangeschafft , ist montiert , das erste Rohr bis auf wenige Meter gelegt Die Arbeiter , die zufrieden und ausnahmslos gut genährt aussehen früher hatten sie in manchem Jahr nicht so viel Geld zu sehen bekommen , wie sie hier in einem Monat verdienen , nämlich zwischen 100 und 300 Yüan qualifizieren sich mit einer Lernbegier ,' die einen abgebrühten Mitteleuropäer neidisch macht .	2532889X_1956-12-01_01_149.tcf.xml-5-71
sie sein durch ihr millionenfach Mord so abgebrüht $ daß sie d Vorstellung überhaupt nicht rühren $ daß mit diese Bombe mit eine Schlag 100000 oder 200000 Menschenleben auslöschen werden können $	7	0	abgebrht	Sie waren durch ihre millionenfachen Morde so abgebrüht . daß sie die Vorstellung überhaupt nicht rührte , daß mit dieser Bombe mit einem Schlag 100000 oder 200000 Menschenleben ausgelöscht werden könnten .	26120215_1965_02_07_01_482.tcf.xml-57-7
fein Komplice also $ d Hitleranbeter Ky $ $ Freiheitsheld $ Johnson und diese abgebrüht Held d westlich Welt $	14	0	abgebrht	Feine Komplicen also : der Hitleranbeter Ky , „ Freiheitsheld " Johnson und dieser abgebrühte Held der westlichen Welt .	2532889X_1966-03-19_01_022.tcf.xml-20-14
Billy Hopp sein genügend abgebrüht $ um diese feindselig Blick standhalten $	4	0	abgebrht	Billy Hopp war genügend abgebrüht , um diesen feindseligen Blicken standzuhalten .	26120215_1955_10_16_02_013.tcf.xml-13-4
bis hierher haben d Autorad Asphalt sehen $ aber jetzt wühlen sie $ ich in eine Schlammbad $ da $ anno 1600 d abgebrüht Postillon in Angstschweiß bringen haben $	23	0	abgebrht	Bis hierher haben die Autoräder Asphalt gesehen , aber jetzt wühlen sie » ich in ein Schlammbad , da « anno 1600 den abgebrühtesten Postillon In Angstschweiß gebracht hätte .	26120215_1950_04_07_01_018.tcf.xml-3-23
