sentence_lemma	sentence_token	index_lemma	index_token	lemma
die sein eine national Verrat von solch Ausmaß $ wie er nur eine abgebrüht Separatist vom Schlage Adenauer fertig bringen können $	Das Ist ein nationaler Verrat von solchem Ausmaß , wie ihn nur ein abgebrühter Separatist vom Schlage Adenauers fertig bringen kann .	13	13	abgebrht
aber so etwas abgebrüht und Charakterlos können ich ich nicht vorstellen $	Aber so etwas Abgebrühtes und Charakterloses konnte ich mir nicht vorstellen .	3	3	abgebrht
Ohne besonder Tatmo- TIV $ mit eine namhaft Besetzung und effektvoll szenisch Lösung erzählen d französisch Regisseur Philippe Labro d Geschichte eine Verbrechen $ die selbst d mit d Aufklärung betraut abgebrüht Kriminalist letzte Illusion über d moralisch Zustand d sogenannt $ high society $ austreiben $	OHNE BESONDERES TATMO- TIV : Mit einer namhaften Besetzung und effektvollen szenischen Lösungen erzählt der französische Regisseur Philippe Labro die Geschichte eines Verbrechens , das selbst den mit der Aufklärung betrauten abgebrühten Kriminalisten letzte Illusionen über den moralischen Zustand der sogenannten „ high society " austreibt .	31	31	abgebrht
er haben von d abgebrüht Reporter zumindest eine bißchen Ironie bei diese Wort erwarten $	Er hätte von dem abgebrühten Reporter zumindest ein bißchen Ironie bei diesen Worten erwartet .	4	4	abgebrht
$ haben d Bundesregierung d nötig $ $ $ so hören man selbst abgebrüht Korrespondent westlich Zeitung sich fragen $	„ Hat die Bundesregierung das nötig ? " , so hörte man selbst abgebrühte Korrespondenten westlicher Zeitungen sich fragen .	13	13	abgebrht
es sein nicht so $ daß sich d Kampf um Macht und Einfluß nur zwischen d Große abspielen $ d abgebrüht und vor nichts zurückschreckend Manager $	Es Ist nicht so , daß sich die Kämpfe um Macht und Einfluß nur zwischen den Großen abspielen , den abgebrühten und vor nichts zurückschreckenden Managern .	20	20	abgebrht
d Haßblick d versammelt Arbeiter und ihr höhnisch Rede berühren er wenig $ er sein dagegen schon abgebrüht $ und es kränken er nicht mehr $ wenn d Kumpel er ihr Verachtung offen zeigen $	Die Haßblicke der versammelten Arbeiter und ihre höhnischen Reden berührten ihn wenig , er war dagegen schon abgebrüht , und es kränkte ihn nicht mehr , wenn die Kumpel ihm ihre Verachtung offen zeigten .	17	17	abgebrht
aber so naiv $ wie d $ Welf '-Geschrei klingen $ sein d abgebrüht Schreiberkorps Springer wahrhaftig nicht $	Aber so naiv , wie das „ Welf '-Geschrei klingt , ist das abgebrühte Schreiberkorps Springers wahrhaftig nicht .	13	13	abgebrht
nach fünf Minute können du nicht mehr sitzen $ nach acht Minute mögen du Gerrl flitzen $ nach zehn Minute sein $ abgebrüht $ du gehen hinaus und machen «s Dlf bequem und tauchen beherzt in Kok $ Flut ein $ nehmen deine Schurz und wandeln W. eine Römer $ beflügeln von d alt shakespeare- Thema lassen dick Sauna-Mann um mich Seinl beim zweit Mal werden du dann schon kühn $ und nimm5t du wirklich ob $ machen du nichts Drausl sein ohne Furcht und nehmen du Zeit $ berliner $	Nach fünf Minuten kannst du nicht mehr sitzen . nach acht Minuten möchtest du gerrl flitzen : nach zehn Minuten bist « abgebrüht ; Du gehst hinaus und machst «s dlf bequemer und tauchst beherzt In koK « Fluten ein , nimmst deinen Schurz und wandelst w. ein Römer , beflügelt von dem alten Shakespeare- Themas Laßt dicke Sauna-Männer um mich seinl Beim zweiten Male wirst du dann schon kühner . und nimm5t du wirklich ob — mach dir nichts drausl Sei ohne Furcht und nimm dir Zeit , Berliner !	22	22	abgebrht
er müssen schon sehr $ abgebrüht $ sein $ wenn er dann in d nächst Nacht genauso ruhig schlafen können wie zuvor $ $ Lagermensch $ $	Er muß schon sehr . abgebrüht ' sein , wenn er dann in der nächsten Nacht genauso ruhig schlafen kann wie zuvor . . Lagermenschen ' .	5	5	abgebrht
