sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
schließlich werden es sogar d geduldig Polararbeiter zuviel $ und man beschließen $ d Tier $ umsiedeln $ es werden herauszerren $ auf eine Hundeschlitten packen $ zwei Kilometer wegbringen und dort durch eine breit Spalt im Eis ins Wasser werfen $	25	0	packen	Schließlich wurde es sogar den geduldigen Polararbeitern zuviel , und man beschloß , das Tier „ umzusiedeln . Es wurde herausgezerrt , auf einen Hundeschlitten gepackt , zwei Kilometer weggebracht und dort durch einen breiten Spalt im Eis ins Wasser geworfen .	2532889X_1958-12-25_01_356.tcf.xml-37-25
er glucksen befriedigt $ packen sie bei d Hüfte und setzen eine kräftig Kuß auf ihr Hals oder auf ihr Mund $ nicht ohne $ zur Freude d Kamerad $ zuweilen eine wohlgezielt Ohrfeige zu ernten $	4	0	packen	Er gluckste befriedigt , packte sie bei der Hüfte und setzte einen kräftigen Kuß auf ihren Hals oder auf ihren Mund , nicht ohne , zur Freude der Kameraden , zuweilen eine wohlgezielte Ohrfeige zu ernten .	26120215_1957_04_05_01_107.tcf.xml-27-4
da drüben liegen Feldbahnschien' $ Ne Dampflok haben Ieprustet $ wir tun an Ne Kippe zeihen und harnen dabei Iehustet $ Million Hand packen zu $ alt $ jung $ damals wie heute $ wir bauen $ bauen $ ohne Ruh $ und wat draus werden $ freuen $	23	0	packen	Da drüben lagen Feldbahnschien' , ne Dampflok hat ieprustet , wir taten an ne Kippe zieh und harn dabei iehustet , Millionen Hände packten zu , alt , jung , damals wie heute , wir bauten , bauten , ohne Ruh , und wat draus wurde , freute .	26120215_1979_05_26_01_334.tcf.xml-3-23
in Altenkirchen $ wo d Schule in Mitleidenschaft ziehen werden $ packen Einwohner tatkräftig zu $ damit am Montag d Unterricht weitergehen können $	11	0	packen	In Altenkirchen , wo die Schule in Mitleidenschaft gezogen wurde , packen Einwohner tatkräftig zu , damit am Montag der Unterricht weitergehen kann .	2532889X_1967-02-26_01_030.tcf.xml-16-11
da packen alle anwesend Mieter gleich kräftig zu $ um d Rohr zu reinigen $	1	0	packen	Da packten alle anwesenden Mieter gleich kräftig zu , um die Rohre zu reinigen .	26120215_1963_07_26_01_294.tcf.xml-9-1
Bertha packen er und werfen er wieder aufs Brett $ auch sie sein ängstlich zumute $ aber sie unterdrücken die $	1	0	packen	Bertha packte ihn und warf ihn wieder aufs Brett ; auch ihr war ängstlich zumute , aber sie unterdrückte das .	2532889X_1947-03-08_01_058.tcf.xml-22-1
Felix packen er hinten am Uniformkragen $ ziehen er etwas weiter nach vorn und schlagen er zweimal mit d Montierhebel über d Kopf $	1	0	packen	Felix packte ihn hinten am Uniformkragen , zog ihn etwas weiter nach vorn und schlug ihm zweimal mit dem Montierhebel über den Kopf .	26120215_1965_06_08_01_131.tcf.xml-90-1
barfuß rennen sie auf d Dorfstraße hinaus $ packen d weinend Briefträgerin an- d abgetragen Bluse und beschwören sie $	8	0	packen	Barfuß rannte Sie auf die Dorfstraße hinaus , packte die weinende Briefträgerin an- der abgetragenen Bluse und beschwor sie :	26120215_1972_11_19_01_125.tcf.xml-20-8
sie haben in verbreitet Opernführer lesen $ daß d Bauernbursch Jontek nachdem sich Halka in d Tiefe stürzen haben $ d Aristokrat Janusch am Kragen packen und $ er in d Abgrund stoßen $ ausrufen $	25	0	packen	Sie hatten in verbreiteten Opernführern gelesen , daß der Bauernbursch Jontek nachdem sich Halka in die Tiefe gestürzt hat . den Aristokraten Janusch am Kragen packt und , ihn in den Abgrund stoßend , ausruft :	2532889X_1953-03-22_01_055.tcf.xml-34-25
wir packen sie munter beim Schopf $ $ ob alle Nachbarschaft schlafen $ und lösen sie spielend im Kopfei wir sein eine Rat-Kollektiv $	1	0	packen	Wir packten sie munter beim Schopf « , ob alle Nachbarschaft schlief ; und lösten sie spielend im Kopfei Wir waren ein Rat-Kollektiv .	26120215_1952_09_26_01_041.tcf.xml-3-1
$ d gleich Zeuge geben auch d folgend zu Protokoll $ $ als jemand rufen $ da kriechen eine Kind fort $ packen Calley d etwa anderthalbjahrig Baby $ schleudern es in d Graben und erschießen es eigenhändig $	22	0	packen	" Der gleiche Zeuge gab auch das folgende zu Protokoll : .. Als jemand rief , Da kriecht ein Kind fort . packte Calley das etwa anderthalbjährige Baby , schleuderte es in den Graben und erschoß es eigenhändig .	2532889X_1970-12-22_01_103.tcf.xml-16-22
zur Demonstration packen d kräftig Feuerwehrleute in historisch Uniform nochmals zu $ um zur Begeisterung d Umstehende d Schlauch tatsächlich eine Strahl rein Wasser zu entlocken $	2	0	packen	Zur Demonstration packten die kräftigen Feuerwehrleute in historischer Uniform nochmals zu , um zur Begeisterung der Umstehenden dem Schlauch tatsächlich einen Strahl reinsten Wassers zu entlocken .	26120215_1988_08_08_01_113.tcf.xml-13-2
er packen d Grammophon $ welche gerade d Lied $ quand l' amour meurt $ spielen $ $ er heben es hoch und werfen es d Mann an d Kopf $	1	0	packen	Er packte das Grammophon ( welches gerade das Lied „ Quand l' amour meurt " spielte ) , er hob es hoch und warf es dem Manne an den Kopf .	26120215_1960_02_04_01_251.tcf.xml-50-1
$ nicht bloß schimpfen und murren dürfen wir $ sondern wir müssen wir zusammentuen $ um zu verlangen $ daß endlich Ave Handhaben schaffen werden $ um d Nichtstuer beim Kragen zu packen $	32	0	packen	„ Nicht bloß schimpfen und murren dürfen wir , sondern wir müssen uns zusammentun , um zu verlangen , daß endlich aVe Handhaben geschaffen werden , um die Nichtstuer beim Kragen zu packen .	26120215_1947_09_28_01_019.tcf.xml-16-32
eine fällen in d Fluß $ eine schreien auf $ weil er d gelb Zahn eine wildgeworden Pferd am Bein packen haben doch die meiste erreichen d Ziel $	20	0	packen	Einer fällt in den Fluß , einer schreit auf . weil ihn die gelben Zähne eines wildgewordenen Pferdes am Bein gepackt haben Doch die meisten erreichen das Ziel .	26120215_1961_01_22_01_253.tcf.xml-10-20
am 'sonnabendnachmittag diskutieren August* Luscher mit einige Nachbar auf d Straße über diese Thema $ als plötzlich zwei jung Mann erscheinen $ d Greis am Arm packen und er auffordern $ mit zur Polizeiwache zu kommen $	26	0	packen	Am 'Sonnabendnachmittag diskutierte August* Luscher mit einigen Nachbarn auf der Straße über dieses Thema , als plötzlich zwei junge Männer erschienen , den Greis am Arm packten und ihn aufforderten , mit zur Polizeiwache zu kommen .	2532889X_1950-07-04_01_099.tcf.xml-5-26
wir sehen $ wie Arbeiter brutal packen $ an ihr Kleidungsstück reissen und fortschleppen werden $	6	0	packen	Wir sahen , wie Arbeiter brutal gepackt , an ihren Kleidungsstücken gerissen und fortgeschleppt wurden ,	2532889X_1977-06-15_01_216.tcf.xml-10-6
$ Morgen nacht schon $ sagen du $ $ fragen er dann und packen d Matrose an d Schulter $	13	0	packen	„ Morgen nacht schon . sagst du ? " fragte er dann und packte den Matrosen an der Schulter .	2532889X_1948-01-04_01_041.tcf.xml-68-13
er treten an eine Wagen und wollen zugreifen $ aber seine Hand sein wie lähmen $ er gehen zu eine ander Wagen und wollen d Bauer am Bart packen $ doch o Schreck $	28	0	packen	Er trat an einen Wagen und wollte zugreifen , aber seine Hand war wie gelähmt ; er ging zu einem anderen Wagen und wollte den Bauern am Bart packen , doch o Schreck !	26120215_1961_10_29_01_162.tcf.xml-47-28
Massachussetts_Institute_Of_Technology VIEL Eifer und Liebe packen jung Pionlete d Berliner wllhelm-pieck-sehule Geschenkpaket für westdeutsch Kind $ die Eltern durch d Krise im Ruhrkohlebergbau und in d westdeutsch eisen- und Stahlindustrie $	5	0	packen	MIT VIEL EIFER UND LIEBE packen Junge Pionlete der Berliner Wllhelm-Pieck-Sehule Geschenkpakete für westdeutsche Kinder , deren Eltern durch die Krise Im Ruhrkohlebergbau und in der westdeutschen Eisen- und Stahlindustrie .	2532889X_1959-03-25_01_085.tcf.xml-14-5
in Form eine Wettbewerb $ in die vor alle ökonomisch Hebel wirken $ packen d Arbeitsgruppe d $ heiß Eisen an $	13	0	packen	In Form eines Wettbewerbs , in dem vor allem ökonomische Hebel wirken . packt die Arbeitsgruppe das „ heiße Eisen an .	26120215_1968_05_23_01_045.tcf.xml-16-13
sie gehen hin $ packen zu $ vom Kohleholen bis zum Einkaufen	4	0	packen	Sie gehen hin , packen zu , vom Kohleholen bis zum Einkaufen	26120215_1983_08_15_01_157.tcf.xml-6-4
Hundert von Amateurfotograf packen d Gelegenheit beim Scnopf und $ schießen $ eine Foto von Walter Ulbricht und d ander Genosse d Politbüro $	3	0	packen	Hunderte von Amateurfotografen packen die Gelegenheit beim Scnopf und „ schießen " ein Foto von Walter Ulbricht und den anderen Genossen des Politbüros .	2532889X_1963-03-07_01_039.tcf.xml-15-3
$ dritt Schicht $ da packen ich meine Scheck $ $ schreien eine laut $	5	0	packen	„ Dritte Schicht - da packe ich meine Schecke ! " schreit einer laut .	2532889X_1970-09-19_01_372.tcf.xml-194-5
die sein interessiert $ überlegen und packen zu $ in d Willen zu helfen $	6	0	packen	Der ist interessiert , überlegt und packt zu , in dem Willen zu helfen .	26120215_1956_02_29_01_004.tcf.xml-18-6
blitzschnell packen d Sergeant mit seine link Hand d Daumen d Mann und treiben d Nadel mit d recht Hand unter d Daumennagel d Gefangene $	1	0	packen	Blitzschnell packte der Sergeant mit seiner linken Hand den Daumen des Mannes und trieb die Nadel mit der rechten Hand unter den Daumennagel des Gefangenen .	26120215_1965_07_01_01_180.tcf.xml-21-1
er packen d Sprung und ziehen er weit hinunter $	1	0	packen	Er packte den Sprung und zog ihn weit hinunter .	2532889X_1971-02-01_01_131.tcf.xml-11-1
er packen Mr. Quick am Rockärmel und Wies zittern auf eine Straßenbeleuchtungsmast $	1	0	packen	Er packte Mr. Quick am Rockärmel und Wies zitternd auf einen Straßenbeleuchtungsmast .	2532889X_1966-07-31_01_255.tcf.xml-18-1
als d Maulwurf Endlieh eine Ladung Erde Ausschob $ stoßen d Rabe mit d derb Schnabel in d locker $ warm $ dampfend $ Hügel $ packen d schwarz Erdearbeiter und ziehen er ans Licht $	26	0	packen	Als der Maulwurf endlieh eine Ladung Erde ausschob , stieß der Rabe mit dem derben Schnabel in den lockeren , warmen , dampfenden . Hügel , packte den schwarzen Erdarbeiter und zog ihn ans Licht .	2532889X_1965-02-28_01_177.tcf.xml-13-26
d Genosse sehen wohl $ was im arg liegen $ aber sie packen d Übel nicht beim Schopf $	12	0	packen	Die Genossen sehen wohl , was im argen liegt , aber sie packen das Übel nicht beim Schopf .	2532889X_1956-10-27_01_038.tcf.xml-49-12
d Mann drehen sich zueinander $ in aufquellend Überfreude packen sie gegenseitig ihr Schulter und pressen sie $ d groß haben noch immer d ungelöscht Lampe in d Hand $ ihr Schein schießen verwirrt über d Decke d Raum $	9	0	packen	Die Männer drehen sich zueinander ; in aufquellender Überfreude packen sie gegenseitig ihre Schultern und pressen sie , der Große hat noch immer die ungelöschte Lampe in der Hand , ihr Schein schießt verwirrt über die Decke des Raums .	26120215_1971_11_16_01_287.tcf.xml-31-9
als Herr P. d Wunsch äußern $ lieber zu stehen $ packen er d Vorsteher an d Kehle $ würgen er und zwingen er $ sich auf eine Stuhl zu setzen $ die er zwei Westenpolizist unterschieben $	11	0	packen	Als Herr P. den Wunsch äußerte , lieber zu stehen , packte ihn der Vorsteher an der Kehle , würgte ihn und zwang ihn , sich auf einen Stuhl zu setzen , den ihm zwei Westpolizisten unterschoben .	26120215_1951_10_11_01_176.tcf.xml-12-11
jede haben seine Aufgabe $ helfen fleißig mit auch d Vater $ er arbeiten in drei Schichte im VEB Kombinat Me-I Tallaufbereitung $ packen kräftig zu $	23	0	packen	Jeder hat seine Aufgabe , hilft fleißig mit Auch der Vater , er arbeitet in drei Schichten im VEB Kombinat Me-i tallaufbereitung , packt kräftig zu .	2532889X_1975-03-05_01_128.tcf.xml-16-23
d Dozent $ die im sechst Vortrag d Notwendigkeit dos Sozialismus $ seine theoretisch Beßrundunc beweisen $ haben seine Zuhörer sehr packen $	21	1	packen	Der Dozent , der im sechsten Vortrag die Notwendigkeit dos Sozialismus , seine theoretische Beßrundunc bewies , hat seine Zuhörer sehr gepackt .	26120215_1960_12_28_01_106.tcf.xml-23-21
doch wie ganz anders packen Gorki $ obwohl mit heiß Herz Stellung nehmen $ sein Thema an $	4	1	packen	Doch wie ganz anders packt Gorki , obwohl mit heißem Herzen Stellung nehmend , sein Thema an !	2532889X_1949-12-18_01_043.tcf.xml-10-4
doch wenn es jemand verstehen $ sie eine interessant Thema packen vortragen $ dann vergessen sie über alle Spannung $ daß sie eigentlich immer eine Bißdien herumnörgeln und auffallen wollen $	10	1	packen	Doch wenn es jemand versteht , ihnen ein interessantes Thema packend vorzutragen , dann vergessen sie über aller Spannung , daß sie eigentlich immer ein bißdien herumnörgeln und auffallen wollen .	26120215_1960_05_11_01_125.tcf.xml-33-10
sein Filmwerk über d groß vaterländisch Krieg d Sowjetvolk haben in diese Jahr Hundert Million zwischen Baltimore und Wladiwostok packen $ obwohl doch diese Thema oft schon im Dokumentarfilm darstellen werden sein $	19	1	packen	Sein Filmwerk über den Großen Vaterländischen Krieg des Sowjetvolkes hat in diesem Jahr Hunderte Millionen zwischen Baltimore und Wladiwostok gepackt , obwohl doch dieses Thema oft schon im Dokumentarfilm dargestellt worden ist .	2532889X_1979-11-24_01_161.tcf.xml-9-19
eine gut Deutsche sein förmlich daran zu erkennen $ ob und wie er von diese Film packen werden $	16	1	packen	Ein guter Deutscher ist förmlich daran zu erkennen , ob und wie er von diesem Film gepackt wird .	26120215_1946_10_17_01_032.tcf.xml-14-16
d ganz dicht an d Mensch herangehend Kamera $ übrigens experimentiermutig führen vom Defa-Kameramann Erwin Anders $ lesen d Gesicht d erregend Geschichte ab $ erheben d menschlich Antlitz zum aussagekräftig dramatisch Kraftfeld $ auf d dramatisch Vorgang d Umwelt packen in Erscheinung treten $	40	1	packen	Die ganz dicht an den Menschen herangehende Kamera ( übrigens experimentiermutig geführt vom DEFA-Kameramann Erwin Anders ) liest den Gesichtern die erregendsten Geschichten ab , erhebt das menschliche Antlitz zum aussagekräftigsten dramatischen Kraftfeld , auf dem dramatische Vorgange der Umwelt packend in Erscheinung treten .	2532889X_1960-07-18_01_060.tcf.xml-11-40
objektiv Verbündete Pretoria bei d Unterdrückung Südwestafrika sein d -westdeutsche Bundesrepublik $ die vom Wunschtraum eine Kolonialmacht packen sein und die zum groß Teil d kolonialistischen- Aktion im südlich Afrika finanzieren schreiben El Djeich $	17	1	packen	Objektiver Verbündeter Pretorias bei der Unterdrückung Südwestafrikas sei die -westdeutsche Bundesrepublik , die vom Wunschtraum einer Kolonialmacht gepackt ist und die zum großen Teil die kolonialistischen- Aktionen im südlichen Afrika finanziert schreibt El Djeich .	2532889X_1967-04-12_01_151.tcf.xml-2-17
d Kollege am ander Ende scheinen d nackt Verzweiflung zu packen $	10	1	packen	Den Kollegen am anderen Ende schien die nackte Verzweiflung zu packen .	26120215_1965_10_10_01_398.tcf.xml-28-10
auf eine belegtchaftsverjommlunfj Anfang d Jahr haben er d Ursaehen aufdecken $ $ warum d Werk noch nicht zu eine zuverlässig Partner d Volkswirtschaft werden sein $ $ Neu Deutschland $ berichten darüber am 29. Januar $ damals $ führen d Schlosser stets eine Wort im Mund $ mit die er seine Kollege an ihr Ehre packen $	56	1	packen	Auf einer Belegtchaftsverjommlunfj Anfang des Jahres hatte er die Ursaehen aufgedeckt . ' warum das Werk noch nicht zu einem zuverlässigen Partner der Volkswirtschaft geworden war , . Neues Deutschland " berichtete darüber am 29. Januar , Damals , führte der Schlosser stets ein Wort im Munde , mit dem er seine Kollegen an Ihrer Ehre packte .	2532889X_1967-11-10_01_145.tcf.xml-6-56
$ als am nächst Morgen d Arlette tot auffinden werden $ und noch dazu von meine Mann $ da packen ich d Furcht $	19	1	packen	— Als am nächsten Morgen die Arlette tot aufgefunden wurde , und noch dazu von meinem Mann — da packte mich die Furcht .	26120215_1979_12_27_01_295.tcf.xml-65-19
diese Roman vermögen noch heute zu packen $ nicht zuletzt durch eine Fülle authentisch Detail $	6	1	packen	Dieser Roman vermag noch heute zu packen , nicht zuletzt durch eine Fülle authentischer Details .	2532889X_1983-07-09_01_079.tcf.xml-21-6
$ wenn man ihr Interesse packen $ sein d Mensch immer für Mitarbeit zu gewinnen $ $ sagen d erfahren Kommunalpolitiker $ die sehr aufmerksam Vorschlag und Hinweis aufnehmen $	5	1	packen	„ Wenn man ihre Interessen packt , sind die Menschen immer für Mitarbeit zu gewinnen " , sagt der erfahrene Kommunalpolitiker , der sehr aufmerksam Vorschläge und Hinweise aufnimmt .	26120215_1983_04_02_01_116.tcf.xml-58-5
d Autor packen d Thema aus philosophisch $ ökonomisch und soziologisch Sicht $	2	1	packen	Die Autoren packen das Thema aus philosophischer , ökonomischer und soziologischer Sicht .	2532889X_1975-09-20_01_181.tcf.xml-6-2
Genosse Murawenko gönnen sich und wir kaum eine Pause $ sprechen von d $ Ersten* --Geologen $ und nennen sie $ Pionier d Erschließung d Jahrhundert $ $ Erzähiu von d aus d Süden vorgetragen Großoffensive auf d groß Ölen und d groß blau Feuer $ verschweigen nicht $ daß manche dabei d groß Geld wegen kommen und nach d erst Winter mit minus fünfzig oder d erst Sommer mit Wolke von Mücke eilends wieder d Segel streichen $ berichten von Kanadier $ die beim Studium sibirisch Bohrtechnologie d groß Staunen packen und d sich stehend Fuß um sowjetisch Patent bemühen $ verweilen am lang und lieb aber bei Aussage über d Burowiki $ d Bohrleute $ die $ wie er selbst $ eine bequem Leben in südlich Gefilde aufgeben und sich d Taiga zum Kampf stellen $ freiwillig $ aus Einsicht in d Not $	91	1	packen	Genosse Murawenko gönnt sich und uns kaum eine Pause , spricht von den . ersten* --Geologen < und nennt sie „ Pioniere der Erschließung des Jahrhunderts " , erzähiU von der aus dem Süden vorgetragenen Großoffensive auf das große öl und das große blaue Feuer , verschweigt nicht , daß mancher dabei des großen Geldes wegen kam und nach dem ersten Winter mit minus fünfzig oder dem ersten Sommer mit Wolken von Mücken eilends wieder die Segel strich , berichtet von Kanadiern , die beim Studium sibirischer Bohrtechnologien das große Staunen packte und die sich stehenden Fußes um sowjetische Patente bemühten , verweilt am längsten und liebsten aber bei Aussagen über die Burowiki , die Bohrleute , die , wie er selbst , ein bequemeres Leben in südlicheren Gefilden aufgaben und sich der Taiga zum Kampf stellten — freiwillig , aus Einsicht in die Not -	2532889X_1973-05-26_01_177.tcf.xml-23-91
während er die sagen $ haben seine Stimme zittern und sein Inner sich bei d Gedanke zusammenkrampfen $ daß diese so vertraut blau Bluse bald hinter d Hausecke drüben verschwinden werden $ sofort alle ganz anders sein $ trüb aussehen $ er sich ganz schwach fühlen und d Bein noch mehr weh tun werden $ daß er d Sehnsucht packen und er am lieb d Mutter nach $ in d frei weit Steppe laufen sein $ und daß nun seine Träne auf d hart Krankenhauskissen rollen werden $	59	1	packen	Während er das sagte , hatte seine Stimme gezittert und sein Inneres sich bei dem Gedanken zusammengekrampft , daß diese so vertraute blaue Bluse bald hinter der Hausecke drüben verschwinden werde , sofort alles ganz anders sei , trüber aussehe , er sich ganz schwach fühlen und das Bein noch mehr weh tun würde , daß ihn die Sehnsucht packe und er am liebsten der Mutter nach , in die freie weite Steppe gelaufen wäre , und daß nun seine Tränen auf das harte Krankenhauskissen rollen würden .	26120215_1972_11_03_01_177.tcf.xml-40-59
wen in Madagaskar d „solitaire"-Leldenschaft packen haben $ d ziehen es magisch zum Holzmarkt in d Hauptstadt Antananarivo $	5	1	packen	Wen in Madagaskar die „Solitaire"-Leldenschaft gepackt hat , den zieht es magisch zum Holzmarkt in der Hauptstadt Antananarivo .	2532889X_1986-07-15_01_119.tcf.xml-13-5
