sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
Erich Correns noch viel Jahr vergönnen sein mögen $ $ an d Spitz $ $ unsere national Front für d Frieden und d umfaßend Aufbau d Sozialismus $ zum Wohl und zur Ehre unsere deutsch demokratisch Republik zu wirken	5	0	vergnnen	Erich Correns noch viele Jahre vergönnt sein möge , » an der Spitz » - unserer Nationalen Front für den Frieden und den umfassenden Aufbau des Sozialismus , zum Wohle und zur Ehre unserer Deutschen Demokratischen Republik zu wirken	2532889X_1966-05-12_01_296.tcf.xml-5-5
nie sein es sie vergönnen $ mit gleichaltrig Gefährte zusammen zu sein $	4	0	vergnnen	Nie war es ihnen vergönnt , mit gleichaltrigen Gefährten zusammen zu sein .	26120215_1959_02_10_01_169.tcf.xml-9-4
darüber hinaus sein es er nun auch vergönnen $ in höchsteigen Umgebung auf Gespensterpirsch zu gehen $	7	0	vergnnen	Darüber hinaus ist es ihm nun auch vergönnt , in höchsteigener Umgebung auf Gespensterpirsch zu gehen .	26120215_1977_03_05_01_381.tcf.xml-34-7
warum sollen es denn diese Mann nicht vergönnen sein $ wenigstens jetzt noch eine Ehe zu führen $ wie sie sie bisher versagen sein $ und die auch unsere Gesellschaft nützlich sein $	7	0	vergnnen	Warum soll es denn diesen Männern nicht vergönnt sein , wenigstens jetzt noch eine Ehe zu führen , wie sie ihnen bisher versagt war , und die auch unserer Gesellschaft nützlich ist ?	26120215_1955_06_24_01_156.tcf.xml-11-7
d beide männlchen Solist $ Kurt Schüttler und $ Arl Wolfram $ werden zu stimmlich Übertreibung zwingen $ während es Tiana L E M n i t Z und Johanna Görschler vergönnen sein $ in d wenige lyrisch Partie zu ausdrucksvoll Singen zu kommen $	31	0	vergnnen	Die beiden männlchen Solisten ( Kurt Schüttler und < arl Wolfram ) wurden zu stimmlichen Übertreibungen gezwungen , während es Tiana L e m n i t z und Johanna Görschler vergönnt war , in den wenigen lyrischen Partien zu ausdrucksvollem Singen zu kommen .	26120215_1949_01_27_01_029.tcf.xml-18-31
d Dichter sein es nicht mehr vergönnen $ seine Heimat wiedersehen $ die er 1934 verlassen um d Nazitarror zu entgehen $	6	0	vergnnen	Dem Dichter war es nicht mehr vergönnt , seine Heimat wiederzusehen , die er 1934 verließ um dem Nazitarror zu entgehen .	26120215_1946_10_31_01_039.tcf.xml-3-6
nur wenige Stunde d Ruhe S.md unsere Stadt vergönnen $ denn kurz nach vier Uhr werden es in d Straße bereits wieder lebendig $	8	0	vergnnen	Nur wenige Stunden der Ruhe s.md unserer Stadt vergönnt , denn kurz nach vier Uhr wird es in den Straßen bereits wieder lebendig .	2532889X_1956-02-05_01_039.tcf.xml-16-8
es sein er nicht vergönnen $ sein 90. Lebensjahr zu vollenden $	4	0	vergnnen	Es war ihm nicht vergönnt , sein 90. Lebensjahr zu vollenden .	26120215_1984_03_07_01_089.tcf.xml-6-4
sie und viel andere zählen zu jen von d Partei Ernst Thälmann erziehen revolutionär jung Garde $ die es vergönnen sein $ d Ziel $ für die sie vor mehr als 40 Jahr kämpfen $ in unsere Arbeiter-Und-Bauern-Staat zu verwirklichen $	19	0	vergnnen	Sie und viele andere zählen zu jener von der Partei Ernst Thälmanns erzogenen revolutionären jungen Garde , der es vergönnt war , die Ziele , für die sie vor mehr als 40 Jahren kämpfte , in unserem Arbeiter-und-Bauern-Staat zu verwirklichen .	2532889X_1974-05-04_01_240.tcf.xml-66-19
Paul Robeson sein es nicht vergönnen $ seine 80. Geburtstag zu erleben $	5	0	vergnnen	Paul Robeson war es nicht vergönnt , seinen 80. Geburtstag zu erleben .	2532889X_1978-04-08_01_350.tcf.xml-48-5
