sentence_lemma	sentence_token	index_lemma	index_token	lemma
wie es in eine Mitteilung d Ddr-Postministerium heißen $ sein es noch notwendig $ d Postleitzahl auf Sendung in d jeweils ander Deutschland d Vermerk D beziehungsweise DDR voranstellen $ da viel d Zahl zur Zeit noch doppelt besetzen sein $	Wie es in einer Mitteilung des DDR-Postministeriums heißt , sei es noch notwendig , den Postleitzahlen auf Sendungen in das jeweils andere Deutschland den Vermerk D beziehungsweise DDR voranzustellen , da viele der Zahlen zur Zeit noch doppelt besetzt sind .	28	28	voranstellen
indem d Dokument aus d Sowjetunion voranstellen sein $ werden noch einmal unterstreichen $ daß d Lösung d kulturell-geistig Problem d deutsch Demokra $	Indem die Dokumente aus der Sowjetunion vorangestellt sind , wird noch einmal unterstrichen , daß die Lösung der kulturell-geistigen Probleme der Deutschen Demokra -	6	6	voranstellen
am Namen d Volk $ $ so lauten d verlogen Formulierung $ die Hitler Bluu Richter ihr Todesurteil über Tausend unschuldig Mensch voranstellen $	Am Namen des Volkes " — so lautete die verlogene Formulierung , die Hitlers BluU richter ihren Todesurteilen über Tausende unschuldiger Menschen voranstellten .	22	22	voranstellen
$ auf d Feld Kulikowo werden Rußland gebären $ $ heißen es in d Vorspruch $ d Juri Schaporin seine monumental sinfonie- Kantate voranstellen $	„ Auf dem Felde Kulikowo wurde Rußland geboren " , heißt es in dem Vorspruch , den Juri Schaporin seiner monumentalen Sinfonie- Kantate voranstellte .	23	23	voranstellen
d indisch Ministerpräsident Nehru $ d Freitag nochmals d Wort ergreifen $ schlagen vor $ daß d Entschließung gegen d Aufrechterhaltung d Kolonialregime eine Erklärung voranstellen werden $ in die d Unterwerfung d Volk unter fremd Herrschaft $ als Verletzung d Menschenrecht und d Prinzip * er Un-Charta $ verurteilen werden $	Der indische Ministerpräsident Nehru , der Freitag nochmals das Wort ergriff , schlug vor . daß den Entschließungen gegen die Aufrechterhaltung des Kolonialregimes eine Erklärung vorangestellt werde , in der die Unterwerfung des Volkes unter fremde Herrschaft „ als Verletzung der Menschenrechte und der Prinzipien * er UN-Charta " verurteilt wird .	25	25	voranstellen
Johannes R. Becher Vers $ Traum von räte- Deutschland $ sein eine neu An' $ hologie d Aufbau-Verlag voranstellen un d aeben sie d Namen $	Johannes R. Bechers Verse „ Traum von Räte- Deutschland " sind einer neuen An' . hologie des Aufbau-Verlages vorangestellt un d aeben ihr den Namen .	18	18	voranstellen
d nun folgend Stellungnahme d Handelsbetrieb und d Vertreter d Staatsapparat sein voranstellen $	Den nun folgenden Stellungnahmen der Handelsbetriebe und der Vertreter des Staatsapparates sei vorangestellt :	12	12	voranstellen
d Bemerkenswerteste an Chrlstel Philipp sein aber $ daß Sis trotz dienstlich Belastung $ trotz fünf- Personen-Haushalt und labil Gesundheit d Hilfe für andere stets voranstellen $	Das Bemerkenswerteste an Chrlstel Philipp ist aber , daß sis trotz dienstlicher Belastung , trotz Fünf- Personen-Haushalt und labiler Gesundheit die Hilfe für andere stets voranstellt .	25	25	voranstellen
Oberbürgermeister Erhard Krack beziehen sie alle in d gut Bilanz ein $ die er d Gesprächsrunde voranstellen $	Oberbürgermeister Erhard Krack bezog sie aller in die gute Bilanz ein , die er der Gesprächsrunde voranstellte .	16	16	voranstellen
reich Wettbewerb $ die d Arbeiter d Motto voranstellen $	reichen Wettbewerb , dem die Arbeiter das Motto voranstellten :	8	8	voranstellen
d Volkskongreß sein eine erst Schritt $ die erkennen lassen $ daß d deutsch Volk in eine einheitlich Staat leben und dabei d demokratisch Grundsatz voranstellen wollen $	Der Volkskongreß war ein erster Schritt , der erkennen läßt , daß das deutsche Volk in einem einheitlichen Staat leben und dabei die demokratischen Grundsätze voranstellen will .	25	25	voranstellen
d BSO haben eingangs eine vorn tun seltsam anmutend Werk gebieten $ L von David Ellis $ eine Lfl $ Jl gebären englisch Komponist $ die d römisch $ 50 $ seine Op. 41 voranstellen $ und zwar als Ausdruck d Verehrung für eine Freund $ Dessenso $	Das BSO hatte eingangs ein vorn Tue seltsam anmutendes Werk geboten .. L von David Ellis . einem lfl .' Jl geborenen englischen Komponisten , der die römische „ 50 " seinem op. 41 voranstellte , und zwar als Ausdruck der Verehrung für einen Freund . dessenSO .	34	34	voranstellen
$ d Zukunft gehören d Buch und nicht d Bombe $ d Frieden und nicht d Krieg $ $ diese von Victor Hugo stammend Satz sein Motto d international Buchkunst-Ausstellung Lba 89 in Leipzig und werden d 35. Urania Universum voranstellen $	„ Die Zukunft gehört dem Buch und nicht der Bombe , dem Frieden und nicht dem Krieg " — dieser von Victor Hugo stammende Satz war Motto der Internationalen Buchkunst-Ausstellung lba 89 in Leipzig und wurde dem 35. Urania Universum vorangestellt .	40	40	voranstellen
d Presseagentur DPA steuern direkt auf d Kern d Bestrebung westdeutsch Politiker und Ideologe zu $ als sie d Meldung über d Kreml-Runde d Schlagzeile voranstellen $	Die Presseagentur DPA steuerte direkt auf den Kern der Bestrebungen westdeutscher Politiker und Ideologen zu , als sie der Meldung über die Kreml-Runde die Schlagzeile voranstellte :	25	25	voranstellen
so sein d Bildreihe einige Blatt aus d Anfang eine sozialkritisch ausgerichtet Grafik in Kolumbien voranstellen $	So sind der Bildreihe einige Blätter aus den Anfängen einer sozialkritisch ausgerichteten Grafik in Kolumbien vorangestellt .	15	15	voranstellen
diese Aussicht werden meist eine $ Wetterlage voranstellen $ in die d typisch Merk $	Diesen Aussichten wird meist eine „ Wetterlage vorangestellt , in der die typischen Merk -	7	7	voranstellen
so fügen sich Gedicht und Lied über wir heute von Heinz Kahlau $ Günther Deicke $ Helmut Preißler $ Günter Kunert $ Volker Braun $ Uwe Berger $ Jo Schulz ausgezeichnet ein und erfüllen auf ihr Weise d bechersch Forderung $ die als Motto voranstellen sein $ $ $ Gedicht wandeln sich zu Tat $	So fügten sich Gedichte und Lieder über uns heute von Heinz Kahlau , Günther Deicke , Helmut Preißler , Günter Kunert , Volker Braun , Uwe Berger , Jo Schulz ausgezeichnet ein und erfüllten auf ihre Weise die Bechersche Forderung , die als Motto vorangestellt war : „ ... Gedichte wandeln sich zu Taten .	44	44	voranstellen
voranstellen sein d brecht- Wort $ wer d Hilferuf nicht hören $ werden d hören d leise Ruf d Liebste $	Vorangestellt waren die Brecht- Worte „ Wer den Hilferuf nicht hört , wird der hören den leisen Ruf des Liebsten ?	0	0	voranstellen
derartig Information sein d düster Rückblick auf 1977 zu entnehmen $ die d südafrikanisch Finanzminister Horwood seine Budget für 1978/79 voranstellen $	Derartige Informationen waren dem düsteren Rückblick auf 1977 zu entnehmen , den der südafrikanische Finanzminister Horwood seinem Budget für 1978/79 voranstellte .	20	20	voranstellen
man taufl d Antwort auf dl Frage $ was um an Erzeugnis d Petrolchemie bringen werden $ einige Feststellung voranstellen $ wie wir wissen $ lösen d petroliaemfe ta be $	Man taufl der Antwort auf dl Frage , was um an Erzeugnissen die Petrolchemie bringen wird , einige Feststellungen voranstellen , wie wir wissen , löst die Petroliaemfe ta be -	19	19	voranstellen
voranstellen sein d Brecht-Wort $ wer d Hilferuf nicht hören $ werden d hören d leise Ruf d Liebste $ $ $	Vorangestellt waren die Brecht-Worte „ Wer den Hilferuf nicht hört , wird der hören den leisen Ruf des Liebsten ? " .	0	0	voranstellen
jeweils voranstellen haben Rentzsch übrigens Vorbemerkung $ die d Leser ebenso knapp wie präzis auf d folgend Geschichte $ einstimmen $ $	Jeweils vorangestellt hat Rentzsch übrigens Vorbemerkungen , die den Leser ebenso knapp wie präzise auf die folgende Geschichte „ einstimmen " .	1	1	voranstellen
es müssen alle voranstellen werdon $ wir erleben eine Spiel $ die sowohl für d Ungarn $ es sein ihr 410. $ als auch und besonders für wir $ es sein unsere 60. $ als eine niveauvoll Spiel in Die' Landerspielgeschichte einschreiben werden können $	Es muß allem vorangestellt werdon ; Wir erlebten ein Spiel , das sowohl für die Ungarn ( es war ihr 410. ) als auch und besonders für uns ( es war unser 60. ) als ein niveauvolles Spiel in die' Länderspielgeschichte eingeschrieben werden kann .	3	3	voranstellen
eine gerecht kritisch Wertung seine literarisch und geistig Lebensleistung erfordern $ sie voranstellen wo er am Ende seine Leben stehen $ sein Bild von 1945 $ eine ehrewürdig groß Erscheinung d deutsch Nationalliteratur $ noch zuletzt von d Glauben an eine zutiefst sich erneuernd Deutschland $	Eine gerechte kritische Wertung seiner literarischen und geistigen Lebensleistung erfordert , ihr voranzustellen wo er am Ende seines Lebens stand , sein Bild von 1945 : eine ehrwürdig große Erscheinung der deutschen Nationalliteratur , noch zuletzt von dem Glauben an ein zutiefst sich erneuerndes Deutschland .	12	12	voranstellen
in Nr. 1. d eine Geleitwort d Oberbürgermeister d Stadt -Berlin voranstellen sein werden in eine Vorwort Rler Redaktion als Zweck d Zeitschrift bezeichnen $ $ durch d Anregung in ihr Veröffentlichung dazu beitragen $ d Neuaufbau d "r öffentlich Verwaltung zu vereinheitlicheo und damit zu erleichtern $ $	In Nr. 1. der ein Geleitwort des Oberbürgermeisters der Stadt -Berlin vorangestellt ist wird in einem Vorwort rler Redaktion als Zweck der Zeitschrift bezeichnet , „ durch die Anregungen in ihren Veröffentlichungen dazu beizutragen , den Neuaufbau d "r öffentlichen Verwaltung zu vereinheitlicheo und damit zu erleichtern " .	11	11	voranstellen
d Biografie $ d jeweilig Text voranstellen $ machen d deutsch Leser Angabe zugänglich $ die bislang allenfalls in sorbischspracheig Nachschlagewerken erreichbar sein $ bringen jedoch auch viel eigen Erkundung und Bewertung ein $	Die Biografien , den jeweiligen Texten vorangestellt , machen dem deutschen Leser Angaben zugänglich , die bislang allenfalls in sorbischsprachigen Nachschlagewerken erreichbar waren , bringen jedoch auch viele eigene Erkundungen und Bewertungen ein .	6	6	voranstellen
