sentence_lemma	sentence_token	target_index	original_word
im Backofen zersetzen sie d schwarz Kruste $ im WC eindeutig Ablagerung $ im verstopft Abfluß irgendwelche Manikürerest $	Im Backofen zersetzen sie die schwarze Kruste , im WC eindeutige Ablagerungen , im verstopften Abfluß irgendwelche Manikürereste .	2	zersetzen
d geplant Experiment $ Kalziumkarbonat sollen thermisch zersetzen werden liegen schon hinter d Schuler diese acht Klasse $	Das geplante Experiment — Kalziumkarbonat sollte thermisch zersetzt werden liegt schon hinter den Schulern dieser achten Klasse .	7	zersetzen
d Energieproduktion erfolgen dadurch $ daß d aus eine unedel Metall gefertigt Elektrode im Verlauf eine elektrochemisch Reaktion allmählich zersetzen werden $	Die Energieproduktion erfolgt dadurch , daß die aus einem unedlem Metall gefertigte Elektrode im Verlauf einer elektrochemischen Reaktion allmählich zersetzt wird .	19	zersetzen
Bakterie $ die in relativ kurz Zeit bei Havarie ausgefließen Erdöl zersetzen können $ sein im westsibirisch Forschungsinstitut für geologisch Erkundung züchten werden $	Bakterien , die in relativ kurzer Zeit bei Havarien ausgeflossenes Erdöl zersetzen können , sind im westsibirischen Forschungsinstitut für geologische Erkundungen gezüchtet worden .	11	zersetzen
dadurch werden d Kunststoff bis zu d Zustand zersetzen $ in die er von d Mikroorganismus d Boden vollständig absorbieren werden und schließlich sogar Pflanze als Nährstoff dienen $	Dadurch wird der Kunststoff bis zu dem Zustand zersetzt , in dem er von den Mikroorganismen des Bodens vollständig absorbiert wird und schließlich sogar Pflanzen als Nährstoff dient .	8	zersetzen
d in d Sandwirbelschicht eingebringt Kunststoffabfall zersetzen sich innerhalb wenige Sekunde zu Pyrolysegas $	Die in die Sandwirbelschicht eingebrachten Kunststoffabfälle zersetzen sich innerhalb weniger Sekunden zu Pyrolysegas .	6	zersetzen
bis zu 14 Tag nach d Befruchtung sein $ d Muttertier $ jedoch in d Lage $ d Keimling mit körpereigen Stoff zu zersetzen und in ihr Körper auflösen $	Bis zu 14 Tagen nach der Befruchtung sind , die Muttertiere , jedoch in der Lage , die Keimlinge mit körpereigenen Stoffen zu zersetzen und in ihrem Körper aufzulösen .	23	zersetzen
danach sein d Strohstruktur so stark zersetzen $ daß sich d Mahlpumpe direkt anschließen können $	Danach ist die Strohstruktur so stark zersetzt , daß sich die Mahlpumpe direkt anschließen kann .	6	zersetzen
d organisch Masse von Bakterie zersetzen werden $ $ erklären Doktor Gerhard Breitschuh $ Mitarbeiter d kooperativ Abteilung Melioration und organisch Düngung d Agrar-Industrie-Vereinigung AIV Berlstedt $	die organische Masse von Bakterien zersetzt wird " , erklärt Dr. Gerhard Breitschuh , Mitarbeiter der Kooperativen Abteilung Melioration und organische Düngung der Agrar-Industrie-Vereinigung AIV Berlstedt .	5	zersetzen
sie schlagen vor $ in d Flöz durch Bohrloch Bakterie eindrücken $ die d eingeschließen Methan zersetzen und es in Kohlendioxid und Wasser spalten $	Sie schlugen vor , in das Flöz durch Bohrlöcher Bakterien einzudrücken , die das eingeschlossene Methan zersetzen und es in Kohlendioxid und Wasser spalten .	16	zersetzen
