sentence_lemma	sentence_token	index_lemma	index_token	lemma
hit ankomma resande $ upp grekista aktiv ariuecn till $ man $ utom $ öfwade matros $	hit ankommen resande , uppgifwer Grekista aktiva ariuecn till 80,000 man , utom 30,020 öfwade matroser . 	6	6	aktiv
som aktiv will bära den kostbar och ny $ af stg sjelf komma til den naturlig och enkel $ astwingar ni hon den sä werkar dock twäng ingen bättring $ och med första frihet utbryta $ i löjcliga och kostbar fymptomer $	som aktiv will bära det kostbara och nya , af stg sjelf komma til det naturliga och enkla ; Astwingar Ni henne det sä werkar dock twäng ingen bättring , och med första frihet utbryter Mode-sjukan i löjcliga och kostbara fymptomer . 	1	1	aktiv
rysk trupp framrycka från all håll emöt donau $ och den vara väl ingen tvifvel underkastadt $ att man arnar blockera en turluska denan fästning och tillika operera aktiv ifrån varna $	Ryska trupperna framrycka från alla håll emöt Donau , och det är väl ingen tvifvel underkastadt , att man arnar blockera de Turluska Denan fästningarna och tillika operera aktivt ifrån Varna . 	28	28	aktiv
härtill vara $ dels att man vilja skona soldat $ helsa $ som mycket lida genom den stark hetta $ dels att den aktiv armé ej tycka	härtill är , dels att man vill skona soldaten » helsa , som mycket lider genom den starka hettan , dels att den aktiva armés ej tyckes 	23	23	aktiv
länge drbgdcs nied eldsläckningsämne $ som dock i rätkan lid wisade sig fkrträffcliga $ menighet mar nu simma aktiv $ oförtrulen och arbetsam $ utan liten otäkighel öfwer den swära watlubärningen $	längre drbgdcs nied Eldsläckningsämnet , som dock i rätkan lid wisade sin fkrträffcliga wärkan^ Menigheten mar nu sam aktiv , oförtrulen och arbetsam , utan minsta otäkighel öfwer den swära watlubärningen . 	18	18	aktiv
häruti skaffa sig en värn mot den aktiv armé $	häruti skaffa sig ett värn mot den aktiva armén . 	7	7	aktiv
regering spsielsätter sig med organisering as aktiv milis $ simma	Regeringen spsielsätter sig med organisering as aktiva Milisen / sam 	6	6	aktiv
de äro i sälffap aktiv alswarsamme $ sällan se man en mor le $ au	De äro i sälffap aktiv alswarsamme ; sällan ser man en Mor le , aU 	4	4	aktiv
låta anteckna sig till aktiv tjenstgöring $ hafwa tills widare blvkt $ blifwit anta $ dels för att icke alltför mycket blott hufwudstaden pk mili $ tärcr $ dels af financiella orsak denna trupp äro fördelta pa tjugu i hamn ligga transportfartyg $ och stola med första gynnande wind gä under segel $	låtit anteckna sig till aktiv tjenstgöring , hafwa tills widare blvkt 3,000 blifwit antagne , dels för att icke alltför mycket blotta hufwudstaden pK mili » tärcr , dels af financiella orsaker Dessa trupper äro fördelta pa tjugu i hamnen liggande transportfartyg , och stola med första gynnande wind gä under segel . 	4	4	aktiv
$ $ grefwe toll ha blifwil utnämna list riddare af $ georgs orden andra klaff $ till belöning för en förljenster han ädagalagt fä chef sbr aktiv arim $ under sednaste fältläg $	' : Grefwe Toll har blifwil utnämnd list Riddare af S:t GeorgS Ordens andra klaff , till belöning för de förljenster han ädagalagt fäftin chef sbr aktiva Arim-ens General-Stab under sednaste fältläg . 	26	26	aktiv
