sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
den collect som annandag jul insamla uti maria magdalena kyrka $ $ tillfalla $ $	3	0	annandag	Den Collect som Annandag Jul insamlas uti Maria Magdalena Kyrka , ^ tillfaller Frimurare-Barnhuset . 	bib13506739_18291224_144030_299_0001_alto.xml-1-3
annandag pass den 4 denna insamla i stamp kyrka och fattighus $ en af en 4 ärlig $ kongl $	0	0	annandag	Annandag Pass den 4 dennes insamlas i Stampens Kyrkor och Fattighuset , en af de 4 ärliga .itzpllecler Kongl . 	bib19225792_18250402_147359_13_0003_alto.xml-1-0
nästkommande onsdag $ som vara annandag juk $ insamla pkwanligt sätt $ i i stad kyrka och fattighus $ en af en fyra örliga af kongl $	5	0	annandag	Nästkommande Onsdag , som är Annandag Juk , insamlas pKwanligt sätt , i i Stadens Kyrkor och Fattighuset , en af de fyra örliga af Kongl . 	bib19225772_18211221_148004_149_0001_alto.xml-11-5
nästa mandag $ få vara annandag pingeff $ insamla efter wanligbetcu i stad kyrka och fattighus wid all eudsijensterne $ man af en 4 arliga och as kongl $	5	0	annandag	Nästa Mandag , fom är Annandag Pingeff , insamlas efter wanligbetcu i Stadens Kyrkor och Fattighuset wid alla Eudsijensterne , en af de 4 arliga och as Kongl . 	bib19225772_18200519_148004_58_0002_alto.xml-9-5
den herren fsm infinna fig annandag pingst hos underteckna och låna en pipa ali röka med $ bwilken så behaga han $ att dag stoopade piohufwudet hök sig $ kunna åfwen erhålla stall vch muiistvcket $ lä framt den ej $ för namn förtigande $ ikulle falla han läglig att a $ terstalla roiwek $	5	0	annandag	Den Herren fsm infann fig Annandag Pingst hoS undertecknad och lånade en Pipa ali röka med , bwilken så behagade honom , att dan stoopade Piohufwudet hök sig ; kan åfwen erhålla stallet vch muiistvcket , lä framt det ej , för namnetS förtigande , ikulle falla honom lägligare att a » terstalla Roiwek . 	bib19223423_18210620_145063_49_0004_alto.xml-1-5
analarrnget fareninzen afg8r annandag pingst den 31 denna $ z $ m $ till drottningholm $ ock äta pa afton $	3	0	annandag	Analarrnget FAreninzen afg8r Annandag Pingst den 31 dennes kl. z e. m . till Drottningholm , ock äter pa aftonen . 	bib13506739_18300529_144030_122_0003_alto.xml-17-3
annandag warit i ätnjutande af den owanliga förman as en i ord egentlig bemärkelse klinga före $ ty städklangen emot galflenariie öswerljudar pä mänga ställe dea af bjellra $	0	0	annandag	Annandagen warit i ätnjutande af den owanliga förmän as ett i ordets egentliga bemärkelse klingande före , ty städklangen emot galflenariie öswerljudar pä mänga ställen dea af bjellrorna . 	bib19227306_18290107_147700_1_0001_alto.xml-3-0
ned etr bränna häl pa deli länga sida $ bortta annandag paff $ bittida pä niorgonen $ utur en kammare $	10	0	annandag	ned etr bränt häl pa deli länga sidan , borttogs Annandag Paff , bittida pä niorgonen , utur en Kammare . 	bib19277277_18270418_147682_89_0003_alto.xml-44-10
annandag $ pingst förlora imellan $ och slottssogsledet en silfwerbeflagen sjöstumspipa mcd lkaft $ den hon uptagik och gifwer den tilkänna $ undfå nöiaktig wedergällning af ägare $ simma $	0	0	annandag	Annandag ' Pingst förlorades imellan Amiralitets-Warfwet och Slottssogsledet en silfwerbeflagen Sjöstumspipa mcd lkaft ; den henne uptagik och gifwer det tilkänna , undfår nöiaktig wedergällning af ägaren , sam . 	bib19225772_18000610_148004_64_0004_alto.xml-4-0
$ skola wäderlckcn icke blifwa posta $ uppffjutes den till en annandag	11	0	annandag	— Skulle wäderlckcn icke blifwa postande , uppffjutes det till en annandag- 	bib19277346_18300821_147394_34_0003_alto.xml-12-11
en gnldnrnyckel nied sarniolsten $ borttappa psi norr antingen juldag eller annandag $	11	0	annandag	En Gnldnrnyckel nied Sarniolsten , borttappades psi Norr antingen Juldagen eller Annandagen . 	bib19277277_18260102_147682_1_0003_alto.xml-33-11
sällskap redlig swenskar behaga enhällig sammanträda pä wanligt ställe annandag päst den 4 april $ $ hals 7 $ m $	9	0	annandag	Sällskapet Redlige Swenskar behagade enhälligt sammanträda pä wanligt ställe Annandag Päst den 4 April , kl. hals 7 e. m . 	bib19277277_18250331_147682_74_0002_alto.xml-8-9
annandag past borttappa en $ $ samt $ $ te stycke af ked som war fläta $	0	0	annandag	Annandag Past borttappades en Guld-Urnyckel , samt e&gt ; tt stycke af Keden som war flätad . 	bib13506739_18090410_144030_81_0008_alto.xml-2-0
annandag jul förlora under höqinäho gudstjenst i $ clara kyrka $ en omkring 2 akn $	0	0	annandag	Annandag Jul förlorades under HöqinäHo Gudstjensten i St. Clara Kyrka , en omkring 2 akn . 	bib13506739_18161228_144030_302_0003_alto.xml-7-0
den $ af en abonnera bal i $ $ kirsteinffa hus ivid $ $ $ qiftves annandag jnl $	16	0	annandag	Den 2:dra af de abonnerade Balerne i f. d. Kirsteinffa Huset ivid.Clars , .Clars , qiftveS Annandag Jnl . 	bib19277277_18241207_147682_285_0002_alto.xml-10-16
sällskap redlig swenffar behaga sommanliäda till asienible i $ $ westinanika hus wid adolf fredric korka annandag paff dr $ 20 denna $ $ 7 $ m $	16	0	annandag	Sällskapet Redlige Swenffar behagade sommanliäda till Asienible i f. d. Westinanika Huset wid Adolf Fredrics Korka Annandag Paff dr » 20 dennes , kl. 7 e. m . 	bib19277277_18290413_147682_85_0002_alto.xml-9-16
djurgärdeu upvförcs nästa mändag eller annandag pingst den 7 denna $	5	0	annandag	Djurgärdeu upvförcS nästa Mändag eller Annandag Pingst den 7 dennes : 	bib13506739_18240605_144030_129_0004_alto.xml-0-5
annandag pingst pä morgon förlora för en fattig gotze u der gående frän jerntorgsgata $ till catharina bränneri $ en $ märka med bokstäswerne g $	0	0	annandag	Annandag Pingst pä morgonen förlorades för en fattig Gotze u der gåendet frän Jerntorgsgata » till Catharina Bränneri , en Drälls-Seruät märkt med bokstäswerne G . 	bib13506739_18170530_144030_122_0010_alto.xml-2-0
sistledne annandag borttappa en kräsnäl af guld $ i form af en zrukrhorn $ emellan stor noga $ a 1 och blaileovlmen $	1	0	annandag	Sistledne Annandag borttappades en Kräsnäl af Guld , i form af ett Zrukrhorn , emellan stora Noga ' a 1 och Blaileovlmen . 	bib13506739_18190424_144030_93_0009_alto.xml-3-1
annandag pingst kungöra han est prädikan för menighet huru den	0	0	annandag	Annandag Pingst kungjorde han ester Prädikan för Menigheten huru den 	bib13506739_17971221_144030_293_0001_alto.xml-19-0
en mpanfl rör med hankrycka af kopp borttappa annandag pingst imber äkandet pä stor badstugugatau $	8	0	annandag	En Mpanfl Rör med hankrycka af Koppar borttappades Annandag Pingst imber äkandet pä stora Badstugugatau . 	bib19277277_18240615_147682_136_0003_alto.xml-32-8
annandag pass uptages efter ivanligheten riri stad kyrka ivid all gudstjensterne i en wid kyrkodörrarne ntstälde backenen en af en q $ arliga af kongl $	0	0	annandag	Annandag Pass uptages efter ivanligheten riri Stadens Kyrkor ivid alla Gudstjensterne i de wid kyrkodörrarne ntstälde Backenen en af de q . arliga af Kongl . 	bib19225772_17960324_148003_24_0003_alto.xml-8-0
