sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
om $ dörtill kui de ärhällas $ fä $ $ siä näst ofivanföre den bro som lijgtr $ bäck $ pä sandzärtsgotan och sölcdes hus formera hörn imellan denna gata och den som komma ftän tor $ gt $ t $ om öpen gata woro rund omkring del samma $ om för wattn iippdckni mande att gjöra et $ fall ned i bassingen pz fänghusglrden $ en wntten reservoir skrmerades i bäck $ och den $ na tillika ut $ $ $ om $ från gata pä ömse sida om bäck $ cn sör nst gra $ $ ifv $ rror tillräckeligen brcd stenläggning $ sogia stuttande ned st botten till i i aln diup anlägga $ om denna fördela i 2 eller z del genom smal $ att stä pä de som sste upp matte $ och om sör inlopp till $ $	18	0	bck	Om T«omten dörtill kui de ärhällas , fä , .tt siä näst ofivanföre den bron som lijgtr cf-uer bäcken , pä Sandzärtsgotan och sölcdeS huset formera hörnet imellan denna Gatan och den som kommer ftän Tor & gt ; t ; Om öpen Gata woro rundt omkring del samma ; Om för wattnetS iippdckni mande att gjöra et » fall ned i bassingen pZ FänghusgLrden , en wntten Reservoir skrmerades i Bäcken , och den » na tillika ut !li ?gades ; Om » från Gatorna pä ömse sidor om Bäcken , cn sör nSt gra mo&lt ; ifv * rror tillräckeligen brcd stenläggning , sogia stuttande ned St bottnen till i i aln diup anlades ; Om denna fördelades i 2 eller z delar genom smala SM^er att stä pä dem som Sste upp matten , och om sör inloppet till Fsng- » 	bib19277346_18140122_147394_4_0003_alto.xml-7-18
klar bäck stingra sig uti ödemark $ vch de susa höra endast af wildtjuren $	1	0	bck	klara bäckar stingra sig uti ödemarkerna , vch deras susande höres endast af wildtjuren . 	bib11653828_17901126_144028_275_0001_alto.xml-1-1
skära wattcn komma opp ur mark $ $ $ $ llksam ur en pipa $ sä kalla set en lalla $ och kiär matte rinna länge mark i en smal rväg $ kalla man set en lannel $ hwilken $ dä den bli stor $ fär heta en bäck när flera bäck sä stöta tillsammans $ akt deraf bli itt stor rinna waticn $ kalla denna matte en il $ och dä flera äar förena fig $ sä att dek bli ännu stor $ sä kalla den en ström eller fslod $ och en stor flod kall s elfwer $ $	51	0	bck	Skär wattcn kommer opp ur mark » » , , llksam ur en pipa , sä kallas set en Lalla , och kiär Matten rinner länge marken i en smal rväg , kallar man set en Lannel , hwilken , dä den blir större , fär heta en Bäck- När flera bäckar sä stöta tillsammans , akt deraf blir itt större rinnande waticn , kallas detta Matten en il , och dä flera äar förena fig , sä att dek blir ännu större , sä kallas det en Ström eller fslod , och de största Floder kall s Elfwer . " 	bib11653828_18151213_144028_290_0003_alto.xml-2-51
träd $ buske och ogräs wera rund omkring denna liten krater $ en smal bäck brusa utföre kull tät derinwid $ och bettan tycka blott pä vägra fä fot afständ werka pä mark $	14	0	bck	Träd , buskar och ogräs wera rundt omkring denna lilla krater , en smal bäck brusar utföre kullen tätt derinwid , och bettan tyckes blott pä vägra fä fots afständ werka pä marken . 	bib11653828_18230913_144028_212_0004_alto.xml-6-14
p8 en nyligen uppfinna wattengwarn $ soln icke behöfwer wara belägen ivid bäck $ le ström och $ framför andra llatttiiqwarnar $ ha den inärkcliga företräde att den $ utan att bero af omständighet och tistfälligheter och utan att fordra kostsam donuverk $ kunna mala all ärstider $	12	0	bck	p8 en nyligen uppfunnen Wattengwarn , soln icke behöfwer wara belägen ivid bäck el¬ ler ström och , framför andra LLatttiiqwarnar , har det inärkcliga företräde att den , utan att bero af omständigheter och tistfälligheter och utan att fordra kostsamma donuverk , kan mala alla ärstider . 	bib11653828_18041227_144028_300_0004_alto.xml-6-12
finna nära egendom $ hwaruti vara en wacker lösikog och en rinna bäck derwid $ som kil flere inrättning kunna tjena $	12	0	bck	finnes nära Egendomen , hwaruti är en wacker lösikog och en rinnande bäck derwid , som kil flere inrättningar kan tjena . 	bib19225772_17970310_148003_20_0003_alto.xml-8-12
alin va äng fiffdnat söka $ $ han jag i fin arm snärde $ pä $ höjd $ och $ jag ej $ och $ jag gråta beta $ m n den firroägne möta $ jag och sedan gryiiu de $ blomma ta $ $ där bäck sig bland widen kröka $	46	0	bck	Alin va ängen fiffdnat sökte , _ Han mig i fina armar snärde , Pä fuC.ns höjd , och far.n mig ej , Och «dcfonöc min grät Betog , M n den firroägne mött ' mej Och sedan gryiiu de » blomman tog , ' Där Bäcken sig bland Widen krökte . 	bib13506739_18000611_144030_130_0002_alto.xml-1-46
förte bataiklonen med stor oförtrutenhct och gå öfwer en djup bäck under fiende eld $ at soutenera cronobergs regemente $ samt stornia den högden där fiende stå $	10	0	bck	förte Bataiklonen med största oförtrutenhct och gick öfwer en djup bäck under fiendens eld , at soutenera Cronobergs Regemente , samt stornia den högden där fienden stod . 	bib13506739_17900508_144030_105_0003_alto.xml-7-10
wittna öm de öfwerdrifna stolthet $ den hus $ hwari kongress star sig session $ kall de capitolium $ en obetydlig bäck af $ fot bredd och $ djup $ som flyta der förbi $ kalla en tibern $	21	0	bck	wittna öm deras öfwerdrifna stolthet ; det hus , hwari Kongressen star sina sessioner , kalla de Capitolium ; en obetydlig bäck af § fots bredd och ^fots djup , som flyter der förbi , kalla de Tibern . 	bib11653828_18220813_144028_186_0002_alto.xml-4-21
här flyta om sommar en stilla bäck genom frodig betesmark $ hwilka	6	0	bck	Här flyter om sommaren en stilla bäck genom frodiga betesmarker , hwilka 	bib11653828_18061216_144028_290_0003_alto.xml-4-6
