sentence_lemma	sentence_token	index_lemma	index_token	lemma
nätt bröllop $ önffadcs likiräl att ej nögre andra flg anmäla $ än	nätt Bröllop ; önffadcs likiräl att ej nögre andre flg anmäla , än 	1	1	brllop
en stor rosenstensring $ en $ $ $ $ o $ 5 dag bröllop och	En stor Rosenstensring , en D&gt ; amanrs-ked&gt ; o , 5 dagars bröllop och 	13	13	brllop
morgon söndag den 8 aprill uppföra $ öre och efter bröllop $ eller den förställa enfaldighet $ comedie mi 4 acker $	morgon Söndag den 8 Aprill uppföres porrp« öre och efter Bröllopet , eller Den förställda Enfaldigheten , Comedie mi 4 Acker . 	10	10	brllop
$ när man betienar sig af hyrwagn att bjuda och $ till bröllop och begrafi nlngar $ i stad och pä malmarne $ eller dä man pä flere häll i stad och pä malmarne besöka eller fara pä visit $ betala för hwarje timma t $ $ i i $ men eliest till bröllop och begrasningar samt annan ä render $ dä man $ $ köra mer än pz twä a tre ställe $ betala för en wagn $ första timma $ $ $ g $ andra timma $ $ $ $ $ $ $ $ $	E. när man betienar sig af Hyrwagn att bjuda och notifie^a till Bröllop och Begrafi nlngar , i Staden och pä Malmarne , eller dä man pä flere hällen i Staden och pä Malmarne besöker eller far pä visiter , betalas för hwarje timma t » — i i _ Men eliest till Bröllop och Begrasningar samt andra ä render , dä man e&gt ; kör mer än pZ twä a tre ställen , betalas för en Wagn , första timman - - - g _ Andra timman - - - - - - * _ ! 	12	12	brllop
ägta par $ bwars ägtenstav $ u vara af inge $ betydenhet $ och som nu hafwa at bccaia dubbel $ och bröllop $ omkostnad $	ägta par , bwars ägtenstav » u är af inge » betydenhet , och som nu hafwa at bccaia dubbla wlgnmgs- och bröllops - omkostnader . 	22	22	brllop
och redan förlida söndag och tisdag $ sprktakal $ den första $ anielie och wontrose $ och andra $ före och est bröllop $ hwilka begge $ $ $ r icke tillförene warit ha uppföra $	och redan förliden Söndag och TiSdag gifmitL.ne Sprktakal : det första , Anielie och Wontrose , och andra : Före och ester bröllopet , hwilka begge Pi&lt ; , r icke tillförene warit har Uppförde . 	22	22	brllop
bröllop i cana $ a swen en guld bröstnål med pärla och harmatra $ $ guldring $ den ena med plär och jnssiiption $ en par guld armknoppar med blä emalj $ iwa par pläter skospänne $ cn liten dosa med en liten postlinskorg uti $ cn silswer blyartspenna $ nägra rakkniswar samt annan smätta $ som ej sä noga kunna erinra $	Bröllopet i Cana , a swen en Guld Bröstnål med Pärlor och Harmatra ; 2:ne Guldringar , den ena med Plär och Jnssiiption ; ett par Guld Armknoppar med blä Emalj ; Iwa par Pläter Skospännen ; cn liten Dosa med en liten Postlinskorg uti ; cn Silswer Blyartspenna , nägra Rakkniswar samt annat smätt , som ej sä noga kan erinras . 	0	0	brllop
imedlertid ha han wigt öfwer loa pär äkta folk $ döpa mänga barn $ begrafwit lik $ uldclat nattwarden 0 $ $ $ $ och nu mäste de döpa barn döpa ä nyo $ och en nygift göra ny bröllop $ eller ätminstone ny $ $ men med bcgrasningarna lärer wäl blifwa wid den som gjordt vara $	Imedlertid har han wigt öfwer loa pär äkta folk , döpt mänga barn , begrafwit lik , uldclat Nattwarden 0 . s. w. ; och nu mäste de döpta barnen döpas ä nyo ; och de nygifta göra ny bröllops » eller ätminstone ny ivignings-kostnad ; men med bcgrasningarna lärer wäl blifwa wid det som gjordt är . 	39	39	brllop
$ skola likwll nägon yusbvnde eller matmoder hofwa rom eller bränwin i sig hnj böra nägon främmande ekler utom gärd $ därmed wanligtwis icke utan mat $ rokteros $ utan endast nyttja till busbehof pä den sätt $ att $ $ $ d ingen andra än tzögtideliga tillfalla $ däraf ta eller meddela mer ln en sup till hwärle verso wid niällider $ vch böra denna gälla l $ wc o $ $ gt $ gille och gästabud $ bröllop $ birndvp $ kyrkogång vch begrafning $ sä framt denna stärka och stadeliga dryck icke stär att alldeles attlggas $ hwilket likwll lr en stäste församling ledamot bnstan $ dock warder bära under icke begripa den händelse da nägon enskild wän eller stäktinge komma ott göra besök $ den man will med inåt och dryck $ $ dfägna $	— Skulle likwLl nägon Yusbvnde eller Matmoder hofwa Rom eller Bränwin i sitt hnj bör nägon främmande ekler utom gärds , därmed wanligtwis icke utan mat » rokteros , utan endast nyttjas till buSbehof pä det sätt , att , w&gt ; d inga andra än tzögtideliga tillfallen , däraf toges eller meddelas mer Ln en sup till hwärle verson wid niällider , vch bör detta gälla L ' wcn o » & gt ; gillen och gästabud , Bröllop , Birndvp , Kyrkogångar vch Begrafningar , sä framt denna stärka och stadeliga dryck icke stär att alldeles attLggas , hwilket likwLl Lr de stäste Församlingens Ledamöters bnstan ; Dock warder bär under icke begripet den händelse da nägon enskilt wän eller stäktinge kommer ott göra besök , den man will med inåt och dryck » » dfägna . 	79	79	brllop
nas för en rätt $ wid begrasningar $ bröllop $ barnsöl och kyrkogångsöl sär intet öfwcrflöd aga rum $ utan stall wio sädane tillfälle möjlig sparsamhet och måttlighet iaktta $	nas för en rätt 5:0 Wid Begrasningar , Bröllop , Barnsöl och Kyrkogångsöl sär intet öfwcrflöd aga rum , utan stall wio sädane tillfällen möjligaste sparsamhet och måttlighet iakttagas . 	8	8	brllop
fade $ de 2nie herre äro $ god ängel $ som komma att ledsaga ni dotter till $ cwigt bröllop i himmel $	fade : De 2Nie Herrarne äro 2.me goda Änglar , som komma att ledsaga er Dotter till «tt Cwigt Bröllop i Himmelen . 	19	19	brllop
bestrifning om swensta allmoge sinnelag $ sed wid en ärlig högtid $ frieri $ bröllop $ barndop $ begrafning $ widstepelser $ lefnadvsatt i mat och oryck $ klädcdrägt $ sjukdom och läka $ medel $	Bestrifning om Swensta Allmogens Sinnelag , Seder wid de ärliga Högtider , Frierier , Bröllop , Barndop , Begrafningar , Widstepelser , Lefnadvsatt i Mat och Oryck , Klädcdrägt , Sjukdomar och Läke , medel . 	14	14	brllop
af oldsbach eller den bepröfwade dygd $ drome 1 3 sicter $ derefter gifives för l $ sta gång $ den cvbetänksanima eller den narra äbbeen $ comedie i i slct $ fri öfiversättnlng af hr biörn $ til stur blifwer $ endast denna gäng $ skärgårdsflickans bröllop eller mor annika och styrbom $ diverristemrnl med säng $	af Oldsbach eller Den bepröfwade Dygden , Drome 1 3 Sicter ; derefter gifives för l - sta gången : Den cvbetänksanima eller Den Narrade Äbbeen , Comedie i I Slct , fri öfiversättnlNg af Hr Biörn ; til stur blifwer , endast denna gäng : Skärgårdsflickans Bröllop eller Mor Annika och Styrbom , Diverristemrnl med Säng . 	47	47	brllop
madam catharina petterston $ wida känd af flere herrffaper för snällhet uk i matlagning samt fin desärer och konfekiurer $ ärbiuder härmed sig tjenst widh ner och bröllop $ sä uti som ritoin sraden $ von vara bo pä norr storgata hen man blsmbergs gärd $ hoö zzarnmorffan margaretha petterston $	Madam Catharina Petterston , wida känd af flere Herrffaper för snällhet uk i Matlagning samt fina Desärer och Konfekiurer » ärbiuder härmed sin tjenst widH ner och Bröllop , sä uti som ritoin Sraden ; von är boende pä Norr Storgata hn man Blsmbergs Gärd , hoö ZZarnmorffan Margaretha Petterston . 	27	27	brllop
