sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
central och kantonalförfattning $ grunda pä den läge och behof $ en helig rättighet $ som förste konsul sjelf behaga försäkra han genom lunevillffa fred $	0	0	central	Central- och Kantonalförfattning , grundad pä dess läge och behof , en helig rättighet , som förste Konsuln sjelf behagat försäkra honom genom Lunevillffa freden . 	bib19225772_18021029_148004_125_0002_alto.xml-10-0
ja $ ha behaga utnämna $ marquis $ riddare af $ $ $ att wara hanö majestät amhassadeur extraordinaire lo plenipotentiaire hock hans catholffa majestät ferdinand vii $ och ha i $ befalla han att i denna egenskap residera ä central eller hög junta i spanien säte $ $ $ $ $ denna utnämning ha wäckt mycken glädje $ emedan man tro $ att marquisen $ gär till spanien blilt såsom amdassadeur $ utan i synnerhet för art med sig klokhet och rådighet ga junta titt banda och gifwa mera drift at desi bestur $	40	0	central	jander „Konungen har behagat utnämn » Marquis Wellesley- Riddare af St. Patricks-Orden , att wara Hanö Majestäts Amhassadeur Extraordinaire Lo Plenipotentiaire hock Hans Catholffa Majestät Ferdinand VII , och har i nåder befallt honom att i denna egenskap residera ä Central eller Högsta Juntans i Spanien säte " . , . , Denna utnämning har wäckt mycken glädje , emedan man tror , att Marquisen i^e gär till Spanien blilt såsom Amdassadeur , utan i synnerhet för art med sin klokhet och rådighet ga Juntan titt banda och gifwa mera drift at desi bestur . 	bib11653825_18090516_145134_55_0001_alto.xml-0-40
och venezuela skola utgöra central $ narionen $ ländeme wid platafloden $ chili och paraguay den södra $ samt ny spanien $ mexico $ guatimala och näs den norra republilen $	4	0	central	och Venezuela skola utgöra Central - Narionen , Ländeme wid Platafloden , Chili och Paraguay den södra , samt Nya Spanien , Mexico , Guatimala och Näset den norra Republilen . 	bib11653806_18191027_145120_122_0001_alto.xml-3-4
konstituera sig $ wäljer hmar och en sig en $ puterade $ som $ förscdde med behörig fullmak $ te $ samla till en landtdag $ och organise $ ra en central regering $ z $ äta $ $ gering uppdra ledande af utländ och handelsärende $ samt allmanna militär $ inrättning $	31	0	central	konstituerat sig , wäljer hmar och en sina de » puterade » som , förscdde med behöriga fullmak » ter , samlas till en Landtdag , och organise » ra en Central Regering , z ) Ät Central^Re » geringen uppdrages ledandet af utländsta och handelsärendena » samt allmanna militär » inrättningen . 	bib11653825_18021014_145134_123_0002_alto.xml-5-31
$ $ akt förening af en tre arwserne af arragonien $ central $ och södern ha wigtigs rudel fe r i följe $	11	0	central	^r , akt föreningen af de tre Arwserne af Arragonien , Central » och Södern har wigtigs rudel fe r i följe . 	bib15650837_18121125_146391_94_0001_alto.xml-3-11
da princip kosta i rdr $ men dä denna plats $ i anseende till si $ föga upphöja $ central $ $ nära belägenhet $ tyckes wara för äikädore ännu fördelaktig wiv tal $ wld $ $ ech i flera hänseende öfwerträffar 6tta amfitheötern uti te afbränna hus $ som dock betala med i rdr 12 $ $	19	0	central	da principen kosta i Rdr ; men dä denna plats , i anseende till si » föga upphöjda , centrala ost&gt ; nära belägenhet , tyckeS wara för äikädore ännu fördelaktigare wiv Tals » wld Sang-Reprefeiitationer , ech i flera hänseenden öfwerträffar 6tta Amfitheötern uti tet afbrända huset , som dock betalas med i Rdr 12 § . 	bib13506739_18251202_144030_280_0001_alto.xml-10-19
hofwa afbrukit sig lager ivis rocroy och med en tropp lorn flobo wid lille ta en central ställning wid laon $	16	0	central	hofwa afbrukit sitt lager ivis Rocroy och med de troppar lorn flobo wid Lille tagit en central ställning wid Laon . 	bib19225772_18150628_148004_72_0001_alto.xml-0-16
$ snar gosten igenonigstt nedra $ $ erole primiire $ $ c5 äterlemn $ s han vara sig anhörig $ och central scholarne $ $ oni man undanta rilkvnstc $ $ $ lemna icke $ ägcn tillflvgr $ ör den $ som ärr $ ar sig till utöfning af en mechanista handtwerken $ säga att allmän underwisningen $ säsom den nu vara ställa $ icke vara gagnelig $ utan för en gan $ skola obetydlig del af folkmängd $	21	0	central	S^ snart gosten igenonigStt nedra SchoK-n ( erole primiire ) , C5 äterlemn - s han är sina anhöriga , och centrale Scholarne , ( oni man undantager rilkvnstc » ) , lemna icke » ägcn tillflvgr / ör den , som ärr , ar sig till utöfning af de mechanista Handtwerken ; sa att allmänna underwiSningen , säsom den nu är ställd , icke är gagnelig , utan för en gan » ska obetydlig del af folkmängden . 	bib11653828_18080615_144028_136_0002_alto.xml-4-21
twist stukares genom central $ junta mellankomst $ hwilken farte välja och quintanilla i frihet $ och sedermera icke nyttja cuesta $	3	0	central	twist stukares genom Central - Juntans mellankomst , hwilken farte Valdes och Quintanilla i frihet , och sedermera icke nyttjat Cuesta . 	bib11653825_18081231_145134_155_0002_alto.xml-7-3
en af $ i $ till amcrikanffa kongress ingifwcn skrift $ hwaruli densamma mod en gan decisif ton göra föreställning mot äkstittiga sågne författning $ till exempel $ mot ben i lovisialias $ förordna delning af provins uti twenne territorium $ norr och söder om $ $ $ e $ e latitud grad $ mot guvernör och en öfrig embetsman provisorista tillsättande af central $ regering $ rikan afseende pä folk mala $ mot uraktlätander af ben klausul i aftrades $ akt $ simma bestämma att lovisiana stall införlifmas med en $ stat säsom en sjelsstandig provins $ mot förbud af neger införande m $ m $	63	0	central	en af Provincial-Församlingen i New-Orleans till Amcrikanffa Kongressen ingifwcn skrift , hwaruli densamma mod en gansta decisif ton gör föreställningar mot äkstittiga sågne författningar , till exempel : mot ben i Lovisialias organisations«akt förordnade delning af provinsen uti twenne territorier , norr och söder om ^z:d , ' e ' e latituds graden ; mot Guvernörens och de öfriga Embetsmäns provisorista tillsättande af Central » Regeringen , rikan afseende pä folkets mal ; mot uraktlätander af ben klausul i aftrades - akten , sam bestämmer att Lovisiana stall införlifmas med de Förenta Staterna säsom en sjelsstandig provins ; mot förbudet af Negrers införande m . m . 	bib11653825_18041206_145134_146_0002_alto.xml-1-63
jag att titan drössmol stifta i furstendöme en central provisorisk administration $ för hwilken geheimcradet greswe pahlen vara utnämna ti $ chef $	8	0	central	mig att titan drösSmol stifta i Furstendömena en central provisorisk administration , för hwilken geheimcradet Greswe Pahlen är utnämnd ti !l Chef . 	bib13506739_18280510_144030_109_0002_alto.xml-17-8
