sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
finna till salu cn häst $ black til färg $	8	0	frg	finnes till salu cn Häst , black til färgen , 	bib13506739_18110501_144030_100_0005_alto.xml-4-8
flicka $ sig ut cirkel $ frälsa med eu smula mera färg och hälsa $	11	0	frg	Flickan k«nde sig ut cirkel » frälsa Med eu smula mera färg och hälsa , 	bib11653792_18211229_146919_52_0001_alto.xml-2-11
diverse $ underteckna $ boende uti hr gckleikingers hus $ wid horn af wallgatan och kaserntorget $ i undra $ ha ära rekommendera sig med förfärdigande af wackra $ modern och wat $ tentäta mans silke $ $ och försäkra oin siarkt arbrte samt möjlig billig pris $ pä samma ställe motta kläder och tyg af alle $ bomull $ linne $ siden $ m $ m $ till renovering fran all flaga fett och fmutcs $ äfwen $ tjära och olja fläck $ utan att stava dest färg $	88	0	frg	Diverse : Undertecknad , boende uti Hr GckleiKingers hus , wid hornet af Wallgatan och Kaserntorget , i undra waninger^ har äran rekommendera sig med förfärdigande af wackra , moderna och wat » tentäta Mans Silkes felb-hattar : och försäkras oin siarkt arbrte samt möjligast billigaste priser ; pä samma ställe mottagas Kläder och Tyger af Alle , Bomull , Linne , Siden , m . m . till renovering fran all flags fett och fmutcs , äfwen Färnisi- Tjär- och Olj fläckar , utan att stava dest färger . 	bib19225792_18290103_147359_1_0008_alto.xml-4-88
en $ äta en stor fruntimmer $ mörkqrön till färg $ men ej för mycket d $ r $	9	0	frg	En KlädU-Kappott ät ett större Fruntimmer , mörkqrön till färgen , men ej för mycket d » r . 	bib13506739_18160923_144030_221_0007_alto.xml-2-9
warljus $ grona $ gul och röd $ enkom stöpa $ för att sätta i julgran sör barn $ samt andra sort warstarlar af siere färg och tiocklek $ äfwensom god form och stöpa talgljus finna till facil pris $ uti sista hus $ till wänstcr u kongsgatan nära manégen hos c $ vhörckman $	25	0	frg	WarljuS , grona , gula och röda , enkom stöpta , för att sättas i Julgranarna sör Barn , samt andra sorter Warstarlar af siere färger och tiocklek , äfwensom goda form- och stöpta Talgljus finnas till facila priser , uti sista huset , till wänstcr u Kongsgatan närmast Manégen hos C .. Vhörckman .. 	bib19225772_18301217_148004_145_0006_alto.xml-4-25
färg $ saint en mörkblä kapprock meö krage $ all paja för en nägot forpulent person $	0	0	frg	färg , saint en mörkblä Kapprock meö Kragar , allt pajande för en nägot forpulent Person . 	bib13506739_18230129_144030_23_0003_alto.xml-8-0
elt mycket wackert och wäl lägga $ $ till färg aoelkastadt $ inridit $ $ bwilkct äfwen gzr för släde och hjuldon $ af omkring 10 qwarters höjd $ mycket listig $ följa af all dctz god cgenffa $ por $ kunna som $ nyttja $ vara för billig köpeskilling till wlu $	9	0	frg	Elt mycket wackert och wäl lagt Sto-Kreatur , till färgen Aoelkastadt , inridit , o.d bwilkct äfwen gZr för Släd- och hjuldon , af omkring 10 qwarterS höjd , mycket listig och^i följd af alla dctz goda cgenffa » por , kan som Parad-Häst nyttjas , är för billig Köpeskilling till wlu . 	bib13506739_18190322_144030_67_0005_alto.xml-11-9
en flark och felfri arbetshäst $ omkring 9 och en balft qwarter hig $ gärna brun till färg $ tl öfwer 10 vara gammal $ ästnndas köpa $	17	0	frg	En flark och felfri Arbetshäst , omkring 9 och ett balft qwarter hig , helst brun till färgen , tl öfwer 10 är gammal , ästnndas köpa . 	bib13506739_18260913_144030_201_0004_alto.xml-10-17
den $ $ ha all till billig pris nu genast a fläta en gammal kackelugn $ glacera $ $ samt ljus titt färg $ eller ock grön $ fara underrättelse om köpare pä boktryckeri $	22	0	frg	Den , som- har all till billigt pris nu genast a fläta en gammal kackelugn , glacera » , samt ljus titt färgen , eller ock grön , far underrättelse om köparen pä Boktryckeriet . 	bib15650837_18271027_146391_86_0003_alto.xml-7-22
e $ cwanligt walker $ tamd markatta $ grzgrön till färg $ och för 2 och en hallt vara sedan bilkommen frän $ $ fäljes i anseende till flyttning och brista rum $	10	0	frg	E » cwanligt walker , tamd Markatta , grZgrön till färgen , och för 2 och ett hallt är sedan bilkommen frän Syd-Amerika , fäljeS i anseende till flyttning och bristande rum . 	bib13506739_18271201_144030_282_0004_alto.xml-5-10
en brnn hingst $ 5 vara gammal och 10 qivarter hög $ af god ras $ sälja i an $ seende ti $ färg $	23	0	frg	En brnn Hingst , 5 är gammal och 10 qivarter hög , af god ras , säljeS i an » seende ti !l färgen . 	bib13506739_18270509_144030_107_0004_alto.xml-7-23
