sentence_lemma	sentence_token	target_index	original_word
$ att bland öst se allmän rlppniärksatnheten genom kritik $ nära fästad iviö likkommande skrift $ ha $ med förtrytelse trollkraft $ kill granskare förwandlat en nia $ sein $ bedöma efter hwad harr ritgiftvit i bihangcl till lund tidning $ 27 $ af natur alldrig war ämna till yrke af denna beskaffenhet $	§^wanau att bland öst se allmänna rlppniärksatnheten genom kritik » närmare fästad iviö likkommande skrifter , har , med förtrytelsens trollkraft / kill granskare förwandlat en nian , sein , bedömd efter hwad harr ritgiftvit i bihangcl till Lunds tidning N-o 27 , af naturen alldrig war ämnad till yrken af denna beskaffenhet . 	23	granskare
$ $ allmcnna jurnal $ stockholm $ $ ny extra post $ granskare $ $ $ ing $ anmärkare och argus $ för någre wid och nära stortorg boende $ iemnas underrättelse i biörnstähls bokhandel $	kes^Tidning , Allmcnna Jurnalen , Stockholms .veutter , Nya Extra Posten , Granskaren , Handels-Tid , ing , Anmärkaren och Argus , för någre wid och nära Stortorget boende , iemnaS underrättelse i Biörnstähls Bokhandel . 	12	granskare
om $ wid en sä wigtig tidpunkt $ wid en sä hög föremal $ göta kanaldirektion $ mer än nägonsin $ känna en witz farhäga $ sä vara hon dock lugna af förtröstan ä sig upplyst granskare rätt och mildhet $	Om , wid en sä wigtig tidpunkt , wid ett sä högt föremal , Göta KanalDirektion , mer än nägonsin , känner en witz farhäga , sä är hon dock lugnad af förtröstan ä sin upplyste granskares rättwisa och mildhet . 	36	granskare
$ denna princip ha äfwen till all del af anims $ blifwit följd $ och önska han hjerteligen $ att all $ som skrifwit uti finanslära före och under denna riksdag $ mäta behjerta denna hr granskare wisa sats $	— Denna princip har äfwen till alla delar af anims förf. blifwit följd — och önskar han hjerteligen , att alla , som skrifwit uti finansläran före och under denna Riksdag , mätte behjerta denne Hr Granskarens wisa sats . 	36	granskare
advocaturens utväg $ att dra granskare uppmärksamhet ifrån sak $ in uppå person $	Advocaturens utväg , att draga granskarens uppmärksamhet ifrån Saken , in uppå Personen . 	5	granskare
i $ 34 af tidning granskare finnaö krenne artikel $ rirand $ litteratur och ffön konst $ de granstaren införa nr den i strengnäs $ en lidniligen samlare $ för att rekommendera densamma $ fnfom den der inne $ hö $ inttesianta och wäl ivalda underrättelse $ äswen för stockholm $ hirilka stel mara för sielkwa hnfwudstadens tidningernblik okänd $	I N:o 34 af tidningen Granskaren finnaö krenne artiklar , rirand » Litteratur och ffön konst , dem Granstaren infört nr den i Strengnäs ulkoniman^ de lidniligen Samlaren , för att rekommendera densamma , fnfom den der inne , hö !l inttesianta och wäl ivalda underrättelser , äswen för Stockholm , hirilka stela mara för sielkwa hnfwudstadens tidningernblik okända . 	5	granskare
grundsanning för granskare $ at ta hwar sak för hwad den ar $	grundsanning för Granskare , At taga hwar sak för hwad den ar . 	2	granskare
schema ci ivar framstalldt till efterföljd $ utan blott i afsigt att wisa $ den en pä utffottcts $ $ ny psalm ej kunna sjunga pä gammal psalm melodie $ wisar mening sammanhang $ och inse genast af hwarjc granskare $ svin ej beherrstas af en pätrangande begär att smäda $	Schema ci ivar framstalldt till efterföljd , utan blott i afsigt att wisa , det en pä Utffottcts PsalM-Förstag upptagen ny Psalm ej kunde sjungas pä Gamla Psalmens Melodie , wisar meningens sammanhang , och inses genast af hwarjc granskare , svin ej beherrstas af ett pätrangande begär att smäda . 	39	granskare
hwar och man simma bebagar genomläsa recension af ferdinand cortez uti $ 143 $ 147 och 151 af denna blad $ ftall smärligen deri upptäcka en enda oro eller en enda mening $ seni kunna anse stötande $ hwarföre ocksä författare uti granskare $ 52 högligen förtrhter den moderat och paölonfria s $ $ deri $ hwilket dag anse $ förtjena den flarpaste tillrättawisning $ $	Hwar och en sam bebagar genomläsa recensionen af Ferdinand Cortez uti Neri- 143 , 147 och 151 af detta blad , ftall smärligen deri upptäcka ett enda oro eller en enda mening , seni kan anses stötande , hwarföre ocksä författaren uti Granskaren N-o 52 högligen förtrhter det moderata och paölonfria s » amsiä:lnin.qssätt«t deri , hwilket dan anser " förtjena den flarpaste tillrättawiSning . " 	42	granskare
för att foga jag efter en fleste prenumerant önstan $ ha jag bordt förändra jag plan med den owäldige granskare utgifwande $ och komma den hädanefter att utgä en gäng i weckan $	För att foga mig efter de fleste Prenumeranters önstan , har jag bordt förändra min plan med den Owäldige Granskarens utgifwande , och kommer den hädanefter att utgä en gäng i weckan . 	19	granskare
