sentence_lemma	sentence_token	target_index	original_word
denna anstryka träck i till 2 sänger $ för att gifwa den ej allenast behörig grundfärg $ $ som till uiseendel likna rast $ ulan äfwen brwara densamma emot röta $ hwarefter uti den öfwerblifne soppa ljutocker och krita $ eller heldre kalk $ tillblanda $ till dest astundad höjd af gul färg winne $ $ hwar $ med trä för sista gäng bestryka $	detta anstrykes träck i till 2 sänger , för att gifwa det ej allenast behörig grundfärg , ( som till uiseendel liknar rast ) ulan äfwen brwara detsamma emot röta , hwarefter uti den öfwerblifne Soppan Ljutocker och Krita , eller heldre Kalk , tillblandas , till dest Astundad höjd af gul färg winne ? , hwar » med träet för sista gängen bestrykes . 	38	krita
mal krita i stor och windre fastager $ stines till salu uti sus $ t6 wid kornhamnstorg $	Malen Krita i större och windre Fastager , stines till salu uti Suset N:o t6 wid Kornhamnstorget . 	1	krita
mycket god swart krita att rita med $ finna till salu för nedsatt pris uti bolbindaren olof en $ ans hus wid stads smedjegatan $ 165 $ 1c6 $	Mycket god swart Krita att rita med , finnes till salu för nedsatt pris uti Bolbindaren Olof En » ans Hus wid Stads Smedjegatan N:v 165 & 1C6 . 	3	krita
mal krita och linolja $ samt dubbel batavia arrack $ finna till fal i parti uti hufct $	malen Krita och linolja , samt dubbel Batavia Arrack , finnas till fala i parti uti Hufct N:o 	1	krita
sill t indela $ stärkelse $ krita $ norrjk sill $ makulatur och för $	Sill t indelar , Stärkelse , Krita , Norrjk Sill , Makulatur och För » 	6	krita
finmalen krita $ till billig pris $ i kryddbod wid stortorg $	finmalen Krita , till billiga priser , i Kryddboden wid Stortorget . 	1	krita
krita och tunnband $ $ bereda $ och bock $ $ skjälspäck och tran $ islandsull samt bastmatta $ pä kontor i hus $ 4 i bredgrsiiden wid skeppsbro $ $ till wcknfler i portgängen $ $ m $ $	Krita och Tunnband , » beredda Fär- och Bockstin » , Skjälspäck och Tran , IslandsUll samt Bastmattor , pä Kontoret i Huset N:o 4 i BredgrSiiden wid Skeppsbro » , till wcknfler i portgängen , s. m . . 	0	krita
frän england $ i $ lindberg $ med krita $	Frän England , I . Lindberg , med Krita . 	8	krita
pä fin krita vara nu tillgäng pä kontor i $ $ iö wid kornbamnstorget $	Pä fin Krita är nu tillgäng pä Kontoret I H.iset N:o iö wid KornbamnStorget . 	2	krita
stafwa någon likhet med husfluga $ hwilken man karr dränka i et wattenglas ända til dest hon sjunka ned pä botten och blifwit utswäld $ men bli ater lefwande i aflmörja eller fin rifwen krita $	stafwa någon likhet med Husflugans , hwilken man karr dränka i et wattenglas ända til dest hon sjunkit ned pä botten och blifwit utswäld , men blir ater lefwande i aflmörja eller fin rifwen krita . 	34	krita
gin mat krita fem likna btn holländsta i ffnhet och hwichrt $ tå $	gin maten Krita fem liknar Btn Holländsta i ffnHet och hwichrt , tå ! 	2	krita
mant i räd förordna $ $ att wägpcnningar i stockholiiis packhus stola erlägga endast för utrikes wigtgods $ stom derstädes ivid första angifning afwages $ tilen icke för waror $ forn efter annan beräkningsgrund än wigt $ förtnllas $ $ att wägpcnningar stola illgöras för krita en skcspund nied 2 $ 6 $ $ för har och kaninhär en lispund nied 15 $ 6 $ och för kamelhår med 3 $ $ $ alt som tull ä waror i nu gälla taxa vara bcräknadt uti swcnstt banko $ $ och stämpclpcnningarne i en fall dä en icke äro bestämma efter wigt eller stycketal $ lunn efter procent af wärdet $ stola utgä nied en procent af tull enligt taxa $ i ställ för 2 och $ procent af nomincla wärdet uti 1316 ära taxa $ som förut äga rum $ i följd af ordning för wägoch stälupelpenningars uppbära af den 22 januari 1817 $	Mant i Räder förordnat : l:o Att Wägpcnningar i Stockholiiis Packhus stola erläggas endast för utrikes wigtgods , stom derstädes ivid första angifningen afwages , tilen icke för waror , forn efter annan beräkningsgrund än wigt , förtnllaS ; 2:o Att Wägpcnningar stola illgöras för Krita ett Skcspund nied 2 st. 6 rst. , för Har- och Kaninhär ett Lispund nied 15 st. 6 rst. och för Kamelhår med 3 sk. ; 3:o Alt som tullwärdet ä waror i nu gällande Taxa är bcräknadt uti Swcnstt Banko , Wäg- och Stämpclpcnningarne i de fall dä de icke äro bestämde efter wigt eller stycketal , lunn efter procent af wärdet , stola utgä nied en procent af Tullwärdet enligt Taxan , i stället för 2 och 1-4:dcdels procent af nomincla wärdet uti 1316 ärs Taxa , som förut ägt rum , i följd af Ordningarne för Wägoch Stälupelpenningars uppbärande af den 22 Januari 1817 . 	45	krita
