sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
$ $ t stor eller $ liten rum utan möbel ästnndas ull nästa sittning wid ragwaldsdackc eller liten badstugugatan början $	13	0	sittning	^ ' t större eller 2:ne mindre Rum utan möbler ästnndas Ull nästa sittning wid RagwaldSdackc eller lilla BadstugugatanS början . 	bib19277277_18260921_147682_219_0003_alto.xml-23-13
en ung $ med en mycket hedra betvg förse beilcnt $ $ t $ $ i hos nigo herre eller herrskap $ ml genast eller till uijitinbande sittning $	27	0	sittning	En ung , med de mest hedrande betvg försedd Beilcnt , ^stundar t !eu&lt ; i hos nigon Herre eller Herrskap , ml genast eller till uijitinbande sittning . 	bib19277277_18300825_147682_195_0004_alto.xml-4-27
en wacker kammare med egen ingiing vara st hyra instunda sittning $	10	0	sittning	En wacker Kammare med egen ingiing är st hyra instundande sittning . 	bib13506739_17980718_144030_162_0007_alto.xml-2-10
en husoräng ined $ beta $ kunna fä god tjenst till instunda sittning $	12	0	sittning	En Husoräng ined w.ickra betog , kan fä god tjenst till Instundande sittning . 	bib19277277_18280215_147682_39_0004_alto.xml-19-12
ofötinoöabt dag en kunnig och wsn gårdsfogde blifmit sedig $ och mer till nästa sittning dylik tjenuz dag ar kunnig ined den i södermanland och upland bcuklige mttboö i $ och räkcnstasers iförande $	14	0	sittning	Ofötinoöabt dar en kunnig och wsn Gårdsfogde blifmit sedig , och Mer till nästa sittning dylik tjenuz dan ar kunnig ined den i Södermanland och Upland bcuklige mttboö i Sandtbi-ufSiTötsel och RäkcnstaSers iförande . 	bib13506739_18100806_144030_181_0010_alto.xml-0-14
till instunda sittning sr att hyra hos bryggare rosenblad $ uti hus $ 5 $ qw $ bryggare wid göthgatan $ en pzäning om 8 rum och kök $ i den mäst elegant och modern smak $ förena med all en komodileter som möiliaen af en stor hushall san önska $	2	0	sittning	Till instundande sittning Sr att hyra hos Bryggaren Rosenblad , uti Huset N:o 5 , Qw , Bryggaren wid Göthgatan : En PZäning om 8 Rum och Kök , i den mäst eleganta och moderna smak , förenade med alla de komodileter som möiliaen af ett större Hushall san önskas . 	bib13506739_18200115_144030_11_0007_alto.xml-5-2
nu $ elle $ till den i instunda $ $ vara en sittning $ $ af i $	12	0	sittning	Nu «envst elle » till den i instundande Ap-il , är en Sittning , bestäend- af i ? 	bib13506739_18150313_144030_60_0007_alto.xml-2-12
en snygg och ellnrarsam piga $ ian sä tienst säftm ensam tili en as z $ ne person beffäende hederlig berrstapsbu $ $ till instunda sittning $	25	0	sittning	En snygg och ellnrarsam Piga , Ian sä tienst säftm ensam tili ett as Z , ne personer beffäende hederligt berrstapsbu » , till instundande sittning . 	bib19277277_18260206_147682_30_0004_alto.xml-4-25
han falla redan wid första sittning i en $ $	5	0	sittning	Han föll redan wid första sittningen i en half-sömn . 	bib15650837_18280528_146391_43_0002_alto.xml-30-5
en alswarsamt fruntimmer lrän norrland $ få vara wan wid stad och landthushällningönstar nn till sittning sä hushälla för nägon hederlig gammal herre $	15	0	sittning	Ett alswarsamt Fruntimmer lrän Norrland , fom är wan wid Stads- och LandthuShällningönstar nn till sittningen sä hushälla för nägon hederlig äldre Herre . 	bib19277277_18270118_147682_14_0004_alto.xml-15-15
till instunda sittning blikwer för en hederlig $ bra $ stilla och snygg herre $ uti stor wattugrän $ $ och hus $ zz $ maning en trampa upp att hyra $ bestå as 4 i 5 glad och warma rum $ $ $ kök och nödig uthus $	2	0	sittning	Till instundande Sittning blikwer för en hederlig , bättre , stilla och snygg Herre , uti stora Wattugrän , ♦ett och Huset N^o zz , Maningen en trampa upp att hyra , bestående as 4 i 5 glada och warma Rum * ici&gt ; Kök och nödige Uthus . 	bib13506739_18090706_144030_153_0006_alto.xml-6-2
till instunda sittning blilwer uti hus $ lzs wid liten nygatan $ en trupsa upp $ ca wäning $	2	1	sittning	Till instundande sittning blilwer uti Huset N:o lzS wid lilla Nygatan , en trupsa upp , ca Wäning . 	bib13506739_18090306_144030_54_0007_alto.xml-11-2
med och utan sittning $ de som ästuuda spannemälens ashäniining $ behaga anmäla	3	1	sittning	med och utan sittning , De som ästuuda spannemälens ashäniining , behaga anmäla 	bib19225772_18150315_148004_31_0008_alto.xml-3-3
sittning $ som hertigdöme warschau ni $ hällit $ sse irga förändring $ innan konun $ gen af sachsen $ $ mer tillbaka frän frank $ rike $ som lär så l början af nästa mana $	0	1	sittning	sittningarne , som Hertigdömet Warschau er » hällit , sse irga förändringar , innan Konun » gen af Sachsen ko« ; mer tillbaka frän Frank » rike , som lär ste l början af nästa manad . 	bib11653825_18091205_145134_142_0002_alto.xml-13-0
