sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
j i $ säga herr danton $ at folk stjäla hälla sig stilla och lyda lag $ at den wäldsamma rörelse $ simma ar fölgden af en häftig stöt $ stjäla lagga sig $ sä mäste all myndighet $ genom ny wal $ updragas äta $ man $ solli nu $ dä trohetsed för konung uphört $ hafwa folk förtroende $ $	28	0	stt	jen I , sade Herr Danton , at Folket stal hälla sig stilla och lyda Lagarne : at den wäldsamma rörelse , sam ar fölgden af en häftig stöt , stal lagga sig ; sä mäste alla Myndigheter , genom nya wal , updragas ät säd.anc Man , solli nu , dä Trohetseden för Konungen uphört , hafwa Folkets förtroende " . 	bib11653828_17921010_144028_235_0002_alto.xml-6-28
samma stöt känndes äfwen i tivoli $ frascati och pä andra stall kring	1	0	stt	Samma stöt känndes äfwen i Tivoli , Frascati och pä andra stallen kring 	bib11653828_18110701_144028_149_0003_alto.xml-11-1
$ län känna en sä stark jordbäfning $ att till och med tegelpanna pa tak höra bullra der $ af $ ha i pggestorvs socken af denna län $ en gammal bcrudlig jord $ stöt $	34	0	stt	^Elfsborgs Län känt en sä stark jordbäfning , att till och med tegelpannorna pa taken hörts bullra der , af , har i Pggestorvs Socken af detta Län ^örmärkrs en gamla bcrudlig jord , stöt . 	bib13506739_18281105_144030_259_0001_alto.xml-5-34
sörmedelst en medhafva och qwarlemnad ny stege $ ifrän takel genom storsten inpraktisera lia bo enkefru ljungström i silltorp $ samt i yttre rum upländl ljus och sedermera med knifwar eller bolkar gansta illa handtera hon dä uti inre rum upwaknade ock sta i motwärn satt dotter $ enkefru dalman $ hwilken $ oaktadt stna swära blesiyree ock nidingswcrkarnes öfwermagt $ arbeta sig till utflygt genomett föilsster $ samt genom riva nswande nödrop kalla nära granne till hjelp $ men innan dcsie hinna ankomma $ l $ ade wäldswerkarne $ för hwilka emellertid ljus utfläcktes och sedan de k mörker giswit ben äldrrga fru ljungström swära stag eller stöt $ ta flygt $	108	0	stt	sörmedelst en medhafd och qwarlemnad ny stege , ifrän takel genom storsten inpraktiserat lia bos Enkefru Ljungström i Silltorp , samt i yttre rummet upländl ljus och sedermera med knifwar eller bolkar gansta illa handterat hennes dä uti inre rummet upwaknade ock sta i motwärn satta Dotter , Enkefru Dalman , hwilken , oaktadt stna swära blesiyree ock nidingswcrkarnes öfwermagt , arbetade sig till utflygt genomett föilsster , samt genom riv nswande nödrop kallade närmaste grannar till hjelp , men innan dcsie hunna ankomma , l ) ade wäldswerkarne , för hwilka emellertid ljuset utfläcktes och sedan de k mörkret giswit ben äldrrga Fru Ljungström swära stag eller stötar , tagit flygten . 	bib15650837_18260923_146391_76_0002_alto.xml-0-108
än genom morgängar $ och sig kunffap annorlunda $ än genom willfarelfcr $ dest förständ fär lika sä mänga stöt $ som desi kropp $	19	0	stt	än genom morgängar , och sin kunffap annorlunda , än genom willfarelfcr ; dest förständ fär lika sä mänga stötar , som desi kropp . 	bib11653828_18200918_144028_216_0001_alto.xml-4-19
ha också all tecken dertill $ hus darra $ fönsterruta sövdersprungo $ och sjelfwa djur förråda den fasa $ de alltid yttra wid jordbäfning $ i flott och landtgärdar $ inne i land ske betydlig stada pä fönster och möbel 0 $ $ $ i ulverstone känna stöt förfärlig $ sand flyga upp i luft i tjock sturax $ och folk och häst kullkasta $	47	0	stt	hade också alla tecken dertill ; husen darrade , fönsterrutor sövdersprungo , och sjelfwa djuren förrådde den fasa , de alltid yttra wid jordbäfningar ; i flott och landtgärdar , inne i landet skedde betydlig stada pä fönster och möbler 0 . s. w. I Ulverstone kändes stöten förfärligt : sanden flög upp i luften i tjocka sturax , och folk och hästar kullkastades . 	bib19227291_18270425_145289_17_0001_alto.xml-3-47
utwärtes bruk $ för ätskillina skada och åkomma $ säsom sentvrickningar $ stöt $ wärk i arm $ iär $ $ och ledcr $ samt reumatism m $ m $ $ i nöd stund högst nyttig och wälgörande $ och igenom hwars bruk mänga person $ som af dylik pläaor warit till deu grad beswä $ $ att en del i flera vara mast nyttja krycka m $ m $ $ blikwit hukpna $ dä andra medel icke kunna hjelpa $ b wilke t allt vara en wäl känd sanning $ och $ $ nr kgl $	12	0	stt	utwärtes bruk , för ätskillina skador och åkommor , säsom sentvrickningar , stötar , wärk i armar , Iär , ^bcn och ledcr , samt reumatism m . m . , i nödens stund högst nyttig och wälgörande , och igenom hwars bruk mänga personer , som af dylika pläaor warit till deu grad beswä !ade , att en del i flera är mast nyttja kryckor m . m . , blikwit hukpna , dä andra medel icke kunnat hjelpa , b wilke t allt är en wäl känd sanning » och l&gt ; nr Kgl . 	bib11653823_18291219_0_295_0004_alto.xml-7-12
få en stöt på ena sida af $ $ msigtet $ men sorn likväl icke bi farlig $	2	0	stt	fick en stöt på ena sidan af « * msigtet , men sorn likväl icke biet farlig . 	bib11653828_18300301_144028_49_0003_alto.xml-23-2
$ han mcd höger hand cn stöt mot den swindlande djup $ bryta den lös frän sig grund $ och störta den utan $ $ $ blott ined en fiacj $ $ men et $ flyga som dänar i rymd af eter $ etrandrn rcmnar c $ f ssrack $ och flodin stanna i lopp $	6	0	stt	©tr han mcd högra handen cn stöt mot det swindlande djupet , Bryter den lös frän sin grund , och störtar den utan ' ördr.jning , Blott ined ett fiacj , _ men et : flög som dänar i rymden af etern .. Etrandrn rcmnar c , f ssrack , och flodin stannar i loppet . 	bib11653828_18040505_144028_103_0002_alto.xml-0-6
mellan jord och lust clectricitet $ eller at dominica genom sig mänga volcatter beftias frän den clectrista flnidum $ som $ i fall den icke få utdunsta ffulle här förorsak $ $ stöt $ som pä andra ställeir $	32	0	stt	mellan jordens och lustens clectricitet , eller at Dominica genom sina mänga volcatter beftias frän det clectrista flnidum , som , i fall det icke finge utdunsta ffulle här förorsak » .lika stötar , som pä andra ställeir . 	bib11653828_17970901_144028_199_0001_alto.xml-4-32
$ i anledning deraf att fransos mäst bfwergiswa den wigtiga ö $ domingo och lemna densamma i negerstafwarncs mäld $ göra följa anmärkning i en af wara tidningspapper $ $ ehuru hwar englandare kunna fägna sig öfwer denna härda stöt för frnikrikes handel finna likwäl ingen klok cch förutse man som ej mäste frukta för följderne af asrikanerncs walde pä en $ af en stor ö i lipa weridén $	39	0	stt	— I anledning deraf att Fransoserne mäst bfwergiswa den wigtiga ön S. Domingo och lemna densamma i Negerstafwarncs mäld , göres följande anmärkning i ett af wara Tidningspapper : " Ehuru hwar Englandare kan fägna sig öfwer denna härda stöt för FRnikrikes handels finnes likwäl ingen klok cch förutseende Man som ej mäste frukta för följderne af Asrikanerncs walde pä en - af de största öar i lipa weridén . 	bib11653828_18040224_144028_46_0002_alto.xml-1-39
känna stöt på halfva väg emellan fast land och juan fernandes $ ungefär 4oo mil $ $	1	0	stt	kände stöten på halfva vägen emellan fasta landet och Juan Fernandes ( ungefär 4oo mil . ) 	bib11653828_18300327_144028_71_0004_alto.xml-12-1
ek sällan inträffa twä a tre inom en mänad $ och om sommar 1811 känna man i trettio a fyrotlo dooar efter hatare ndra manligen flera stöt om bog $	26	0	stt	Ek sällan inträffa twä a tre inom en mänad , och om sommaren 1811 kände man i trettio a fyrotlo dooar efter hatare ndra manligen flera stötar om bogen . 	bib11653828_18171024_144028_247_0003_alto.xml-8-26
