sentence_lemma	sentence_token	target_index	original_word
de blifwa ej sä hastig färdig med sig studie $	De blifwa ej sä hastigt färdige med sina Studier , 	8	studie
skola ha likwäl delta företag lyckas $ utan bäve lärare och lärjunge betunga $ och utan att tid bliswit bortta för angelägen studie $	Skola har likwäl delta företag lyckats , utan bäve lärares och lärjungars betungande , och utan att tiden bliswit borttagen för angelägnare studier . 	22	studie
en sädan hjelp för sig barn hastig franisteg i studie $ täcka till öfwerenskommelse upp fi $ adretz uti försegl $	en sädan hjelp för sina barns hastigare franisteg i studier , täcktes till öfwerenSkommelse uppgifwa fi » adretz uti försegl . 	9	studie
för att ifrån begynnelse bilda till en $ visit yrke och intet annan $ antingen han ha fallenhet eller ej $ och srvärligcn kunna han sedermera $ $ n de genom studie wackra anlag flulle sä fordra $ andra sig bana $ emedan man blott göra han skicklig att beträda en enda $	för att ifrån begynnelsen bildas till ett » visit yrke och intet annat , antingen han har fallenhet eller ej ; och srvärligcn kan han sedermera o&gt ; n de genom Studierna wackra anlagen flulle sä fordra , andra sin bana , emedan man blott gjort honom skicklig att beträda en enda . 	31	studie
wid fransta invasion war han all för ung $ för att kunna ta nägon utmärkt werksam del i sig fosterland förjwar $ och under den helig allians länga fredsperiod $ ha han ej tillfälle att förwärfwa sig den ersannhet i krigisk operation $ som behösdes $ för att kunna utmärka sig regering med lysa bragd $ säsom fältherre $ deremot underlåta han ej att med ifwer fortsätta sig krigswettenffapliga studie $ under stickliga lärare och erfaren veteran ledning $	Wid Fransta invasionen war han allt för ung , för att kunna taga nägon utmärkt werksam del i sitt fosterlands förjwar , och under den Heliga Alliansens länga fredsperiod , hade han ej tillfälle att förwärfwa sig den ersannhet i krigiska operationer , som behösdes , för att kunna utmärka sin Regering med lysande bragder , säsom Fältherre ; deremot underlät han ej att med ifwer fortsätta sina krigswettenffapliga studier , under stickliga Lärares och erfarne Veteraners ledning . 	69	studie
en ung $ gist man $ som po $ $ $ studie $ samt äfwen kunna biträda wid smärre procter $ önska at emot 2 a z rum och kök $ sä emotta nägon nar $ eller fränwarande $ kommission och affairer $	En ung ' gist Man , som po ?ederar äes«rder !ige Studier , samt äfwen kan biträda wid smärre Procter , önskade at emot 2 a z Rum och Kök , sä emottaga nägon nar , eller fränwarande Hus-Ägares kommissioner och Affairer . 	11	studie
tnssas en någorlunda jemnarig läskamrat till täffan i studie och sedebildning iltt fadren $ få $ mer än 20 åt af sig lefnad med annan barn $ $ derwlsning $ ej $ vårdslösa sig egct $ derom behölwas mäla ej tänkande förälder erinra $ och att bägge gosarna skola dela llka öm omwardnad $ sirftkras helig $	tnssas en någorlunda jemnarig Läskamrat till täffan i studier och sedebildning iltt Fadren , fom tillbra^t mer än 20 åt af sin lefnad med andras barns , » derwlSning , ej » vårdslösar sitt egct , derom behölwas mäl ej tänkande Föräldrar erinras : och att bägge GoSarna skola dela llka öm omwardnad , sirftkraS heligt . 	8	studie
smak för studie och läsning $ hwarigenom jag undgär en nära umgänge med en öfrigv arbetare $ $	smak för studier och läsning , hwarigenom jag undgär ett närmare umgänge med de öfrigv arbetarne . " 	2	studie
och förmögenhet $ utnämna en studerande $ iwänne af hwarjt fa $ rnltek $ som $ under år omlopp $ för säll yut sig cch framsteg i de studie göra sig förtjente of prämier $	och förmögenhet , utnämna de Studerande , iwänne af hwarjt Fa » rnltek , som , under årets omlopp , för säll yut sitt cch framsteg i deras Studier gjort sig förtjente of prämier . 	28	studie
efter flera sr anwänd möda wed studie $ $ kunssa $ och mun stadga ästundar en $ lig dngling i handelsrörelse blifwa engagera $ stulle nägon af herre handla wilja han einploftra $ kunna anmälan derom så hos bokhållare polmgwist wid ny sockerbraket $	Efter flera Srs anwänd möda wed studier , inhämtad kunssa » och munnen stadga ästundar en ffic« lig Dngling i Handelsrörelsen blifwa engagerad ; stulle nägon af herrar Handlande wilja honom einploftra , kan anmälan derom ste hos Bokhållaren Polmgwist wid Nya Sockerbraket . 	6	studie
ined fler hwilkas sarar wore god embetsman i han och rike tienst $ en $ $ o fullkomlig understöd til mängäriga studie ock utrikes resa $ fä i penning son $ uti härabsräntor $	ined fler- hwilkas sarar wore gode embetsmän i hans och rikets tienst ; de fins&gt ; o fullkomlige understöd til mängäriga studier ock utrikes resor , fä i penningar son , uti Härabsräntor . 	21	studie
