sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
med uästa mänads början blifwer wid eu af de redare gatvrne en ungkarlernm med eller utan möbel ledig att fa hyra $ abretz fä pä tryckeri en eller $ snygg rinna och kök $ med eller utan möbel $ kunna pä mäuad eller länge mot skälig hyra bekomma $ äfwen som adretz pä stall för 2 häst med höloft och wagnbod $ jemte en stor bod kille warors uppläggning vch en hwaifd kallare wid hamnegatau $ hwarom all fä adretz vä tryckeri $	68	0	upplggning	Med uästa mänads början blifwer wid eu af de redare gatvrne ett Ungkarlernm med eller utan möbler ledigt att fa hyras ; abretz fäs pä Tryckeriet Ett eller 2:ne snygga Rinn och Kök , med eller utan Möbler , kunna pä mäuad eller längre mot skälig hyra bekommas , äfwen som adretz pä Stall för 2 Hästar med Höloft och Wagnbod , jemte en stor Bod kill Warors uppläggning vch en hwaifd Kallare wid Hamnegatau ; hwarom allt fäs adretz vä Tryckeriet . 	bib19225772_18051023_148004_122_0004_alto.xml-4-68
de äro ock mpcker rjenlige till uppläggning och torkning af	6	0	upplggning	De äro ock mpcker rjenlige till uppläggning och torkning af 	bib19225772_18190512_148004_53_0004_alto.xml-2-6
till salu sinne en magasinsbus mcd källare sernndcr $ belägen i stad nära skeppsbron $ utom den att läge vara i anseende till mndariies indelning $ inrättadt för spanmäls uppläggning $ vara den $ för vittualiedandel eller $ llnderrättelse fä af $ sake $	29	0	upplggning	Till salu sinnes ett MagasinSbus mcd Källare Sernndcr , beläget i Staden nära Skeppsbron , utom det att läget är i anseende till Mndariies indelning , inrättadt för Spanmäls uppläggning , är det pa^ande för Vittualiedandel eller dylikt.- llnderrättelse fäs af Stads-Mäklaren Sake . 	bib13506739_18170512_144030_108_0009_alto.xml-4-29
$ $ som genom nedrasntngen förlcdne gärdås af sä tvål quaymuren och en del af wästra hamnega an framför winhandlaren borg hus $ som ock ena arm as stad derintill belägen brygga $ all fart öfwer samma brygga tills widare och intin dest reparation hara hinna werkstallas $ komma att upphöra $ sä warder sädant till allmänhet kunstap lemnadt $ med sörestrift $ att de som hofwa nödig färdas till liten torg och widare äta stor bom $ icke fä $ under $ och brygg $ nurarncs uppläggning $ betjena sig af nämna brygga $ utan böra wägen tågå genom någon af en söder om liten torg belägen gata litt magasinsgatan $	87	0	upplggning	* * Som genom nedrasntngen förlcdne gärdås af sä tvål Quaymuren och en del af Wästra Hamnega an framför Winhandlaren Borgens hus , som ock ena armen as Stadens derintill belägna Brygga , all fart öfwer samma Brygga tills widare och intin dest reparation hara hunnit werkstallas , kommer att upphöra ; sä warder sädant till Allmänhetens kunstap lemnadt , med sörestrift , att de som hofwa nödigt färdas till Lilla Torget och widare ät stora Bommen , icke fä , under Quay- och Brygg » nurarncs uppläggning , betjena sig af nämnde Brygga , utan bör wägen tågås genom någon af de Söder om lilla Torget belägna gator litt Magasinsgatan . 	bib19225772_18100620_148004_68_0002_alto.xml-5-87
torr warors uppläggning $ en god stall för $ hastar med tillräcklig höwind deröfwer samt commod gäng frän stall till höwinden $ $ stor och $ förse spannemälswindar med 2 uppgång aro nu genast ledig att sä hyra $ adretz fä pä tryck $	2	0	upplggning	torra warors uppläggning , ett godt Stall för 2:ne hastar med tillräcklig Höwind deröfwer samt commod gäng frän stallet till höwinden , 2:ne stora och «äl försedda Spannemälswindar med 2 uppgångar aro nu genast lediga att sä hyras ; adretz fä pä Tryck . 	bib19225792_18081022_147359_43_0006_alto.xml-1-2
föra dera den åstunda äga rättighet bestyra örn uppläggning och asefverering $	8	0	upplggning	för dera det åstunda äger rättighet bestyra örn uppläggning och aSefverering . 	bib19225772_18300416_148004_42_0007_alto.xml-8-8
offentlig enterprenad $ auktion alka upplära lill en minstbjudande werkställandet af en $ a marstrand stads kyrka steende reparation $ hwilken $ jemlikt i nador faststäld detzein ock rirnivg $ komma att innefatta fa ival yttre takers och bwalstvcts nedraguing $ jamt koppartäckuingens ater uppläggning pä låg takresning $ få ock nott liwalfs anlägga af bräda $ gvlfweks fyllning och a $ lemning $ $ genombrytning till dörr och fönster öppning $ lam tak förändring vä bäda wapendufen m $ m $ $ jom kunna inhemta af be pä herr wahlström boktryckeri inlemna förstag $	44	0	upplggning	offentlig enterprenad - auktion alk uppläras lill de minstbjudande werkställandet af de » a Marstrands Stads Kyrka steende reparation , hwilken , jemlikt i nador faststäld detzein ock rirnivg , kommer att innefatta fa ival yttre takers och bwalstvcts nedraguing , jamt koppartäckuingens ater uppläggning pä lägre takresning , fom ock nott liwalfs anläggande af bräder , gvlfweks fyllning och a , lemning , gräster.smnrens genombrytning till dörr- och fönster öppningar , lamt takens förändring vä bäda wapendufen m . m . , jom kan inhemtas af ber pä Herr Wahlströms Boktryckeri inlemnade förstag . 	bib19225772_18061022_148004_118_0003_alto.xml-5-44
stor och liten parti af bräda $ planka $ sparre $ bjelke $ läckter och ribba af furu $ plansten af särstilde dimension $ sandsten $ sträcksten af 18 tum höjd $ diverse spiksvrter och öfrig effekt af smide till byggnad $ pris för ätstillige dimension af fönster och dörr $ pris pa $ ainrrykning med linoljefärg per $ $ äfwensom oljemälning $ dels per $ $ dels stycketals $ samt pris pa uppläggning af $ per skepp $	73	0	upplggning	större och mindre partier af Bräder , Plankor , Sparrar , Bjelkar , Läckter och Ribbor af Furu , Plansten af särstilde dimensioner , Sandsten , Sträcksten af 18 tums höjd , diverse Spiksvrter och öfrige effekter af Smiden till Byggnader , priser för ätstillige dimensioner af Fönster och Dörrar , priser pa Plät-taks ainrrykning med Linoljefärg per Qwadrat-aln , äfwensom Oljemälning , dels per Qwadrat-aln , dels stycketals , samt priser pa uppläggning af Tak-loppar per Skepp . 	bib13506739_18230312_144030_59_0004_alto.xml-6-73
genast ästundas få hyra en stor magasin för torr warors uppläggning $ swar afwakras uti försegla bill till b $ soln inlenmas pä tryckeri $	10	0	upplggning	genast ästundas få hyra ett större Magasin för torra warors uppläggning ; swar afwakras uti förseglad billet till B . soln inlenmas pä Tryckeriet . 	bib19225792_18100407_147359_14_0005_alto.xml-2-10
till salu stnnes en magasinshus med källare derunder $ belägen i stad nära skeppsbron $ utom den att lag $ gt $ $ r i onlcende till windarnes indelning inrättadt för spanmals uppläggning $ vara den patzan $ en för viltualiehandel eller dylik $	32	0	upplggning	Till salu stnnes ett Magasinshus med Källare derunder , beläget i Staden nära Skeppsbron , utom det att laget & gt ; : r i onlcende till WindarneS indelning inrättadt för Spanmals uppläggning , är det patzan » de för Viltualiehandel eller dylikt . 	bib13506739_18170514_144030_110_0005_alto.xml-5-32
$ nästkommande war östuncas otta hora någon ll rymme $ paja tis uppläggning för 20 famna $	12	0	upplggning	T-ll nästkommande War östuncas ott hora något ll rymme , pajande tiS uppläggning för 20 famna ? 	bib13506739_18080302_144030_51_0007_alto.xml-7-12
uri stenhus midt emot kvmedihnset äro till nästa michelis ledig ali fä hyra $ ungkarlsrum med eller utan modier $ samt en stor ywalfd källare $ jemte en wind $ tjenlig för epanmals uppläggning $	33	0	upplggning	Uri stenhuset midt emot Kvmedihnset äro till nästa Michelis lediga ali fä hyra 2:ne Ungkarlsrum med eller utan Modier , samt en stor ywalfd Källare , jemte en Wind , tjenlig för Epanmals uppläggning . 	bib19225772_18030629_148004_73_0003_alto.xml-13-33
$ gt $ en stor och rymlig bod till uppläggning af kor $ a waror $ säsoin tobak $ socker m $ m $ $ nära norra famn belägen $ ax nu genast att fä hyra $ adrctz ä pa l yckeriec $	9	0	upplggning	& gt ; En stor och rymlig Bod till uppläggning af koret ' a waror , säsoin Tobak , Socker m . m . , nära Norra famnen belägen , ax nu genast att fä hyras : adrctz äs pa L yckeriec . 	bib19225792_18090715_147359_28_0005_alto.xml-3-9
vara pä begge $ men stogen kunna sälja $ och le och sand fä för inter $ och än mer der timmer stall köpa dyr och föra längwäga ifrån $ men le och sand ar nära till hands $ finna man lätt $ att om nägot mer beswar stulie wara med murbruk tillredning och uppläggning lill wagg än med timmer $ bespara man dock $ pä inköp $ och fara tillika såsom en winst dragfri rum $ som trotsa tid och eld $ och gagna pä dubbel sätt sig och den allmän $	54	0	upplggning	är pä begge , men stogen kan säljas , och ler och sand fäs för inter , och än mer der timret stall köpas dyrt och föras längwäga ifrån , men ler och sand ar nära till hands , finner man lätt , att om nägot mer beswar stulie wara med murbrukets tillredning och uppläggning lill wagg än med timrets , besparar man dock peiminge-utgiften pä inköpet , och far tillika såsom en winst dragfria rum , som trotsa tiden och elden , och gagnar pä dubbelt sätt sig och det allmänna . 	bib11653806_18070609_145120_61_0003_alto.xml-7-54
hwarest en rättfri spannemslswlnd vara akt sä hyra lill 3 a 400 tunna uppläggning $	13	0	upplggning	hwarest en Rättfri SpannemSlswlnd är akt sä hyra lill 3 a 400 tunnors uppläggning . 	bib19225792_18040218_147359_7_0005_alto.xml-2-13
pä färgenäs uthyra till billig pris bod $ tjenlig för $ vrlag af salt $ sill $ tjära m $ m $ $ epannmalswindar $ äfwen en instänga plats till uppläggning af planka $ nära kunna öfwerenskoinmas med a $	30	0	upplggning	Pä Färgenäs uthyras till billigt pris Bodar , tjenlige för » vrlag af Salt , Sill , Tjära m . m . , EpannmalSwindar , äfwen en instängd plats till uppläggning af Plankor ; närmare kan öfwerenskoinmas med A . 	bib19225772_18260630_148004_74_0005_alto.xml-6-30
aro flere rymlig bod att fä hyra $ tjenlig till uppläggning af nederlagsgods $	10	0	upplggning	aro flere rymliga Bodar att fä hyra , tjenlige till uppläggning af nederlagsgods . 	bib19225792_18100519_147359_20_0006_alto.xml-6-10
en liten $ torr hwälfdt magasin $ paja för torr warors uppläggning $ eller i brist deraf till handelsbod $ vara nu genast ledig att mot billig hyra fa tillträda uti $ $	11	0	upplggning	Ett mindre , torrt hwälfdt Magasin , pajande för torra warors uppläggning , eller i brist deraf till Handelsbod , är nu genast ledigt att mot billig hyra fa tillträda uti HusetN:v2 ? 	bib19225772_18260823_148004_97_0004_alto.xml-6-11
en wind öfwer en källare söder i stad o $ nära stor hamn $ tjenlig till kalk eller andra torr warors uppläggning $ vara mor billig bora geuast ledig $ abretz fzs pä tryckeri $	21	0	upplggning	En Wind öfwer en källare söder i staden o » nära stora hamnen , tjenlig till Kalk eller andra torra warors uppläggning , är mor billigaste bora geuast ledig ; abretz fZS pä Tryckeriet . 	bib19225772_18070821_148004_94_0004_alto.xml-0-21
kock ha vara trött och sömnig af middagsbråket $ och dessutom vårdslös genom sjelfva materiaternas magerhet $ hvarföre de äfven slarlvat vid uppläggning $	22	0	upplggning	Kockarna ha varit trötta och sömniga af middagsbråket , och dessutom vårdslösa genom sjelfva materiaternas magerhet , hvarföre de äfven slarlvat vid uppläggningen . 	bib11653828_18300316_144028_62_0002_alto.xml-8-22
james dickson ästnudar fä byra en fartyg eller nägra bod wid rerieret $ sä belägen att fartyg kunna flyta iniill fara uppläggning af salt $	21	0	upplggning	James Dickson ästnudar fä byra ett Fartyg eller nägra Bodar wid Rerieret , sä belägna att fartyg kunna flyta iniill for uppläggning af Salt . 	bib19225772_18131005_148004_114_0008_alto.xml-7-21
