sentence_lemma	sentence_token	target_index	original_word
kurator till $ uti vaktmästare liljeströms r un i kongl $	Kurator till mötes uti Vaktmästaren Liljeströms R un I Kongl . 	4	vaktmstare
bokförande $ vaktmästare aflöning $ hyra för $ $ trvcknings omkastning $ skrifmaterialier m $ m $ $	Bokförandens & Vaktmästarens aflöning , hyra för Spar-Bankslocalen , Trvcknings omkastningar , Skrifmaterialier m . m . , 	2	vaktmstare
vaktmästare petter boman affed stilla i stockholm den 18 denna $ nr $	Vaktmästaren Petter Boman affed stilla i Stockholm den 18 dennes , nr ? 	0	vaktmstare
vaktmästare a $ björklund efterleva enka brigitta maria wahlgren $ efter en längsam	Vaktmästaren A . Björklunds efterlevande Enka Brigitta Maria Wahlgren , efter en längsam 	0	vaktmstare
en piga sont wäl kunna laga mat $ tivä och städa $ vara trogen $ rask och $ samt förleda ined $ de betvg $ kunna genast ärhiilla god och strmänliz tjänst i et hushäll af lre persons $ nära norrmalms torg $ ten fem ä stunda denna tjänst $ kunna anmäla stq hos vaktmästare elsström $ sonpbvr i gammal arsenal $	En Piga sont wäl kan laga mat , tivälta och städa , är trogen , rask och frr^ag samt förledd ined hedran« de betvg , kan genast ärhiilla god och strmänliz tjänst i et huShäll af lre persons , nära Norrmalms Torg ; ten fem ä stundar denne tjänst , kan anmäla stq hos Vaktmästaren Elsström , sonpbvr i gamla Arsenalen . 	54	vaktmstare
ensam herre åstunda en pålitlig vaktmästare $ som ha $ $ $ na möbel $ ölwer $	ensam Herre åstundar en pålitlig Vaktmästare , som har e&gt ; - na Möbler , ölwer , 	5	vaktmstare
till vaktmästare ejöb $ wid sjömanshus $ i föra $	till Vaktmästaren Ejöb ?rg wid Sjömanshuset , i förs . 	1	vaktmstare
om nägon karl will emotta wedsägning och ga $ an $ renhållning i en hus i clara trakt $ sä fäs underrättelse hos vaktmästare wid kungsholms lasarett $	Om nägon Karl will emottaga Wedsägning och ga ' an » renhållning i ett Hus I Clara trakten , sä fäS underrättelse hos Vaktmästaren wid Kungsholms Lasarettet . 	23	vaktmstare
i anseende till sörestäende bouppteckning est aflcdne organist och vaktmästare nils wiklund $ behaga all en som aga laglig fordran ellcr äro ssyldige $ sadanc i stcrbhtuet anmäla $ inom den k nastk $	I anseende till sörestäende Bouppteckning ester aflcdne Organisten och Vaktmästaren Nils Wiklund , behagade alla de som aga laglig fordran ellcr äro ssyldige , sadanc i Stcrbhtuet anmäla , inom den k nastk . 	9	vaktmstare
en planbok $ inneliggande nödig pap och betyg $ vara upphitta $ som ägare pä bessrifning och bcswärets betalning kunna igcnia af vaktmästare oahl uti tulla betjäning $	En Planbok m-d inneliggande nödiga Pap och Betyg , är upphittad , som ägaren pä bessrifning och bcswärets betalning kan igcnia af vaktmästaren Oahl uti Tull- Betjäningens . 	22	vaktmstare
