sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
i denna anda tala jag också nu $ men $ här möta jag en öfverraskning $	2	0	anda	I denna anda talade jag också nu , men ' här mötte mig en öfverraskning . 	bib19225758_18950824_144022_196_0006_alto.xml-15-2
skola han hel enkel vara oöfverträffad $ och för väcka och upprätthålla af en god anda inom regemente och af en aldrig svika disciplin anse han hafva göra mera än någon annan af vi garnisonsregementsschefer $	15	0	anda	skall han helt enkelt vara oöfverträffad , och för väckande och upprätthållande af en god anda inom regementet och af en aldrig svikande disciplin anses han hafva gjort mera än någon annan af våra garnisonsregementsschefer . 	bib15650814_18950924_146365_223_0002_alto.xml-132-15
att riksförsamling i utland gifva förtroendevotum åt minister $ men att en dylik procedur skola tillämpa i vi enkel kommunal institution $ vara hittills okänd och föga öfverensstämmande med anda i vi kommunalförfattningar11 $	29	0	anda	att riksförsamlingar i utlandet gifva förtroendevota åt ministrar , men att en dylik procedur skall tillämpas i våra enkla kommunala institutioner , är hittills okändt och föga öfverensstämmande med andan i våra kommunalförfattningar11 . 	bib19227291_18970316_145289_32_0002_alto.xml-75-29
kilanda församling småskola hilda charlotta hansson ha hos justitieombudsman anmäla skolråd ordförande kyrkoherde l $ hegardt för den denna till en för hon af skolråd ntfär dadt $ synnerligen bedrande och berömma af skedsbetyg foga en g $ $ reservation $ i hvilken han beskylde klagande för att hafva bediifvit $ lärarinoeverksambct i snedvrida $ separatistisk anda $	56	0	anda	Kilanda församlings småskola Hilda Charlotta Hansson hade hos justitieombudsmannen anmält skolrådets ordförande kyrkoherden L . Hegardt för det denne till ett för henne af skolrådet ntfär dadt , synnerligen bedrande och berömmande af skedsbetyg fogat en g . k. reservation , i hvilken han beskylde klaganden för att hafva bediifvit ■in lärarinoeverksambct i snedvriden , separatistisk anda . 	bib15650837_18950726_146391_171_0003_alto.xml-6-56
$ $ $ den berömd lpsalasällskapet $ serenad för en närvarande och låta deni dervid höra $ berömd qvartett $ kornmodsglansen ved midnatstid $ $ natstid $ $ paus mellan en olik sång och tal utfylla med sällskaplig samspråk och umgänge $ den utbre sig öfver hel sällskap en gemytlig och behaglig anda $ som tillåta samtlig både herre och dam att njuta af supé i matsal utan att låta sig allt	52	0	anda	O. D. , det berömda Lpsalasällskapet , serenad för de närvarande och lät deni dervid höra Lange-Mullers berömda qvartett “ Kornmodsglansen ved Midnatstid . “ natstid . “ Pauserna mellan de olika sångerna och talen utfylldes med sällskapligt samspråk och umgänge : det utbredde sig öfver hela sällskapet en gemytlig och behaglig anda , som tillät samtlige både herrar och damer att njuta af supén i matsalen utan att låta sig allt 	bib19227291_18970610_145289_69_0002_alto.xml-98-52
här $ liksom i den öfrig bygd $ ha en menlig och på folk ädel kraft tära inflytande $ men i allmänhet vara denna ond i märkbar aftagande och en bra anda vakna $ särdeles bland den ung slägtet $ som ock i en sen tid genom prästerskap nit och allvar inhämta en både grundlig och mångsidig upplysning än fader $	31	0	anda	här , liksom i den öfriga bygden , haft ett menligt och på folkets ädlare krafter tärande inflytande ; men i allmänhet är detta onda i märkbart aftagande och en bättre anda vaknad , särdeles bland det yngre slägtet , som ock i en senare tid genom prästerskapets nit och allvar inhämtat en både grundligare och mångsidigare upplysning än fäderna . 	bib11653790_18981014_145648_79_0005_alto.xml-46-31
härtill äro $ att soldat befinna sig i utmärka kondition $ anda i en olik kår vara förträfflig $ lifsmedel och ammunition finna i stor mängd $ ställning äro äfven af natur stark befästa $ så att en fiende komma att få stor svä righeter att komma upp till de $ ännu liten att gå förbi de $	11	0	anda	härtill äro , att soldaterna befinna sig i utmärkt kondition , andan i de olika kårerna är förträfflig , lifsmedel och ammunition finnas i stor mängd , ställningarna äro äfven af naturen starkt befästa , så att en fiende kommer att få stora svä righeter att komma upp till dem , ännu mindre att gå förbi dem . 	bib11653790_18970409_145648_28_0003_alto.xml-125-11
$ kautschukparagraf $ i vmstörtningslagsörflaget $ angäende straff för den $ som uppmana till wissa bestämd förbrytelse och öfwerträdelsir eller förklara de lofwärda $ anta centermedlemmarne i kommission den frän nationalliberal häll i re $ geringswänlig anda söreflagna redaktion $ enligt hwilken straff böra tillämpa $ om oswannämnda framställan äro egna att uppegga till efterföljd $	36	0	anda	" kautschukparagraferna " i vmstörtningSlagsörflaget , angäende straff för den , som uppmanar till wissa bestämda förbrytelser och öfwerträdelsir eller förklarar dem lofwärda , antogs centermedlemmarne i kommissionen den frän nationalliberalt häll i re » geringswänlig anda söreflagna redaktionen , enligt hwilken straff bör tillämpas , om oswannämnda framställningar äro egnade att uppegga till efterföljd . 	bib11653811_18950202_145317_19_0003_alto.xml-7-36
gammal landtmannapartiet möjligen skola $ på grund af stadsradikalernas anslutning till densamma $ här behjerta stad rättmätig anspråk $ hvilka ju också ha godkänna af grundlag anda och mening $ men den befinna $ att hrr radikal alldeles $ sig $	26	0	anda	gamla landtmannapartiet möjligen skulle , på grund af stadsradikalernas anslutning till detsamma , här behjerta städernas rättmätiga anspråk , hvilka ju också hade godkännande af grundlagens anda och mening ; men det befanns , att hrr radikaler alldeles missräknat sig . 	bib15873371_18950103_145112_2_0001_alto.xml-45-26
tidning komma att innehålla $ artikel $ i fosterländsk och samhällsbevarande $ men på samma gång praktisk reformvänlig anda $	18	0	anda	Tidningen kommer att innehålla : Artiklar , i fosterländsk och samhällsbevarande , men på samma gång praktiskt reformvänlig anda . 	bib11653790_18950208_145648_7_0001_alto.xml-17-18
