sentence_lemma	sentence_token	index_lemma	index_token	lemma
annandag vara ottesång i missionshus och vara då äfven denna till trängsel fylldt $	Annandagen var ottesång i missionshuset och var då äfven detta till trängsel fylldt . 	0	0	annandag
annandag jul pä $ m $ begaf sig konung $ åtfölja af kronprins $ prins carl och eugen jemte uppwaktningar och någon $ herre till drottningholm för att be wistas någon dag och sysselsätta sig med jagt $	Annandag jul pä e. m . begaf sig konungen , åtföljd af kronprinsen , prinsarne Carl och Eugen jemte uppwaktningar och några inbjudna herrar till Drottningholm för att ber wistas några dagar och sysselsätta sig med jagt . 	0	0	annandag
annandag pingst i en dei affall framför såg och sprida sig snabb till den vid nissan belägen $ af trä bygga såg $ hvarifrån den hastig kasta sig öfver till den närbelägen $ af sten $ labriken $ som snar stå i $ låg $	annandag pingst i en dei affall framför sågen och spred sig snabbt till den vid Nissan belägna , af trä byggda sågen , hvarifrån den hastigt kastade sig öfver till den närbelägna , af sten uppförda labriken , som snart stod i ljusan låga . 	0	0	annandag
vid kapplöpning i malmö om måndag $ annandag pingst $ $ komma totalisator för $ gång att använda $	Vid kapplöpningarna i Malmö om måndag ( annandag pingst ) , kommer totalisatorn för första gången att användas . 	7	7	annandag
annandag predikan $ lie $ m $ af $ k a $ lundin $	Annandagen predikan kl. li f. m . af stud. K A . Lundin . 	0	0	annandag
hvars kraft voro mycket eediagna $ till sig förälder hem på land $ der han pä annandag förefalla någon bra $	hvars krafter voro mycket Eediagna , till sina föräldrars hem på landet , der han pä annandagen föreföll något bättre . 	16	16	annandag
annandag vara en viktig dag $ ty då kommo julsångame på morgon $	Annandagen var en viktig dag , ty då kommo julsångame på morgonen . 	0	0	annandag
till borgholm och oscarshamn annandag pingst fästa wi uppmärksamhet $	till Borgholm och Oscarshamn annandag pingst fästa wi uppmärksamheten . 	4	4	annandag
då julafton infalla å söndag $ kunna arbete å denna dag ega rum $ dock må i sån fall arbete å annandag ej förekomma $	Då julafton infaller å söndag , kan arbete å denna dag ega rum , dock må i sådant fall arbete å annandagen ej förekomma . 	21	21	annandag
natt mellan annandag och tredje dag jul föröfva dylik brott $ äfvenledes i nusnäs $ af mickel jon larsson hos tysk olof olsson $	Natten mellan annandag och tredje dag jul föröfvades dylikt brott , äfvenledes i Nusnäs , af Mickels Jon Larsson hos Tysk Olof Olsson . 	2	2	annandag
annandag $ lie $ m $ missionaföredrag af e $	Annandagen kl. li f. m . missionaföredrag af E . 	0	0	annandag
