sentence_lemma	sentence_token	index_lemma	index_token	lemma
aktieegarc kalla härmed till extra bolagsstämma å stadshuset i lund ousdagen don $ okt $	aktieegarc kallas härmed till extra bolagsstämma å Stadshuset i Lund Ousdagen don 2« Okt . 	5	5	bolagsstmma
konstituera bolagsstämma med aktietecknare i bryggeriaktiebolag dalpil $ järnvägshotell i borlänge $	Konstituerande bolagsstämma med aktietecknare i bryggeriaktiebolaget Dalpilen & järnvägshotellet i Borlänge . 	1	1	bolagsstmma
kalla härmed till ordinarie bolagsstämma å hotell witt i kalmar tisdag den 25 innevarande april $ 5 $	kallas härmed till ordinarie bolagsstämma å Hotell Witt i Kalmar tisdagen den 25 innevarande april kl. 5 e.m. 	4	4	bolagsstmma
den vid dag bolagsstämma med delegarne i göteborg $ besluta utdelning för 1891 finna att $ mot qvitterad kupong för samma år $ lyfta å bolag kontor $ $ 4 a skeppsbron $	Den vid dagens bolagsstämma med delegarne i Göteborgs Bogsertngs-Aktiebolag beslutade utdelning för 1891 finnes att , mot qvitterad kupong för samma år , lyfta å bolagets kontor , N:o 4 A Skeppsbron . 	3	3	bolagsstmma
bodträflfors ha i fredag bolagsstämma i stockholm för afgöra af frägan om den brinna snickerifabrik återuppbyggande $	Bodträflfors hade i fredags bolagsstämma i Stockholm för afgörande af frägan om den brunna snickerifabrikens återuppbyggande . 	4	4	bolagsstmma
sedan carlshamns bryggeri aktiebolag vid bolagsstämma den 13 denna besluta utvidgning af bryggeri $ bestå hufvudsaklig i örn och tillbyggnad af källarlokal $ ega spekulant å säga arbete att före tisdag den 24 i denna månad å bryggeri kontor inlemna skriftlig försegla anbud å arbete ifråga $	Sedan Carlshamns Bryggeri AktieBolag vid bolagsstämma den 13 dennes beslutat utvidgning af bryggeriet , bestående hufvudsakligast i örn- och tillbyggnad af källarlokalerna , ega spekulanter å sagda arbete att före tisdagen den 24 i denna månad å bryggeriets kontor inlemna skriftliga förseglade anbud å arbetet ifråga . 	5	5	bolagsstmma
år ordinarie bolagsstämma biträda direktör sommelii förslag att höja bank grundfond med 2 mill $	års ordinarie bolagsstämma biträda direktör Sommelii förslag att höja bankens grundfond med 2 mill . 	2	2	bolagsstmma
möta inedkonliahcnlernas franistäflning i denna punkt $ motstånd från kommun representant i bolagsstämma $ kunna lägga hinder i wägen för ernå af en stälig öfwerenkkom melse $	mött inedkonliahcnlernas franistäflning i denna punkt , motstånd från kommunernas representanter i bolagsstämma » kunnat lägga hinder i wägen för ernående af en stälig öfwerenkkom melse . 	12	12	bolagsstmma
kalla härmed till ordinarie bolagsstämma å rådhus i venersborg $ måndag den 10 nästkommande juni klocka 1 på dag $ skola talo till den antal aktie $ för hvilka del önska att vid stämma föra talan $ samma dag klocka 10 $ 12 $ m $ nedsätta $ bolag kontor här i stad $	kallas härmed till ordinarie bolagsstämma å Rådhuset i Venersborg , måndagen den 10 nästkommande Juni klockan 1 på dagen ; skolande talons till det antal aktier , för hvilka delegare önskar att vid stämman föra talan , samma dag klockan 10 — 12 f. m . nedsättas & bolagets kontor här i staden . 	4	4	bolagsstmma
kalla till extra bolagsstämma i åkarp fredag den 29 bars $ $	kallas till extra bolagsstämma i Åkarp Fredagen den 29 Bars kl. 3,45 	3	3	bolagsstmma
meddela $ $ $ att denna ej vara en anmärkning mot styrelse $ som ju vara välja af stämma $ men framhålla att här vara en principfråga $ som revisor vilja hafva framlagd till bolagsstämma öfvervägande $	meddelar K. W. , att detta ej vore en anmärkning mot styrelsen , som ju vore vald af stämman , men framhöll att här vore en principfråga , som revisorerna ville hafva framlagd till bolagsstämmans öfvervägande . 	34	34	bolagsstmma
tallås till ordinarie bolagsstämma å stadshotell i carlstad tisdag den 26 november 1895 $ 12 middag $	tallås till ordinarie bolagsstämma å stadshotellet i Carlstad Tisdagen den 26 November 1895 kl. 12 middagen . 	3	3	bolagsstmma
kalla till ordinarie bolagsstämma å hotell härstädes torsdag den lie juni 1896 $ 12 midd $	kallas till ordinarie bolagsstämma å Hotellet härstädes Torsdagen den li Juni 1896 kl. 12 midd . 	3	3	bolagsstmma
sammanträda till allmän bolagsstämma 1 $ npp 1 hus jts 26 vid norrlandsgatan i stockholm tor dag den nionde maj 1895 $ tio f $ m $	sammanträda till allmän bolagsstämma 1 tr. npp 1 huset JtS 26 vid Norrlandsgatan i Stockholm Tors dagen den Nionde Maj 1895 kl. Tio f , m . 	3	3	bolagsstmma
kalla härmed till ordinarie bolagsstämma å bolag kontor här i stad tisdag den 2 nästinstundande april $ 10 $ m $	kallas härmed till ordinarie bolagsstämma å bolagets kontor här i staden Tisdagen den 2 nästinstundande April kl. 10 f. m . 	4	4	bolagsstmma
delegarne i skandinavisk kreatursforsiikriingsbolaget kalias härmed till extra bolagsstämma fredag den 1 februari $ 2 $ m $ å bolag lokal $ fredsgatan j $ r 15 $ för att besluta örn en vid ordinarie bolagsstämma il 27 oktober 1894 godkänd förändring af bolag reglemente $	Delegarne i Skandinaviska Kreatursforsiikriingsbolaget kalias härmed till extra bolagsstämma Fredagen den 1 Februari kl. 2 e. m . å bolagets lokal , Fredsgatan J \ r 15 , för att besluta örn de vid ordinarie bolagsstämman ilen 27 Oktober 1894 godkända förändringarna af bolagets reglemente . 	8	8	bolagsstmma
$ i mälare provins enskild bank kalla mil ordinarie bolagsstämma $ sorn börja i bank hus härstädes fredag den 8 instunda mars $ lie $ m $ $ och behaga en herre lott $ spm ämna bolagsstämma bevista $ derförijruan anmäla $ ho $	D.iegarne i Mälare provinsernas Enskilda Bank kallas Mil ordinarie Bolagsstämma , sorn börjas i bankens hus härstädes Fredagen den 8 instundande Mars kl. li f. m . , och behagade de Herrar lottegare , spm ämna Bolagsstämman bevista , derförijruan anmäla .ig ho . 	9	9	bolagsstmma
som den nu tillvägagås $ framtvinga af sig sjelf den fråga $ skola härvidlag någon eller någon af en stor aktie öfvertaga affär $ hel viss till egen fördel $ sedan kommun på grund af den en gång i bolagsordning stipulera $ solidarisk ansvarighet $ låta förmå sig att skänka bort sig aktie $ för så vidt den icke ren af vara så $ att den anonym spekulant sjelf kunna genom hög röstetal inom kommun och på bolagsstämma genomdrifva försälja ningsbesiutet $	Som det nu tillvägagås , framtvingas af sig sjelf den frågan : skola härvidlag någon eller några af de större aktieegarne öfvertaga affären , helt visst till egen fördel , sedan kommunerna på grund af den en gång i bolagsordningen stipulerade “ solidariska ansvarigheten " låtit förmå sig att skänka bort sina aktier , för så vidt det icke rent af är så , att den anonyme spekulanten sjelf kunnat genom högt röstetal inom kommunen och på bolagsstämma genomdrifva försälj ningsbesiutet ? 	77	77	bolagsstmma
kalla härmed till ordinarie bolagsstämma förening lokal fredag den 8 nästkommande mars kl $ lie f m $ därvid förekomma till behandling en i 34 $ af reglemente omförmäla ärende $ och skola delägare $ som vid bolagsstämma vilja utöfva rösträtt enligt 32 $ af reglemente därom göra anmälan i förening lokal torsdag den 7 mars $ 10 $ m $ 1 $ m $ eller sist fredag den 8 mars kl 9 $ 10 $ m $ å ombudsman kontor $ hvarest handling angående bolagsstämma finna att tillgå $ och måste delägare $ jämlik sistnämd $ $ för rösträtt utöfva styrka sig behörighet genom förevisa af kvitto å sista inbetalning $	kallas härmed till ordinarie bolagsstämma föreningens lokal fredagen den 8 nästkommande mars kl , li f m , därvid förekomma till behandling de i 34 § af reglementet omförmälda ärenden , och skall delägare , som vid bolagsstämman vill utöfva rösträtt enligt 32 § af reglementet därom göra anmälan i föreningens lokal torsdagen den 7 mars kl. 10 f. m — 1 e. m . eller sist fredagen den 8 mars kl 9 — 10 f. m . å Ombudsmannens kontor , hvarest handlingarna angående bolagsstämman finnas att tillgå , och måste delägare , jämlikt sistnämda § , för rösträtts utöfvande styrka sin behörighet genom förevisande af kvitto å sista inbetalningen . 	4	4	bolagsstmma
lifförsäkringsbolaget nordstjerna ha vid bolagsstämma besluta till konung jubileumsfond öfverlemna $ krona $	Lifförsäkringsbolaget Nordstjernan har vid bolagsstämma beslutat till konungens jubileumsfond öfverlemna 20,000 kronor . 	4	4	bolagsstmma
hålla i torsdag ordinarie bolagsstämma ä förening lokal i wexiö $	höll i torsdags ordinarie bolagsstämma ä föreningens lokal i Wexiö . 	4	4	bolagsstmma
jernväg styrelse hemställa med anledning häraf till bolagsstämma $ att i den bolag $ som må komma att bilda för åstadkomma och trafikera af jernväg från emmaboda station å karlskrona $ wexiö jernväg till mörlunda station å nässjö $ oskarshamn jernväg $ teckna aktie till en belopp af $ kr $	Jernvägens styrelse hemställer med anledning häraf till bolagsstämman : att i det bolag , som må komma att bildas för åstadkommande och trafikerande af jernväg från Emmaboda station å Karlskrona — Wexiö jernväg till Mörlunda station å Nässjö — Oskarshamns jernväg , teckna aktier till ett belopp af 500,000 kr . 	7	7	bolagsstmma
$ lie $ $ $ ordinarie bolagsstämma med norrköping bomullsvåfveriaktiebolag å den kontor $	Kl. li f. m. : Ordinarie bolagsstämma med Norrköpings Bomullsvåfveriaktiebolag å dess kontor . 	6	6	bolagsstmma
brandförsäkringsbolag å land inom blekinge ha i lördag sig ordinarie bolagsstämma i karlskrona $ dervid förhandling leda af kapten a $ leijonhielm $ ur styrelse berättelse $ som föredra $ återgifva vi följa $ vid ingång af den 52 $ dra $	Brandförsäkringsbolaget å landet inom Blekinge hade i lördags sin ordinarie bolagsstämma i Karlskrona , dervid förhandlingarne leddes af kapten A . Leijonhielm .. Ur styrelsens berättelse , som föredrogs , återgifva vi följande : Vid ingången af det 52 ; dra räken¬ 	10	10	bolagsstmma
del kalla härmed till extra bolagsstämma å centralhotellet i kalmar lördag den 3 nästa augusti $ $ 6 $ $ för att besluta dels i fråga 0111 ändring af bolagsordning 3 $ 111 $ fl $	delegare kallas härmed till extra bolagsstämma å Centralhotellet i Kalmar lördagen den 3 nästa augusti , kl. 6 e.m. , för att besluta dels i fråga 0111 ändring af bolagsordningens 3 § 111 . fl . 	5	5	bolagsstmma
lundell warit en af en särskildt utse granstningsmän $ font bolagsstämma tillsätta $	Lundell warit en af de särskildt utsedde granstningsmän , font bolagsstämman tillsatte . 	10	10	bolagsstmma
i norra grundsnmls olja oell gcanolabriks aktiebolag kalla till ordinarie bolagsstämma å hotell eggers lördag den 21 sept $	i Norra Grundsnmls Olje- oell Gcanolabriks Aktiebolag kallas till ordinarie bolagsstämma å hotell Eggers lördagen den 21 Sept . 	10	10	bolagsstmma
efter åtskillig diskussion bi direktion förslag anta af bolagsstämma $ som äfven uttrycka den önskan att extra bolagsstämma i höst utlysa af direktion $ på den att den anta förslag då må för $ gång underställa bolagsstämma $ såsom i bolagsordning föreskrifves $	Efter åtskillig diskussion biet direktionens förslag antaget af bolagsstämman , som äfven uttryckte den önskan att extra bolagsstämma i höst utlyses af direktionen , på det att det antagna förslaget då måtte för andra gången underställas bolagsstämman , såsom i bolagsordningen föreskrifves . 	8	17	bolagsstmma
$ lie $ m $ ordinarie bolagsstämma med holmens brnks ocb fabiiks aktiebolag å den kontor $	Kl. li f. m : Ordinarie bolagsstämma med Holmens brnks ocb fabiiks aktiebolag å dess kontor . 	6	6	bolagsstmma
ha dea 5 denna extra bolagsstämma under stadskassör g $ dahlerus $ ordförandeskap $ hvarvid besluta $ att bolag skola upplösa $	hade dea 5 dennes extra bolagsstämma under stadskassör G . Dahlerus ’ ordförandeskap , hvarvid beslöts , att bolaget skulle upplösas . 	5	5	bolagsstmma
hvar och man $ som å bolagsstämma vilja föra talan $ skola stäinmodagen eller nästföregående dag $ 9 $ 12 $ m $ å bolag hufvudkontor i helsingborg förete innehafva aktiebref $ för erhålla af polett till stämma $	Hvar och en , som å bolagsstämman vill föra talan , skall stäinmodagen eller nästföregående dag kl. 9 — 12 f. m . å bolagets hufvudkontor i Helsingborg förete innehafvande aktiebref , för erhållande af polett till stämman . 	6	6	bolagsstmma
kalla till extra bolagsstämma lördag den 28 januari $ lie $ å jern vägsbolagets lokal för att fatta beslut rörande styrelse förslag till ändring uti verkställande direktör och trafikchef löneförmån $	kallas till extra bolagsstämma lördagen den 28 januari kl. li f.m. å jern vägsbolagets lokal för att fatta beslut rörande styrelsens förslag till ändring uti verkställande direktörens och trafikchefens löneförmåner . 	3	3	bolagsstmma
kalla till extra bolagsstämma å bolag kontor torsdag deli 17 intttiin danile decenilier lil $	kallas till extra bolagsstämma å bolagets kontor Torsdagen deli 17 intttiin danile Decenilier lil . 	3	3	bolagsstmma
