sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
låta sterbhus efter rusthållare gustaf larsson derstädes till den högstbjudande försälja $ guld $ silfver $ nysilfver $ koppar $ deribland flera $ kittla $ vattentunna $ messing $ tenn $ bleck och jernsaker $ husgeråd och möbel $ bra chiffonierer $ säng $ soffa $ byrå $ bord och stol $ pendyl $ skåp $ spegel $ tafla $ glas och porslin $ duktyg $ linne $ dun och sängkläder $ den aflidnes gångkläder $ trä och laggkärl $ hud och skinn $ skjutgevär $ 2 $ teaterobligationer $ 6 $ aktie i vesterås $ torshälla ångbåtsaktiebolag $ kreatur $	68	0	dun	låta sterbhusdelegarne efter Rusthållaren Gustaf Larsson derstädes till den högstbjudande försälja : guld , silfver , nysilfver , koppar , deribland flera st. kittlar , vattentunna , messing , tenn , bleck- och jernsaker , husgeråd och möbler , bättre chiffonierer , sängar , soffor , byråar , bord och stolar , pendyler , skåp , speglar , taflor , glas och porslin , duktyg , linne , dun- och sängkläder , den aflidnes gångkläder , trä- och laggkärl , hudar och skinn , skjutgevär , 2 st. teaterobligationer , 6 st. aktier i Vesterås — Torshälla Ångbåtsaktiebolag ; kreatur : 	bib15873936_18950323_147385_36_0002_alto.xml-12-68
silfver $ koppar $ jern och blecksaker $ möbel $ 1 klaffskänk $ 1 salsskänk $ klä och linneskåp $ säng $ soffa $ bord $ stol $ linne $ dun och sängkläder $ glas oeff porslin $ diverse $ 1 symaskin $ 1 par väfstol $ matta $ 1 kokspis $ den aflidnes gångkläder m $ m $ trä och laggkärl $ $ $	30	0	dun	silfver , koppar , jern- och blecksaker , möbler , 1 klaffskänk , 1 salsskänk , kläd- och linneskåp , sängar , soffor , bord , stolar , linne , dun- och sängkläder , glas oeff porslin ; diverse : 1 symaskin , 1 par väfstolar , mattor , 1 kokspis , den aflidnes gångkläder m . m , trä- och laggkärl o. s. v. 	bib15873936_18950323_147385_36_0004_alto.xml-38-30
stor lager af maskinrensad gräs $ and och fågelfjäder saint dun i många qvalitéer $ ständig på lager $ billig hos	10	0	dun	Största lager af maskinrensad Gräs- , And- och Fågelfjäder saint Dun i många qvalitéer , ständigt på lager , billigt hos 	bib19227291_18960523_145289_62_0001_alto.xml-27-10
en fin kollerenbetssele samt prima fjäder och dun till kudde $	7	0	dun	En finare Kollerenbetssele samt prima Fjäder och Dun till kuddar . 	bib11653811_19021217_145317_194_0001_alto.xml-7-7
fredag den 29 innevarande april $ 10 $ m $ låta gårds a $ holmgren uti sig gård vid qvamtorget här i stad genom offentlig auktion försälja stor del af sig lösörebo $ nemligen $ guld $ silfver $ nysilfver $ messing $ koppar $ metall $ jernoch blecksaker $ glas $ porslin $ trä och laggkärl $ möbel $ såsom säng $ soffa $ bord $ stol $ dragkista $ lop och toilettspegel $ q vinsgångkläder $ sängkläder af dun och tagel $ väfstol $ bakredskap $ mangel $ spannmål och mjöllår $ åkdon $ bestå af trilla $ fjederkärra $ en $ med sele $ släde med suflett $ fyrhjulsvagn $ släde $ kälke $ flake $ rede $ flere par arbetshjul samt åka och arbetssele $ åkerbruksredskap $ såsom stifttröskverk $ slåttermaskin $ plog och harfrar m $ m $ säker och känna inropare erhålla två månad betalningsanstånd $ andra betala kontant $	80	0	dun	Fredagen den 29 innevarande April kl. 10 f. m . låter Gårdsegaren A . Holmgren uti sin gård vid Qvamtorget här i staden genom offentlig auktion försälja större delen af sitt lösörebo , nemligen : Guld , silfver , nysilfver , messing ; koppar , metall , jernoch blecksaker ; glas , porslin , trä- och laggkärl ; möbler , såsom sängar , soffor , bord , stolar , dragkista , lop och toilettspegel ; q vinsgångkläder , sängkläder af dun och tagel ; väfstol , bakredskap , mangel , spannmåls- och mjöllårar ; åkdon , bestående af trilla , fjederkärra , en par-droska med selar , släde med suflett , fyrhjulsvagn , slädar , kälkar , flakar , reden , flere par arbetshjul samt åk- och arbetsselar ; åkerbruksredskap , såsom stifttröskverk , slåttermaskin , plogar och harfrar m . m . Säkre och kände inropare erhålla två månaders betalningsanstånd ; andra betala kontant . 	bib11653790_18980415_145648_28_0004_alto.xml-7-80
pietet klä då en hund omsorgsfull i täcke och dun och utsätta den under någon minut för en köld af $ 110 grad $	9	0	dun	Pietet klädde då en hund omsorgsfullt i täcken och dun och utsatte den under några minuter för en köld af — 110 grader . 	bib15760600_18950207_146401_16_0003_alto.xml-161-9
på $ éa $ $ då husmor lägga $ $ halmvandlan $ framfara en af sig kosbor $ $ upptäokte hon fjäder och dun i denna $ ås och börja fundera på $ hvad denna månde betyda $	23	0	dun	På gåtan- Éa daS&gt ; då husmodern lade » » halmvandlan » framfor en af sina kosBor , \ uPPtäokte hon fjädrar och dun i dennas “ ås och började fundera på , hvad detta månde betyda . 	bib11653790_19031117_12541_90_0004_alto.xml-65-23
försälja all i hus befintlig lösegendom $ silfver $ koppar $ messing $ bleck och jernsaker $ husgeråd oell möbel af flera slag $ glas och porslin $ linne $ dun och sängkläder $ mansgångkläder $ kreatur $ 1 drägtig sto $ lie år $ 1 vallack $ 5 år $ 2 par oxe $ 14 $ ko $ 1 tjur $ 2 sluta $ 5 $ qviga $ deraf 2 betäcka $ 1 tjurkalf $ 6 $ tacka med lamm $ 2me svin samt höns $ köra och åkerredskap $ vagn $ kärra $ släde $ kälke $ plog $ harfva $ trädstock $ sladda $ vält $ 1 slåttermaskin $ $ tröskverk med skakverk $ kastmaskin $ blåsmaskin $ diverse handredskap $ trä och laggkärl $	30	0	dun	försäljas all i huset befintlig lösegendom , silfver , koppar , messing , bleck- och jernsaker , husgeråd oell möbler af flera slag , glas och porslin , linne , dun och sängkläder , mansgångkläder ; Kreatur : 1 drägtigt sto , li år , 1 vallack , 5 år , 2 par oxar , 14 st. kor , 1 tjur , 2 slutar , 5 st. qvigor , deraf 2 betäckta , 1 tjurkalf , 6 st. tackor med lamm , 2me svin samt höns ; kör- och åkerredskap : vagnar , kärror , slädar , kälkar , plogar , harfvar , trädstockar , sladdar , vältar , 1 slåttermaskin , 2:ne tröskverk med skakverk , kastmaskin , blåsmaskin , diverse handredskap , trä- och laggkärl . 	bib15873936_18950309_147385_30_0001_alto.xml-45-30
1 svedvi socken hålla onsdag den 9 denna från $ 3 $ m auktion $ då sterbhusdelegarne $ aflidne kopparslagare bergström derstädes låta försälja $ silfver $ koppar $ messing $ bleck och jernsaker $ glas och porslin $ linne $ dun och sängkläder $ husgeråd och möbel $ 1 byrå $ 1 säng $ soffa $ komod $ bord och stol $ 1 pendyl $ trä och laggkärl $ diverse handredskap och verktyg $ den aflidnes gångkläder $ m $ m $	41	0	dun	1 Svedvi socken hålles Onsdagen den 9 dennes från kl. 3 e. m auktion , då sterbhusdelegarne efter aflidne Kopparslagaren Bergström derstädes låta försälja : silfver , koppar , messing , bleck- och jernsaker , glas och porslin , linne- , dun- och sängkläder , husgeråd och möbler , 1 byrå , 1 säng , soffa , komod , bord och stolar , 1 pendyl , trä- och laggkärl , diverse handredskap och verktyg , den aflidnes gångkläder , m . m . 	bib15873936_18960905_147385_103_0004_alto.xml-38-41
genom offentlig auktion $ som förrätta å auktionskammare bära i stad torsdag il 31 i denna månad $ 10 $ m $ $ försälja aflidne $ handlande $ noäls qvarlåtenskap $ bestå af guld $ en guldur $ silfver $ koppar $ messing $ jern och träsak $ möbel $ såsom soffa $ skrifbord $ 1 enmanssäng $ kommod $ byrå $ skåp $ spelbord $ $ ocb väggspegel $ stol $ taburett och kullerstol $ sängkläder $ stoppa med fjäder $ dun ocb tagel $ gångkläder $ duktyg $ glas $ porslin ocb lerkärl $ jagt och fiskredskap $ jagttaflor i olja $ bibliotek $ bestå af svensk $ tysk $ fransk ocb engelsk litteratur m $ m $ carlshamn den 12 mars 1895 $	82	0	dun	Genom offentlig auktion , som förrättas å auktionskammaren bär i staden torsdagen ilen 31 i denna månad kl. 10 f. m . , försäljes aflidne f. handlanden F. Noäls qvarlåtenskap , bestående af guld , ett guldur , silfver , koppar , messing , jern- och träsaker , möbler , såsom soffor , skrifbord , 1 enmanssäng , kommoder , byrå , skåp , spelbord , tollette- ocb väggspeglar , stolar , taburetter och kullerstolar , sängkläder , stoppade med fjäder , dun ocb tagel , gångkläder , duktyg , glas , porslin ocb lerkärl , jagt- och fiskredskap , jagttaflor i olja , bibliotek , bestående af svensk , tysk , fransk ocb engelsk litteratur m . m . Carlshamn den 12 mars 1895 . 	bib15975090_18950319_148377_33_0004_alto.xml-83-82
utställning skola omfatta höns och kyckling af dansk och utländsk ras $ kapun $ poulard $ kalkon $ påfoglar $ perlhöns $ fasan $ and $ gås $ dufva af dansk och utländsk ras $ brefdufva $ $ och $ $ ägg $ fjäder $ dun $ skinn $ redskap $ maskin $ emballage $ foderämne $ gödning $ vetenskap liga hjelpmedel m $ ten $	45	0	dun	Utställningen skall omfatta höns och kycklingar af dansk och utländsk ras , kapuner , poularder , kalkoner , påfoglar , perlhöns , fasaner , änder , gäss , dufvor af dansk och utländsk ras , brefdufvor , sång- och prydnads-foglar , ägg , fjäder , dun , skinn , redskap , maskiner , emballage , foderämnen , gödning , vetenskap liga hjelpmedel m . tn . 	bib15873371_18950423_145112_109_0003_alto.xml-49-45
onsdag den 25 och torsdag den 26 september med början hvardera dag $ 10 $ m $ låta aflidne kapten och riddare h $ järtas sterbhus genom offentlig auktion vid egendom samuelsdal invid falun försälja $ möbel $ såsom 2 förmakssoffor med 2 stor och 4 liten emmastol $ 8 stol af mahogny $ draperior $ trymå $ k tagöre $ imperialsäng af valnöt $ mahognysäng $ jernsängar $ lavoirer af mahogny $ valnöt och furu $ tvättställ för två $ resårssoffa nied 6 stol $ chaislongue med 4 stol och 2 taburett $ gungstol $ skrifbord af björk $ matsalsbord $ spelbord $ nattduksbord $ bufff af mahogny $ matsalsstol $ wienerstolar $ skrifstolar af valnöt $ chiffonier af ek $ byrå $ skåp af ek med byrå $ väggspegel $ salsklocka $ bokhylla $ stor och liten $ lampa $ $ por $ ampel $ rulla och hänggardiner $ kornisch $ bordduk $ tafla $ dörrstycke $ gångmatta af linne $ trasmatta $ sängmatta $ sängkläder af tagel och dun $ nysilfver $ porslin $ deraf en servis för 24 person $ vinglas $ dricksglas $ diverse $ thékök af messing $ malmstake $ messingsstake $ verandastakar $ köksmöbel $ koppar $ par $ jern och blecksaker $ mjölkkärl $ badkar af koppar $ islår $ bakredskap $ laggkärl $ väfstol med tillbehör $ strykugn med 7 $ jern $ klädstreck $ vefmangel $ decimalvåg $ trädgårdsmöbel $ verandabord af jern $ trappstege $ täckosbåge $ reseffekter $ planch verk $ tidskrift $ makulatur $	171	0	dun	Onsdagen den 25 och Torsdagen den 26 September med början hvardera dagen kl. 10 f. m . låter aflidne Kaptenen och Riddaren H . Järtas Sterbhus genom offentlig auktion vid egendomen Samuelsdal invid Falun försälja : Möbler : såsom 2 Förmakssoffor med 2 större och 4 mindre Emmastolar , 8 Stolar af mahogny , Draperior , Trymå , K tagöre , Imperialsäng af valnöt , Mahognysäng , Jernsängar , Lavoirer af mahogny , valnöt och furu , Tvättställ för två , Resårssoffa nied 6 stolar , Chaislongue med 4 Stolar och 2 Taburetter , Gungstol , Skrifbord af björk , Matsalsbord , Spelbord , Nattduksbord , Buffet af mahogny , Matsalsstolar , Wienerstolar , Skrifstolar af valnöt , Chiffonier af ek , Byrå , Skåp af ek med byrå , Väggspeglar , Salsklocka , Bokhyllor , större och mindre , Lampor , Taklam¬ por , Ampel , Rull- och Hänggardiner , Kornischer , Borddukar , Taflor , Dörrstycken , Gångmattor af linne , Trasmattor , Sängmattor , Sängkläder af tagel och dun , Nysilfver , Porslin , deraf en Servis för 24 personer , Vinglas , Dricksglas , Diverse : Thékök af messing , Malmstakar , Messingsstakar , Verandastakar , Köksmöbler , Koppar- , par , Jern- och Blecksaker , Mjölkkärl , Badkar af koppar , Islår , Bakredskap , Laggkärl , Väfstol med tillbehör , Strykugn med 7 st. jern , Klädstreck , Vefmangel , Decimalvåg , Trädgårdsmöbler , Verandabord af jern , Trappstege , Täckosbåge , Reseffekter , Planch verk , Tidskrifter , Makulatur . 	bib11653790_18950920_145648_39_0004_alto.xml-1-171
du ha lemna du dun till en mjuk paulun $	4	0	dun	du har lemnat ditt dun till en mjuk paulun . 	bib11653815_18961114_146944_91_0003_alto.xml-52-4
bomullsband 60 öre dun $ klädaingskuappnr 10 öre dass $ synål	3	0	dun	Bomullsband 60 öre dun , Klädaingskuappnr 10 öre dass , Synålar 	bib19277330_18951019_0_124_0003_alto.xml-145-3
