sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
insigt i all $ som tillhöra fack $ och som sätta i tillfälle att deråt egna mera intresse och tid än som ar möjlig för de $ hvilka drifva annan sy solsältning fäsom egentlig näring $	6	0	fack	insigt i allt , som tillhörde facket , och som sattes i tillfälle att deråt egna mera intresse och tid än som ar möjligt för dem , hvilka drifva annan sys solsältning fäsom egentlig näring . 	bib19277277_18950815_147683_220_0005_alto.xml-29-6
don ytterst på östra land belägen $ hvilket dra så lång tid och kråft stor insigt i fack $ vara afslutadt $ så att nämda dag ångare för $ gång der inta malmlast $ om $ ton $	17	0	fack	don ytterst på östra landet belägna , hvilket dragit så lång tid och kråft stora insigter i facket , är afslutadt , så att nämda dag ångare för första gången der intagit malmlast , om 3,200 tons . 	bib19227462_18951008_147640_234_0003_alto.xml-18-17
ytterlig studie i fack vistas i leipzig $ wien och paris $ etablera han den 1 juli 1885 den bekant bokhandelsaffär nordin $ josephson vid drottninggatan i stockholm $	3	0	fack	ytterligare studier i facket vistats i Leipzig , Wien och Paris , etablerade han den 1 juli 1885 den bekanta bokhandelsaffären Nordin & Josephson vid Drottninggatan i Stockholm . 	bib11653790_18970316_145648_21_0002_alto.xml-60-3
den vara skada $ ty man vara mycket duglig i sig fack $ tilläde han beklaga $	11	0	fack	Det var skada , ty mannen var mycket duglig i sitt fack , tilläde han beklagande . 	bib19277330_18951109_0_133_0002_alto.xml-170-11
plats för on nykter ooh inom sig fack full kunnijj ooh petent rörarbetare $ torde för vid upplysning hänväuda fven ansökning med bifoga betyg torde inlemna $	7	0	fack	plats för on nykter ooh inom sitt fack fullt kunnijj ooh petent rörarbetare , torde för vidare upplysning hänväuda fven ansökningar med bifogade betyg torde inlemnas . 	bib19277277_18950408_147683_96_0008_alto.xml-167-7
bland de $ som i år erhålla kungl $ kommerskollegii förord till erhålla af stat stipendium för att i utland förvärfva ytterlig insigt och yrkesskicklighet i sig fack $ vara jemväl en $ $ mönsteråsbo $ urmakare bernhard johansson $	27	0	fack	Bland dem , som i år erhållit kungl , kommerskollegii förord till erhållande af statens stipendium för att i utlandet förvärfva ytterligare insigter och yrkesskicklighet i sitt fack , är jemväl en f. d. Mönsteråsbo , urmakaren Bernhard Johansson . 	bib11653811_19000613_145317_89_0002_alto.xml-27-27
den engelsk fack fö rening skongressen i cardiff ha åter visa $ att en sansad $ gammal $ fackförening fullständig återfå ledning $ i den att den roed den stor majoritet af $ representera röst mot $ förka stat den föregående år anta socialistresolutionen om jord och produktionsmedlem $ nationalisering $ eller öfvergång i stat ego $	2	0	fack	Den engelska fack fö rening skongressen i Cardiff har åter visat , att de sansade » gamla » fackföreningarna fullständigt återfått ledningen , i det att den roed den stora majoriteten af 607,000 representerade röster mot 186,000 förka stat den föregående år antagna socialistresolutionen om jordens och produktionsmedlems » nationalisering » eller öfvergång i statens ego . 	bib15873936_18950912_147385_107_0003_alto.xml-89-2
direktion förklara sig anse den vara olämplig $ att genom före ståndare inträde i direktion fack man antal skola förstärka på en öfrig bekostnad	15	0	fack	direktionen förklarat sig anse det vara olämpligt , att genom före ståndarens inträde i direktionen fack männens antal skulle förstärkas på de öfrigas bekostnad 	bib11653811_19011220_145317_197_0002_alto.xml-23-15
mängd äfventyr i amerika och ej utan framgång ha försöka sig i olik fack $	13	0	fack	mängd äfventyr i Amerika och ej utan framgång ha försökt sig i olika fack . 	bib19225758_18950805_144022_179_0002_alto.xml-277-13
följa $ beträffande minderårig användande i sågverksrörelse $ anse han i motsats till förslag $ att de minderårig användning i denna fack utan all kontroll af lag eller förordning skola vara i hög grad betänklig och komma att verka nedtrycka på en talrik arbetarebefolkning $	21	0	fack	följande : Beträffande minderåriges användande i sågverksrörelse , ansåge han i motsats till förslaget , att de minderåriges användning i detta fack utan all kontroll af lag eller förordning skulle vara i hög grad betänklig och komma att verka nedtryckande på en talrik arbetarebefolkning . 	bib11653790_18991110_145648_88_0003_alto.xml-31-21
