sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
bröllop sira i aston ä stor hotell i linköping $ därwid stadsingeniören gustaf i $ corlin fammanwiaes med fröken gerda sjöstedt $ dotter lill framlida apotekare i wrigstad sjöstedt och han likaledes framliden maka $ föda aschier $	24	0	framlida	Bröllop siras i aston ä Stora hotellet i Linköping , därwid stadsingeniören Gustaf I . Corlin fammanwiaes med fröken Gerda Sjöstedt , dotter lill framlidne apotekaren i Wrigstad Sjöstedt och hans likaledes framlidna maka , född Aschier . 	bib15975087_18950406_145596_54_0002_alto.xml-53-24
axel edvard ekberg i kärna och fröken hilda maria olsson $ dotter till framliden spegelfabrikören olsson i karlstad och hane likaledes framlida maka $	21	0	framlida	Axel Edvard Ekberg i Kärna och fröken Hilda Maria Olsson , dotter till framlidne spegelfabrikören Olsson i Karlstad och hane likaledes framlidna maka . 	bib15650837_18950606_146391_129_0002_alto.xml-16-21
lyfta arfvingarno efter framlida friherrinnan rappo på trollebo hos sterbhus utredningsman $ löjtnant n $ $ johansson i hvetlanda $ i lördag $	3	0	framlida	lyfte arfvingarno efter framlida friherrinnan Rappo på Trollebo hos sterbhusets utredningsman , löjtnant N . F. Johansson i Hvetlanda , i lördags . 	bib19277277_18950320_147683_78_0004_alto.xml-41-3
å extra kommunalstämma i söndag välja till ledamot i kommunalnämden efter framlida 8 $	11	0	framlida	Å extra kommunalstämma i söndags valdes till ledamot i kommunalnämden efter framlidne 8 . 	bib15761570_18950424_146176_70_0002_alto.xml-124-11
$ standards $ blifwande befälhafware $ baron freedrichs $ ha af kejsare motta befallning $ att yacht flall gä af stapel den 10 instunda mars $ alexander den tredjes födelsedag och tillika ärsdagen af den besök $ soni den framlida tsar aflägga pä fransta örlogssartyget $ jsly $ på köpenhamn redd $	39	0	framlida	" Standards ' blifwande befälhafware , baron Freedrichs , har af kejsaren mottagit befallning , att yachten flall gä af stapeln den 10 instundande marS , Alexander den tredjes födelsedag och tillika ärSdagen af det besök , soni den framlidne tsaren aflade pä fransta örlogssartyget " Jsly " på Köpenhamns redd . 	bib11653811_18950213_145317_25_0003_alto.xml-73-39
förlofning ha tillkänna emellan kansliråd georg carlson och vi talangfull målarinna mina bredberg $ dotter af framlida statsråd h $ $ bredberg ooh han efterlefvande maka $ föda $ smerling $	16	0	framlida	Förlofning har tillkännagifvits emellan kanslirådet Georg Carlson och vår talangfulla målarinna Mina Bredberg , dotter af framlidne statsrådet H . W. Bredberg ooh hans efterlefvande maka , föd | Smerling . 	bib19277277_18950311_147683_69_0003_alto.xml-108-16
framlida professor malmsten och andra framstående läkare rekommenderadt och användt	0	0	framlida	framlidne professor Malmsten och andra framstående läkare rekommenderadt och användt 	bib15978012_18950725_148361_170_0004_alto.xml-20-0
$ ha egna år minnespänning åt sig framlida ledamot $ president i kommerskollegium fri herre c $	7	0	framlida	■Vetenskapsakademien har egnat årets minnespänning åt sin framlidne ledamot , presidenten i kommerskollegiet fri herre C . 	bib19225758_18950402_144022_77_0003_alto.xml-66-7
framlida broder $ $ $ litograf schumburg $ skänka $ $ $ hvaraf årlig ränta skola $ sedan en liten del lägga till kapital $ genom direktion tor pensionsinrättning fördela bland nödstälda pensionär $	0	0	framlida	framlidne broder , f. d. litografen Schumburg , skänkt 1,000 kr. , hvaraf årliga räntan skall , sedan en mindre del lagts till kapitalet , genom direktionen tor pensionsinrättningen fördelas bland nödstälda pensionärer . 	bib19227462_18951030_147640_253_0002_alto.xml-151-0
vid offentlig auktion $ som förrätta å svaneholms herregård i svanskogs socken af vermlands län tisdag den 22 innevarande oktober månad ilockan lie förmiddag $ komma $ jemlikt borgenär beslut $ att till försäljning utbjuda nedannämd fastighet $ tillhörig framlida enkefru emilia ugglas konkursbo $ nämligen $ $ $ $ mantal hörra skarbol $ v mantal grönsjön $ n $ 24 mantal rolfsbyn och 1 mantal hög jemte derpå befintlig tullqvarn $	39	0	framlida	Vid offentlig auktion , som förrättas å Svaneholms herregård i Svanskogs socken af Vermlands län Tisdagen den 22 innevarande Oktober månad ilockan li förmiddagen , kommer , jemlikt borgenärernas beslut , att till försäljning utbjudas nedannämde fastigheter , tillhörige framlidna enkefru Emilia Ugglas konkursbo , nämligen : * / # mantal Hörra Skarbol , Vs mantal Grönsjön , n / 24 mantal Rolfsbyn och 1 mantal Högen jemte derpå befintlig tullqvarn . 	bib15760600_18951017_146401_123_0004_alto.xml-70-39
