sentence_lemma	sentence_token	target_index	original_word
öfverrock af henric lundberg i $ singborg impregnera tyg $ olik färg och storlek $ sälja å 35 och 38 kr $	öfverrockar af Henric Lundbergs i Hel¬ singborg impregnerade tyger , olika färger och storlekar , säljas å 35 och 38 Kr . 	11	frg
hvad tjenar den till att undersöka vi mosse $ påvisa de odlingsduglighet och ofantlig omfång samt i liflig färg måla rik $ le skörd $ som der skola kunna vaja $ då domänstyrelse icke ens släppa $ sig en stenbacke till bygnadstomter vid en kyrkoplats utan att först hafva göra tusen invändning och vålla mångårslådg tidsutdrägt $ och då inom regering sakna man med blick för denna landsända verklig be hof och med kraft till initiativ $ samt då vid riksdag heller sänka sig mil höner i norrström än anslå någon bråkdel af de till ntdikning af vi vatten sjuk mark $ hvilkas myllrik botten längta att skåda sol ljus och klä i grönska drägt $	Hvad tjenar det till att undersöka våra mossar , påvisa deras odlingsduglighet och ofantliga omfång samt i lifliga färger måla rika , leende skördar , som der skulle kunna vaja — då domänstyrelsen icke ens släpper ifrån sig en stenbacke till bygnadstomter vid en kyrkoplats utan att först hafva gjort tusen invändningar och vållat mångårslåDg tidsutdrägt , och då inom regeringen saknas män med blick för denna landsändas verkliga be hof och med kraft till initiativ , samt då vidare riksdagen heller sänker sina mil Höner i Norrström än anslår någon bråkdel af dem till ntdikning af våra vatten sjuka marker , hvilkas myllrika botten längtar att skåda solens ljus och klädas i grönskande drägt ? 	18	frg
denna afton visa sig i sydvest en eldkula $ hvilken $ oupphörligen skifta färg $ böja och sänka sig vid synrandon till dess den försvinna $	Denna afton visade sig i sydvest en eldkula , hvilken , oupphörligen skiftande färg , böjde och sänkte sig vid synrandon till dess den försvann . 	13	frg
en vara $ som enligt förslag böra tullbehandla efter viga $ äro följa fosforsyra $ komposition eller hem färg $ ny rubrik $ $ glycerin $ viss slag af instrumenter $ kassakista och kassa skåp $ maskinremmar $ salpetersyrad silf veroxid $ lapis $ $ skyffel $ spade $ grepe och högaffel af jern $ med och utan skaft $ symaskin $ såg $ sågbladsäm nen och vitriol $	De varor , som enligt förslaget böra tullbehandlas efter vigt , äro följande Fosforsyra , kompositions- eller hem färger ( ny rubrik ) , glycerin , vissa slag af instrumenter , kassakistor och kassa skåp , maskinremmar , salpetersyrad silf veroxid ( lapis ) , skyfflar , spadar , grepar och högafflar af jern , med och utan skaft , symaskiner , sågar , sågbladsäm nen och vitriol . 	18	frg
och hvilken sandi sand sorn kanske en gång vara hvit ooh ren $ men som nn vara en ohygglig pulver at obestämd svartbrun färg $ stb kande och glöda het $	Och hvilken sandi Sand sorn kanske en gång varit hvit ooh ren , men som nn är ett ohyggligt pulver at obestämd svartbrun färg , stb kande och glödande het . 	23	frg
solli jolian liondesson i förlösa försälja sig egande och innehafva hemman va mtl mo 4 derstädes $ så låta han genom oifentlig auktion $ som förrätta i förlösa tisdag den 31 i denna månad och börja $ lie $ $ till den högstbjudande försälja $ möbel $ jern och träsak af diverse slag $ kreatur $ $ lättkörd häst $ af de en sto $ sto i inte och häst i $ år gammal $ hvilka äro försäkra i kalmar och kronoberg län hästförsäkringsbolag och passande $ till vagn som arbetshäst $ samt en unghäst $ 3 år gammal $ brun till färg $ $ par ung dragoxe om 13 qvart $ en par körstora stut $ 8 $ god mjölkesko $ af hvilka en del ha och en del äro nära tillreda för kalfning $ 6 $ stor och liten ungkreatur $ af de 5 $ stut och en qviga $ 10 $ få $ åker och körredskap $ $ så kalla skåningevagnar $ en träfjedervagn $ 6 $ god arbetsvagn $ $ skrinda $ kälke $ dröjar $ plog $ jern och träharfvar $ en klysharf $ $ dubbelvältar $ seldon $ par och enbetsselar $ en nära ny gödselkista $ sättrar och lärår $ resoch halfhäckar $ botygsvirke $ en sädesharpa $ en kastmaskin samt en slagtröskverk $ i god stånd $ m $ m $ säker och känna köpare erhålla 3 månad räntefri betalningsanstånd $	Solli Jolian liondesson i Förlösa försålt sitt egande och innehafvande hemman Va mtl mo 4 derstädes , så låter han genom oifentlig auktion , som förrättas i Förlösa tisdagen den 31 i denna månad och börjas kl. li f.m. , till den högstbjudande försälja : möbler , jern- och träsaker af diverse slag ; kreatur : 2:ne lättkörda hästar , af dem ett sto , stoet i inte och hästen i 8:de året gamla , hvilka äro försäkrade i Kalmar och Kronobergs läns hästförsäkringsbolag och passande såväl till vagns- som arbetshästar , samt en unghäst , 3 år gammal , brun till färgen , 2:ne par unga dragoxar om 13 qvarter , ett par körstora stutar , 8 st. goda mjölkeskor , af hvilka en del ha och en del äro nära tillreds för kalfning , 6 st. större och mindre ungkreatur , af dem 5 st. stutar och en qviga , 10 st. får ; åker- och körredskap : 2:neliggfjedereller så kallade skåningevagnar , en träfjedervagn , 6 st. goda arbetsvagnar , 2:ne skrindor , kälkar , dröjar , plogar , jern- och träharfvar , en klysharf , 2:ne dubbelvältar , seldon : par- och enbetsselar , en nära ny gödselkista , sättrar och lärår , resoch halfhäckar , botygsvirke , en sädesharpa , en kastmaskin samt ett slagtröskverk , i godt stånd , m . m . Säkre och kände köpare erhålla 3 månaders räntefritt betalningsanstånd . 	102	frg
vi denna landskap innersta karakter $ den stämning $ den musik $ hel den färg och doft $	oss detta landskaps innersta karakter , dess stämningar , dess musik , hela dess färg och doft . 	14	frg
bo i en gård $ som han till färg tro vara ljusgul $	bott i en gård , som han till färgen trodde vara ljusgul . 	8	frg
skolsal vara vacker dekorera med grön och flagga och den rymlig slöjdsal innanför få tjänstgöra som serveringslokal $ där 8 $ flicka i med en svensk färg dekorera drägter sköta uppassning $	Skolsalen var vackert dekorerad med grönt och flaggor och den rymliga slöjdsalen innanför fick tjänstgöra som serveringslokal , där 8 st. flickor i med de svenska färgerna dekorerade drägter skötte uppassningen . 	26	frg
af konung namnchiffer i guld mot bakgrund af en vecka hermelinsmantel och derofvan den kunglig krona i sig färg $	af konungens namnchiffer i guld mot bakgrunden af en veckad hermelinsmantel och derofvan den kungliga kronan i sina färger . 	18	frg
