sentence_lemma	sentence_token	target_index	original_word
sädant sätt stulle stogsafkaftningen bliswa jemn och uthållig samt för all tid blifwa till gagn för hemman fortgäende odling och förkoftan $	sädant sätt stulle stogsafkaftningen bliswa jemn och uthållig samt för alla tider blifwa till gagn för hemmanets fortgäende odling och förkoftan . 	14	gagn
den anföra $ och då derjemte äfven för den gröfre virke öka e afsättningstillfällen i viss mån måste genom denna jernvägsanläggniug uppstå $ anse styrelse den samma skola medföra väsentlig gagn för krona såsom skog egare $	det anförda , och då derjemte äfven för det gröfre virket öka e afsättningstillfällen i viss mån måste genom denna jernvägsanläggniug uppstå , anser styrelsen den samma skola medföra väsentligt gagn för kronan såsom skogs egare . 	30	gagn
i denna afseende finna ej anledning till twifwel derom $ att $ ifall den af direktör hummel söka koncession affläs $ målerås $ mönsteräsbygden komma att fortfarande säsom hittills sakna den jernwägssörbindelse $ simma mäste anse och allmän erkänna wara för ort af synnerlig gagn $	I detta afseende finnes ej anledning till twifwel derom , att , ifall den af direktören Hummel sökta koncessionen affläs , Målerås — Mönsteräsbygden kommer att fortfarande säsom hittills sakna den jernwägssörbindelse , sam mäste anser och allmänt erkänneS wara för orten af synnerligt gagn . 	44	gagn
om säledes swinuvpfödningen inom tvär län bringa pä sig rätt plats $ nämligen tillwarataaes säsom en binäring till jordbruk $ samt ställa i sig rätt förhällande till denna och en oswall antyda göra erfarenhet $ vara jag förwissad om att denna binäring stall lända ben jordbrukande befolkning i wärl län till gagn och att wi med begagna af mera ihärdighet wid möta tillfällig swärigheter slutligen stola komma derhän $ att wi inom denna omräde ej behöfwa stä efter mänga af en sydlig belägen län i wart land $	Om säledes swinuvpfödningen inom tvärt län bringas pä sin rätta plats , nämligen tillwarataaes säsom en binäring till jordbruket , samt ställes i sitt rätta förhällande till detta och de oswall antydda gjorda erfarenheterna , är jag förwissad om att denna binäring stall lända ben jordbrukande befolkningen i wärl län till gagn och att wi med begagnande af mera ihärdighet wid mötande tillfälliga swärigheter slutligen stola komma derhän , att wi inom detta omräde ej behöfwa stä efter mänga af de sydligare belägna länen i wart land . 	51	gagn
låta borttransportera jord för att använda den till enskildt eller jernväg gagn $	låtit borttransportera jord för att använda den till enskildt eller jernvägens gagn ? 	11	gagn
räkna för närvarande 40 medlem och ha visa sig vara till stor gagn för delegarne $	räknar för närvarande 40 medlemmar och har visat sig vara till stort gagn för delegarne . 	12	gagn
ibland fpftct $ ty hvarje berättelse om tapper och själfuppoffrande handling $ hvilka dsa ehekildö utföra tilt sig fädernesland gagn och ära $ skola icke förfela att hos läsare mgjute eli anda af sund oeh kraft $ gara fosterlandskärlek $	ibland fpftct , ty hvarje berättelse om tappra och själfuppoffrande handlingar , hvilka dsa ehekildö utfört tilt sitt fäderneslands gagn och ära , skall icke förfela att hos läsaren mgjute eli anda af sundare oeh kraft ' gare fosterlandskärlek . 	19	gagn
förslag $ att olik slag donationsjord finna $ all donationsjord vara af lika ursprung $ men ändamål med donationsjord vara af två slag $ nämligen jord inom stad till bebyggande och jord utom densamma till stad gagn och förkofran i öfrig $	förslag , att olika slags donationsjord funnes — all donationsjord vore af lika ursprung — men ändamålet med donationsjorden vore af två slag , nämligen jorden inom staden till bebyggande och jorden utom densamma till stadens gagn och förkofran i öfrigt . 	36	gagn
att den ny regering häfda sill rätt att bryta med den ämbetsmannamässig befordringsslentrianeu $ den $ som endast räkna en år $ vederbörande $ sitta $ i verk $ när den gälla att till gagn för stat och sak sätta rätt man på rätt plats $	att den nya regeringen häfdat sill rätt att bryta med den ämbetsmannamässiga befordringsslentrianeu — den , som endast räknar de år , vederbörande » suttit » i verket — när det gäller att till gagn för staten och saken sätta rätt man på rätt plats . 	34	gagn
mycket lämplig att motta den viktig uppdrag till gagn för all berättiga samhällsintresse $	mycket lämplig att mottaga det viktiga uppdraget till gagn för alla berättigade samhällsintressen . 	8	gagn
