sentence_lemma	target_index	cluster	lemma	sentence_token	identifier
himmel sväfvar en fullkomlig svart skifva $ omgifven af en präktig gloria med stråle som af silfver $ mellan hvilka röd flamma spela $	11	0	gloria	himmel sväfvar en fullkomligt svart skifva , omgifven af en präktig gloria med strålar som af silfver , mellan hvilka röda flammor spela . 	bib15975090_18960627_148377_79_0004_alto.xml-20-11
altartafla vara infatta i en stor ornering af imitera ek $ öfverst kröna af en förgyld kalk omgifven af gloria och derunder en dödskalle $ en spjut och en ringla orm $	19	0	gloria	Altartaflan är infattad i en större ornering af imiterad ek , öfverst krönt af en förgyld kalk omgifven af gloria och derunder en dödskalle , ett spjut och en ringlande orm . 	bib15975090_18950622_148377_73_0002_alto.xml-46-19
gloria syna till wenster bortom äsnefolan och en rödklädd ung man sitta uppe i en träd och utsträcka ena arm $	0	0	gloria	glorior synas till wenster bortom äsnefolan och en rödklädd ung man sitter uppe i ett träd och utsträcker ena armen . 	bib19277301_18950902_145146_71_0002_alto.xml-91-0
triangelformiga öfverbyggnad i grå $ imitera marmor $ hvilken krones af en gyllne gloria med den allseende öga $	13	0	gloria	triangelformiga öfverbyggnaden i grå , imiterad marmor , hvilken krones af en gyllne gloria med det allseende ögat . 	bib15975090_18961105_148377_138_0002_alto.xml-150-13
hår ha lossna i nacke och omgaf ansikte lik en gloria $	10	0	gloria	Håret hade lossnat i nacken och omgaf ansiktet lik en gloria . 	bib15761097_18950110_145020_4_0004_alto.xml-34-10
öppna hydda dörr $ och kristusbarn med gloria kring sig hufvud bli synlig $	7	0	gloria	öppnas hyddans dörr , och Kristusbarnet med glorian kring sitt hufvud blir synligt . 	bib15650837_18950516_146391_113_0002_alto.xml-134-7
på den tofviga hjässa sitta en stor $ svart fågel $ hvilken stundom flaxa med en par förfärlig ving och tycka vara den enda med lif begåfva varelse i denna hemsk $ af en cirkelrund gloria omgifna tafla $	35	0	gloria	På dess tofviga hjässa satt en stor , svart fågel , hvilken stundom flaxade med ett par förfärliga vingar och tycktes vara den enda med lif begåfvade varelsen i denna hemska , af en cirkelrund gloria omgifna tafla . 	bib11653790_18980225_145648_16_0006_alto.xml-42-35
bland namn af rang i göteborg historia en af en mycket betyda jag veta $ omkring densamma stråla städs $ en gloria som sol klar $ och wcem så nämna den $	21	0	gloria	Bland namn af rang i Göteborgs historia ett af de mest betydande jag vet , omkring detsamma strålar städs ’ en gloria som solen klar , och Wcem så nämnes den . 	bib11653811_18990429_145317_64_0003_alto.xml-118-21
nu öppna sig en vid gård med grå huslänga $ pilgrimskättar $ en väl digt klocktorn resa sig på höger hand och rak fram kyrka fasad $ utklu tad på den smaklös sätt med grön list $ förgylla kupol $ helgonbild med gloria $ kandelaberliknande tin gestar $ snäcka $ pilaster och frukt slinga $ en fasaväckande prof på rysk rokoko $	42	0	gloria	Nu öppnar sig en vid gård med grå huslängor — pilgrimskättar — ett väl digt klocktorn reser sig på höger hand och rakt fram kyrkans fasad , utklu tad på det smaklösaste sätt med gröna lister , förgyllda kupoler , helgonbilder med glorior , kandelaberliknande tin gestar , snäckor , pilastrar och frukt slingor , ett fasaväckande prof på rysk rokoko . 	bib11653811_19030909_145317_139_0001_alto.xml-125-42
en gloria kring den smal $ blek ansigte och falla öfver axel nedåt rygg i rik massa af vågig guldbrun $	1	0	gloria	en gloria kring det smala , bleka ansigtet och föll öfver axlarna nedåt ryggen i rika massor af vågigt guldbrunt . 	bib11653811_19030704_145317_101_0004_alto.xml-14-1
d $ r ekholm ha själf observera denna naturföreteelse och äfven hvarje middag observera sol $ hvilken då visa sig omhölja af en disig gloria $	24	0	gloria	D : r Ekholm hade själf observerat dessa naturföreteelser och äfven hvarje middag observerat solen , hvilken då visade sig omhöljd af en disig gloria . 	bib11653838_19020627_147024_26_0003_alto.xml-28-24
$ stor tid $ $ efter hvilka den otålig hjertat ofta på en sjuklig sätt längta $ äro $ se på afstånd $ omgifua af en gloria $ som blott såsom nöd och trångmål komma till medvetande hos en då lefvande samtida $	26	0	gloria	» stora tiderna » , efter hvilka det otåliga hjertat ofta på ett sjukligt sätt längtar , äro , sedda på afstånd , omgifua af en gloria , som blott såsom nöd och trångmål kom till medvetande hos de då lefvande samtida . 	bib15975090_18950309_148377_29_0002_alto.xml-161-26
i fält derunder en kristusfigur $ bakom denna en hufwud med grätt skägg och gloria $	14	0	gloria	I fältet derunder en Kristusfigur , bakom denna ett hufwud med grätt skägg och gloria . 	bib19277301_18950819_145146_67_0002_alto.xml-86-14
kring den stackars sigismus $ verklig månsken $ sorn blef allt klar och klar $ tills den gjuta sig som en gloria kring konungason $	21	0	gloria	kring den stackars Sigismus , verkligt månsken , sorn blef allt klarare och klarare , tills det göt sig som en gloria kring konungasonen ... 	bib19277277_18951201_147683_328_0003_alto.xml-98-21
han gyllene hufvud omstrålaa af en gloria $ och han bre ut sig arm mot en otalig $ som försmäkta här nere och sorn $ looka af ljus $ sväfva han till möte $ en enda $ massa af grä gestalt $ som all sträcka sig arm mot den inträda ooh som alia med sig tom öga blicka mot befriare med samma bliok af stum längtan $	6	0	gloria	Hans gyllene hufvud omstrålaa af en gloria , och han breder ut sina armar mot de otaliga , som försmäkta här nere och sorn , lookade af ljuset , sväfva honom till mötes — en enda sammanträngd- massa af grä gestalter , som alla sträcka sina armar mot den inträdande ooh som alia med sina tomma ögon blicka mot befriaren med samma bliok af stum längtan . 	bib15873371_18950111_145112_10_0003_alto.xml-62-6
den räldhågade nu märka $ att en hvit gloria omgifver den annalkande hufvud och skuldra $ bli denna han för mycket $	8	0	gloria	den räldhågade nu märker , att en hvit gloria omgifver den annalkandes hufvud och skuldror , blir detta honom för mycket . 	bib11653838_19010118_147024_3_0002_alto.xml-102-8
öfver denna imponera vimmel af statsklok liufvuden $ kring hvilka den blek höstsol lägga en mild gloria $	16	0	gloria	öfver detta imponerande vimmel af statskloka liufvuden , kring hvilka den bleka höstsolen lade en mild gloria . 	bib19227291_18971023_145289_128_0002_alto.xml-7-16
den lång $ afgöra kabinettssammanträde slut samma intryck som en man $ hvilken förr än han hoppa blifvit lätta från en allt för tung börda $ och sir william harcourts fetlagd anlete vara omgifvet af sig vanlig gloria af god lynne $	37	0	gloria	det långa , afgörande kabinettssammanträdets slut samma intryck som en man , hvilken förr än han hoppats blifvit lättad från en allt för tung börda ; och sir William Harcourts fetlagda anlete var omgifvet af sin vanliga gloria af godt lynne . 	bib19225758_18950627_144022_146_0001_alto.xml-37-37
vi land ila sorn ofvan säga neka plats för denna uppsats $ kanske af fruktan att tidning läsare skola känna sig missnöjd $ med en af norrby föreslå oell försvara formulärändringarne $ men trolig för att icke den stor teolog skola förlora någon af den gloria $ han from men kortsynt beundrare måla kring lian bild $	45	0	gloria	Vårt Land Ilar sorn ofvan sades nekat plats för denna uppsats , kanske af fruktan att tidningens läsare skulle känna sig missnöjde , med de af Norrby föreslagna oell försvarade formulärändringarne , men troligare för att icke den store teologen skulle förlora något af den gloria , hans fromma men kortsynta beundrare målat kring lians bild . 	bib15978012_18950119_148361_16_0002_alto.xml-113-45
de stå som triumfator i en gloria af mjöldam $	6	0	gloria	De stå som triumfatorer i en gloria af mjöldam . 	bib15978012_18950110_148361_8_0002_alto.xml-1-6
den förstnämd vara af mycket stor dimension och ganska vacker $ omgifven af en bred förgyld ram samt derofvan en allseende öga inom en gloria och omgifvet af tolf stjerna $	24	0	gloria	Den förstnämda är af mycket stora dimensioner och ganska vacker , omgifven af en bred förgyld ram samt derofvan ett allseende öga inom en gloria och omgifvet af tolf stjernor . 	bib15975090_18951221_148377_151_0002_alto.xml-39-24
stråla glans stälde den gammal sierska en ung make horoskop $ och si $ all båda glädje lycka och fröjd $ och en ung glänsa solstråle tycka koncentrera sig skimra lik en gloria på brudpar blänka koppartak $ på den glittra fönsterruta $	32	0	gloria	strålande glans stälde den gamla sierskan de unga makarnes horoskop , och si , allt bådade glädje lycka och fröjd , och de unga glänsande solstrålarne tycktes koncentrerat sig skimrande likt en gloria på brudparets blänkande koppartak , på dess glittrande fönsterrutor . 	bib19277180_18951230_147374_105_0004_alto.xml-23-32
än en gång återkomma i den ung qvinna minne den gammal $ glömma kyrkogård $ med den grå dimma blekna för den röd gloria af en komma dag och en en rosig ljusstråle leka öfver en ny graf $	23	0	gloria	Än en gång återkommer i den unga qvinnans minne den gamla , glömda kyrkogården , med den grå dimman bleknande för den röda glorian af en kommande dag och en en rosig ljusstråle lekande öfver en ny graf . 	bib15873371_18951213_145112_340_0002_alto.xml-171-23
