sentence_lemma	sentence_token	target_index	original_word
en tågförare $ en konduktör och en par passagerare ängö föga skola dor $	En tågförare , en konduktör och ett par passagerare Ängö mindre ska dor . 	4	konduktr
och svensk $ säga sig ha 3 million på ficka o s $ konduktör ha särskildt lägga marke till den venstra öga nedhängande ögonlock $ och sedan en celeber postamatörernas porträtt förevisa han $ utpeka han sidney yennie som lik den person $ med hvilken han samtala $	och svenska , sade sig ha 3 millioner på fickan o s v. Konduktören hade särskildt lagt marke till det venstra ögats nedhängande ögonlock , och sedan de celebra postamatörernas porträtt förevisats honom , utpekade han Sidney Yennie som lik den person , med hvilken han samtalat . 	13	konduktr
skola man af konduktör till expedition införa en gynnare som $ tjufåkt $ $ mea han anfalla då i väntsal med hugg ooh slag af en tjugotal kamrat till $ tjutåkaren $ $ och erhålla konduktör bl $	skulle en af konduktörerna till expeditionen införa en gynnare som “ tjufåkt " , mea han anfölls då i väntsalen med hugg ooh slag af ett tjugotal kamrater till “ tjutåkaren " , och erhöll konduktören bl . 	35	konduktr
sorn önska med en jul eller nyårsgåfva uppmuntra kusk och konduktör på spärr ägsliniema getebergsängen och redbergslid $	sorn önska med en Jul- eller Nyårsgåfva uppmuntra kuskar och konduktörer på Spärr ägsliniema Getebergsängen och Redbergslid . 	10	konduktr
kuska ock konduktör vid spårvägsliuierna getebergsäugen och mo 1581 $	Kuskar ock Konduktörer vid spårvägsliuierna Getebergsäugen och MO 1581 . 	2	konduktr
konduktör och paclcmästareförening ha i gå sitta fjerde årsmöte å drottningholm under ordförandeskap af öfverkonduktör hassel från ystad fullmakt ha aflemna af 39 person och en stor antal föreningsmedlem med dam deltogo i möte $	konduktörs- och paclcmästareförening hade i går sitt fjerde årsmöte å Drottningholm under ordförandeskap af Öfverkonduktör Hassel från Ystad Fullmakter hade aflemnats af 39 personer och ett stort antal föreningsmedlemmar med damer deltogo i mötet . 	0	konduktr
konduktör å denna tåg upp $ att han samtala med johansson vid tåg framkomst till jörn station $ der johansson sålunda vara vid lif $	Konduktören å detta tåg uppgaf , att han samtalat med Johansson vid tågets framkomst till Jörns station , der Johansson sålunda var vid lif . 	0	konduktr
de misshandla konduktör lära ha anmäla slagskämpe bo vederbörande kronolär swan $	De misshandlade konduktörerna lära ha anmält slagskämparne bos vederbörande kronolär swan . 	2	konduktr
vagn vara naturligtvis anförtro åt en bepröfvad och ärlig konduktör $	vagn är naturligtvis anförtrodd åt en bepröfvad och ärlig konduktör . 	9	konduktr
$ $ höra nu kär fru $ säga konduktör $ pojke vara väl redan öfver den ålder $ som måste betala $	• — Hör nu kära frun — säger konduktören — pojken är väl redan öfver den ålder , som måste betala . 	8	konduktr
ankomma till åsa station $ skola man af konduktör till expedition införa en gynnare som $ tjufåkt $ $ men han anfalla då i väntsal med hugg och slag af en tjugotal kamrat till $ tjufåkaren $ $ och erhålla konduktör bl $	ankommit till Åsa station , skulle en af konduktörerna till expeditionen införa en gynnare som “ tjufåkt ” , men han anfölls då i väntsalen med hugg och slag af ett tjugotal kamrater till ” tjufåkaren " , och erhöll konduktören bl . 	40	konduktr
sticka fram ur en hop af spillra och venstra arm hänga utom vagn vägg en öfrig person $ passagerare och järnvägsbetjänte $ hvilka omkomma vid olycka $ fram fiäfdes länge fram ur spillra och efunnos vara ej föga än nio $ maskiuöfvericgeniören frans gustaf anrep och en i han sällskap vara fruntimmer $ den ofvannämnda lokomotivförare johan andersson $ eldare söderberg på uppgå tåg $ eldare wallner på nedgående tåg $ stationskarl $ andra konduktör svensson $ smörjarne larsson och kjelldal samt en okänd arbelsklädd passagerare $	stack fram ur en hop af spillror och venstra armen hängde utom vagnens väggar De öfriga personer , passagerare och järnvägsbetjänte , hvilka omkommit vid olyckan , fram- fiäfdes längre fram ur spillrorna och efunnos vara ej mindre än nio : maskiuöfvericgeniören Frans Gustaf Anrep och ett i hans sällskap varande fruntimmer , den ofvannämnda lokomotivföraren Johan Andersson , eldaren Söderberg på uppgående tåget , eldaren Wallner på nedgående tåget , stationskarlen , andre konduktören Svensson , smörjarne Larsson och Kjelldal samt en okänd arbelsklädd passagerare . 	74	konduktr
$ den konstituera bolagsstämma när en konduktör $ ha han åka under 162 nätmast äro att vidta för att ändtligenjter med nattåg $ kilometer $ med pergå från ord till handling i och för $ sontåg 15 $ 405 $ med blandadt tåg $ 4 $ 620 $ ande till verkställighet af förslag om med godståg $ och med extratåg 256 enna för såväl skara samhälle och en eller sammanlagdt på en år $ kiloorter bana vara afse att genomlöpa meter $ hvarjemte han under sig resa	, den konstituerande bolagsstämman när- en konduktör , har han åkt under 162 nätmast äro att vidtaga för att ändtligenjter med nattåg 20,870 kilometer , med pergå från ord till handling i och för brin- sontåg 15 , 405 , med blandadt tåg , 4 , 620 , ande till verkställighet af förslaget om med godståg 15,205 och med extratåg 256 enna för såväl Skara samhälle och de eller sammanlagdt på ett år 56,356 kiloorter banan är afsedd att genomlöpas meter , hvarjemte han under sina resor 	6	konduktr
