sentence_lemma	sentence_token	target_index	original_word
någon år i medium af 1860 tal kassör vid avesta bruk $	några år i mediet af 1860 talet kassör vid Avesta bruk . 	3	medium
vid denna tid $ i medium af juli $ ej länge riktig säker $ åtskillig remna i massa och den vild fors i klyfta derunder göra vi också betänksam $ men vi följa ledare trygg steg $	vid denna tid , i mediet af juli , ej längre riktigt säker ; åtskilliga remnor i massan och den vilda forsen i klyftan derunder gjorde oss också betänksamma , men vi följde ledarens trygga steg . 	5	medium
hvadan medium af afgift i själfva verk utgöra endast kr $	hvadan medium af afgiften i själfva verket utgör endast kr . 	1	medium
medium af mars $ väg beforos med hjuldon omkring den $ i nämda månad $	medium af mars , vägarna beforos med hjuldon omkring den $0 i nämda månad . 	0	medium
medium af en 5 sista år afgift l $ $ 2 per 1 $ kr ansvarighet $	Medium af de 5 sista årens afgifter l . ; 2 per 1 1,000 kr ansvarighet . 	0	medium
medium af en 5 sista år afgift $ per $ kr $	Medium af de 5 sista årens afgifter 1,73 per 1,000 kr . 	0	medium
på $ $ $ hvadan medium af af gifte i sjelfva verk utgöra endast krm 1 $ $ $ afsätta till reservfond $ sorn uppgå till $ kr $	på 1,000 kr. , hvadan medium af af giften i sjelfva verket utgör endast krm 1 , r.i ) afsatte till reservfonden , sorn uppgår till 51,000 kr . 	5	medium
mål mot predikant norberg vara nu afgjordt inom hög domstol $ och beslut komma i medium af innevarande vecka att blifva expedieradt $	Målet mot predikanten Norberg är nu afgjordt inom högsta domstolen , och beslutet kommer i mediet af innevarande vecka att blifva expedieradt . 	15	medium
åtta tunna strid säd $ hvaraf i ärlig lön sex styck rådman upbära hvardera 30 dr och stads notarie 900 dr krmt $ men öfwer skott borgmästare $ som i anseende till den olik förhållande $ som hvarje år härvid sig förete $ magistrat väl ej kunna stipulera till någon viss summa i penning $ men utgjör efter en årligit medium ta $ 1500 dr knut $ liwacwid magistrat tillika få deli iiran i lika ödmjukhet inberätta $ at magistrat icke nu för tid inneha någon särskild de anslag emhetsjord till nyttjande $ vid än borgmästare den så kalla borgmästareholmen $ som gifwer efter medelmåttig årsväxt circa 6 lass hårdvallshö $ hwarjämte han ny jar bete i liten långhällan för 3ne ko $ så at aflöningsstat vara nog knapp $ hvarför altså borgerskap af egen medel bestrida en nödig utgift till stad upprätthållande $ som årligen utgå efter en proportionerlig uttaxering $ till hwilka utgift utgjörande magistrat aldrig sakna de berömvärd beredvillighet $	åtta tunnor strid säd — hvaraf i ärlige löner sex stycken Rådmän upbära hvardera 30 dr och Stads Notarien 900 dr krmt , men Öfwer skottet Borgmästaren , som i anseende till det olika förhållande , som hvarje år härvid sig företer , Magistraten väl ej kan stipulera till någon viss summa i penningar , men utgjör efter ett årligit medium tagit — 1500 dr knut ; liwacwid Magistraten tillika får deli iiran i lika ödmjukhet inberätta , at Magistraten icke nu för tiden innehar någon särskilt dem anslagen Emhetsjord till nyttjande , vidare än Borgmästaren den så kallade Borgmästareholmen , som gifwer efter medelmåttig årsväxt circa 6 lass hårdvallshö , hwarjämte han nytt jar betet i lilla långhällan för 3ne kor , så at aflöningsstaten är nog knapp ; hvarför altså Borgerskapet af egna medel bestrider de nödiga utgifter till Stadens upprätthållande , som årligen utgå efter en proportionerlig uttaxering , till hwilka utgifters utgjörande Magistraten aldrig saknat deras berömvärda beredvillighet . 	60	medium
sig $ $ för arkivstudie tor drottning kristina historia $ n $ i paris $ hvarifrån han först i medium af nästa månad vara att förvänta hem $	sig prof. W. för arkivstudier tor drottning Kristinas historia f. n . i Paris , hvarifrån han först i mediet af nästa månad är att förvänta hem . 	19	medium
