sentence_lemma	sentence_token	index_lemma	index_token	lemma
någon motiv fara sig handling kunna han icke uppgifva $	Något motiv for sin handling kan han icke uppgifva . 	1	1	motiv
den första hlodet för rösträttssaken ej må bli oåtkomlig för preskription $ be hon att ej länge likgiltig åse hur den subaltern omdömeslöshet inta hon plats och igenom sig beteende gifver upphof åt den tro att den vara med hon god minne polis förfara så som ske och att den dold motiv vara önskan att med sabelhugg slå ned en hittills obetviflad rätt $ utöfva af hederlig $ fredlig person utan förfång för någon $	det första hlodet för rösträttssaken ej måtte bli oåtkomligt för preskription , bedja henne att ej längre likgiltigt åse hur den subalterna omdömeslösheten intager hennes plats och igenom sitt beteende gifver upphof åt den tron att det är med hennes goda minne polisen förfarit så som skett och att det dolda motivet varit önskan att med sabelhugg slå ned en hittills obetviflad rätt , utöfvad af hederliga , fredliga personer utan förfång för någon . 	51	51	motiv
örn motiv till sjn gerning lemna attentator ej heller någon upplysning $	Örn motiven till sjn gerning lemnade attentatorn ej heller någon upplysning . 	1	1	motiv
hvarje dag framkomma en ny anklagelse $ först få man veta $ att den opraktisk anlägga $ mycket klandra örlogshamn i majunga vara en verk af en ung ingeniör $ som ha den afundsvärd lycka att kalla en minister för onkel $ så heta den $ att militärapotek lemna mycket öfrig att önska $ $ $ $ af all denna klagomål torde många alls icke vara ogrundad $ men äfven örn expedition skola vara så usel iscensätta $ som en mången tidning påstå $ förefalla den likväl som örn den rastlös ifver $ med hvilken denna anfalla $ $ ha ännu andra $ djup ligga $ politisk motiv $	Hvarje dag framkommer en ny anklagelse : först får man veta , att den opraktiskt anlagda , mycket klandrade örlogshamnen i Majunga vore ett verk af en ung ingeniör , som hade den afundsvärda lyckan att kalla en minister för onkel ; så heter det , att militärapoteket lemnar mycket öfrigt att önska , o. s. v. Af alla dessa klagomål torde många alls icke vara ogrundade ; men äfven örn expeditionen skulle vara så uselt iscensatt , som de flesta tidningarna påstå , förefaller det likväl som örn den rastlösa ifver , med hvilken dessa anfalla Madagaskar-företaget , hade ännu andra , djupare liggande , politiska motiv . 	107	107	motiv
finansminister miquel svara $ att han icke upp hopp om att strombeck $ sedan han få höra rege ring motiv $ skola upphöra med att se denna svår nationell och politi skola fråga från sig nuvarande synpunkt och låta sig öfvertyga örn att utvis ningarna voro en nationell nödvän dighet $	Finansministern Miquel svarade , att han icke uppgifvit hoppet om att Strombeck , sedan han fått höra rege ringens motiv , skulle upphöra med att se denna svåra nationella och politi ska fråga från sin nuvarande synpunkt och låta sig öfvertygas örn att utvis ningarna voro en nationell nödvän dighet . 	19	19	motiv
motiv afslogos visserligen $ men de innebära enligt $ bfndes åsikt en ny tanke $ värd uppmärksamhet och hvars realiserande hel säker skola komma att öka antal af väl vårda skog $ hvilket $ äfven med en inköp $ stat nu göra $ måste anse välbehöfligt $	Motiven afslogos visserligen , men de innebära enligt k. bfndes åsikt en ny tanke , värd uppmärksamhet och hvars realiserande helt säkert skulle komma att öka antalet af väl vårdade skogar , hvilket , äfven med de inköp , staten nu gör , måste anses välbehöfligt . 	0	0	motiv
hvem må derför förtänka simorreus $ att han 1717 begära en gratial af 8 tunna årligen $ så mycket liten när man iur i betraktande en af han anföra bebjertensvärda motiv till denna ansökan såsom 1 $ att han $ länge träla med collegetet i nyköping och nu vara en gammal utarbeta man $ $ 2 $ att boställe vara så klen $ att $ ingen pastor härstädes i mannaminne egt sofvel till bröd $ $	Hvem må derför förtänka Simorreus , att han 1717 begär ett gratial af 8 tunnor årligen , så mycket mindre när man iur i betraktande de af honom anförda bebjertensvärda motiven till denna ansökan såsom 1 ) att han » länge trälat med collegetet i Nyköping och nu är en gammal utarbetad man » , 2 ) att bostället är så klent , att » ingen pastor härstädes i mannaminne egt sofvel till bröd » . 	30	30	motiv
hvilka besök äga rum $ visa att möte mellan tyskland och österrike främst statsman ha andra och viktig motiv än blott och bar höflighet $	hvilka besöket äger rum , visa att mötet mellan Tysklands och Österrikes främste statsmän har andra och viktigare motiv än blott och bart höflighet . 	18	18	motiv
att motiv till denna själfmord ha vara sinnesförvirring $ därom kunna ej rå tvifvel $	Att motivet till detta själfmord har varit sinnesförvirring , därom kan ej råda tvifvel . 	1	1	motiv
motiv till inköp ha nära vara litt assurera $ $ mot en eventuell följd af mellaorikslagens upphörande $	Motivet till inköpet har närmast varit litt assurera St. T. mot de eventuella följderna af mellaorikslagens upphörande . 	0	0	motiv
afstyrka på samma grund bifall och $ $ beslut lil falla i enlighet dermed utan någon som gärna motiv i öfrig $	afstyrkte på samma grund bifall och k. m:ts beslut lil föll i enlighet dermed utan något som helst motiv i öfrigt . 	18	18	motiv
planmessigbet $ ordning och konseqvens i val af motiv för olis handling kalla karaktär $	Planmessigbet , ordning och konseqvens i valet af motiv för olis handlingar kallades karaktär . 	8	8	motiv
så svag voro en motiv $ som å gammal landtmannaparti sida ställa sig som bestämma $ ty den kunna icke vara mer än en mening om $ hvem som vid denna återförening få ta den stor snedprånget och bekväm sig till den mycket gravera affall $	Så svaga voro de motiv , som å gamla landtmannapartiets sida ställde sig som bestämmande , ty det kan icke vara mer än en mening om , hvem som vid denna återförening fått taga det största snedprånget och bekväma sig till det mest graverande affallet . 	4	4	motiv
