sentence_lemma	sentence_token	index_lemma	index_token	lemma
för någon vecka sedan gå genom press en notis $ som på en ganska slå sätt belysa $ huru vi svensk landtmän försumma man af jordbruk naturlig binäring $ tyvärr kunna nog rätt många motstycke till denna notis uppleta för att emellertid nu hålla vi uteslutande till denna $ gå den ut på att lemna en öfverblick på den sen årtionde statistik rörande vi export och import af ägg $ de för vi ganska sorglig siffra $ sig därvid på följa sätt $ import $ export $	För några veckor sedan gick genom pressen en notis , som på ett ganska slående sätt belyste , huru våra svenska landtmän försumma en af jordbrukets naturligaste binäringar — tyvärr kunna nog rätt många motstycken till denna notis uppletas För att emellertid nu hålla oss uteslutande till denna , gick den ut på att lemna en öfverblick på det senaste årtiondets statistik rörande vår export och import af ägg ; de för oss ganska sorgliga siffrorna tedde sig därvid på följande sätt : Import , Export . 	8	8	notis
u bi mycket glad $ då fru perri6s och fröken burdenne kommo på besök för att få höra nära detalj örn den notis $ som stå att läsa i dag tidning $ hvilken vara allmän samtalsämne i hel wesborough $	Una biet mycket glad , då fru Perri6s och fröken Burdenne kommo på besök för att få höra närmare detaljer örn den notis , som stått att läsa i dagens tidning , hvilken var allmänt samtalsämne i hela Wesborough . 	22	22	notis
ia finna kort i hon ficka $ $ han torka bort från panna en tung svettdropparne och genomläsa ånyo notis $	ia funnit kortet i hennes ficka ! » Han torkade bort från pannan de tunga svettdropparne och genomläste ånyo notisen . 	19	19	notis
konung omgifning vara sträng förbjuda att meddela tidning notis om när h $ $ konferera med den hemlig utskott $	Konungens omgifning är strängt förbjuden att meddela tidningarna notiser om när h . m:t konfererar med det hemliga utskottet . 	8	8	notis
passagerare från london $ som ämna resa med hullångare till göteborg $ behöfva ej lämna london förrän på lördag morgon $ hvarom vi erinra $ då af misstag i förra notis härom stå söndag morgon $	Passagerare från London , som ämna resa med Hullångare till Göteborg , behöfva ej lämna London förrän på lördags morgon , hvarom vi erinra , då af misstag i förra notisen härom stod söndags morgon . 	30	30	notis
vara namn på en liten hem $ om hvars tillvaro handelstidning läsare genom en notis $ såvida den ej undgå uppmärksamhet $ redan få någon kännedom $	är namnet på ett litet hem , om hvars tillvaro Handelstidningens läsare genom en notis , såvida den ej undgick uppmärksamheten , redan fått någon kännedom . 	14	14	notis
afven af herr $ storkirch ha man kun nat vänta $ att han skola inse $ att en $ notis jägare $ sträfsamma yrke kunna vara full lika hedervärd och gagna som $ $ m $ en hofmarskalk $	Afven af herr v. Storkirch hade man kun nat vänta , att han skulle inse , att en » notis jägares » sträfsamma yrke kan vara fullt lika hedervärdt och gagnande som t. o. m . en hofmarskalks . 	19	19	notis
med god tidningsmannased $ att den blad $ som först meddela en notis $ få inta rättelse deraf om sån vara nödvändig $ då vi i vi ordning med citera af samma källa kunna göra den efter $	med god tidningsmannased , att det blad , som först meddelat en notis , får intaga rättelsen deraf om sådant är nödvändigt , då vi i vår ordning med citerande af samma källa kunna göra det efter . 	12	12	notis
nödvändig den vara att hafva lämplig räddningsredskap till hands visa i $ $ då som i notis här nedan omförmäla $ i härvarande hamn en liten flicka hålla på att drunkna midt för öga på hundratal person $ hvilka hel viss vilja göra all för att rädda hon $ men nu i brist på nödig redskap måste stå der och overksam åse den hjärtslitande dödskamp där ute bland isstycke $	nödvändigt det är att hafva lämplig räddningsredskap till hands visades i går , då som i notisen här nedan omförmäles , i härvarande hamn en liten flicka höll på att drunkna midt för ögonen på hundratals personer , hvilka helt visst ville göra allt för att rädda henne , men nu i brist på nödig redskap måste stå der och overksamma åse den hjärtslitande dödskampen där ute bland isstyckena . 	16	16	notis
nyligen ha $ eller hvad säga örn följan de notis i den sen nummer $	nyligen haft , eller hvad sägs örn följan de notis i dess senaste nummer ! 	9	9	notis
