sentence_lemma	sentence_token	target_index	original_word
innan vi gå vid $ stanna vi en ögonblick vid en nära fem fintryckta sida 158 $ 163 $ som inrymma en exposé af den harnackska uppfattning af apostolicum $	Innan vi gå vidare , stanna vi ett ögonblick vid de nära fem fintryckta sidorna 158 — 163 , som inrymma en exposé af den Harnackska uppfattningen af apostolicum . 	26	uppfattning
den måste erkänna $ och otvifvelaktig porträttlik $ men likväl af tämligen prosaisk uppfattning och säga vi jusi ingenting $	det måste erkännas , och otvifvelaktigt porträttlikt , men likväl af tämligen prosaisk uppfattning och säger oss jusi ingenting . 	13	uppfattning
af en dylik tillkännagifvande $ offentliggjordt på sjelfva den hög födelsedag $ vara den rätt naturlig att en mången skola få den uppfattning $ att konung med varm hand skänka $ krona till den välgörande ändamål och för en viss uppgifvet fall eventuel utlofva en lika stor summa $	Af ett dylikt tillkännagifvande , offentliggjordt på sjelfva den höga födelsedagen , var det rätt naturligt att de flesta skulle få den uppfattningen , att konungen med varm hand skänkt 20,000 kronor till det välgörande ändamålet och för ett visst uppgifvet fall eventuelt utlofvat en lika stor summa . 	22	uppfattning
der ha man måhända nära och med stor ifver än i någon annan politisk centrum studera den orientalisk fråga i den laser $ och den utbyte af åsigt $ som nyligen egt rum mellan ryssland oell $ leda man $ gifver uppfattning i donaustaden en särskild betydelse $	Der har man måhända närmare och med större ifver än i något annat politiskt centrum studerat den orientaliska frågan i dess laser , och det utbyte af åsigter , som nyligen egt rum mellan Rysslands oell Österrike-Ungerns ledande män , gifver uppfattningen i Donaustaden en särskild betydelse . 	41	uppfattning
den vara i japan den allmän uppfattning $ att krig icke vara öfverståndet $	Det är i Japan den allmänna uppfattningen , att kriget icke är öfverståndet . 	6	uppfattning
$ då böra ni ha bra uppfattning af hon son $ tycka jag $	— Då borde ni ha bättre uppfattning af hennes son , tycker jag . 	6	uppfattning
dels $ på grund af den ovanlig ringa barnantal och dels till följd af lärare hög ålder $ och blef denna skolråd uppfattning af stämma gilla och anta $ till församlingsombud vid den till den 30 maj $ ekonomisk besiktning å $ och klockareboställena utsågos nises lars andersson i åkerö ooh nygårds lars olsson i nor $ fråga örn intagning och lästid m $ m $ $ som stämma för den blifvande skolreglemente egde att bestämma $ uppskjuta tills vid $ ångbåtstrafik ä siljan ärm snar i full gång $ i den att ångare gustaf wasa nu uppta sig tur mellan mora och insjö $ och flottningsbolag ångare nu börja sig verksamhet för år $ ångare rättvik vänta till leksand den 16 maj för $ gång i år $ men antaglig vara $ att den till följd af den inåt rättvik drifna is måste ännu någon dag uppskjuta resa $ skrifves den 15 denna till länstidningen $	dels * på grund af det ovanligt ringa barnantalet och dels till följd af lärarens höga ålder , och blef denna skolrådets uppfattning af stämman gillad och antagen , Till församlingsombud vid den till den 30 maj utsatta ekonomiska besiktningen å komministers- och klockareboställena utsågos Nises Lars Andersson i Åkerö ooh Nygårds Lars Olsson i Noret , Frågan örn intagning och lästid m . m . , som stämman för det blifvande skolreglementet egde att bestämma , uppsköts tills vidare , Ångbåtstrafiken ä Siljan ärm snart i full gång , i det att ångaren Gustaf Wasa nu upptagit sina turer mellan Mora och Insjön , och flottningsbolagets ångare nu börjat sin verksamhet för året , Ångaren Rättvik väntades till Leksand den 16 maj för första gången i år , men antagligt är , att den till följd af den inåt Rättviken drifna isen måste ännu några dagar uppskjuta resan — skrifves den 15 dennes till Länstidningen . 	22	uppfattning
i nineteenth century kritisera gladstone för någon tid sedan mrs besants skildring af den konventionell ortodox försoningsteori $ han söka vederlägga hon uppfattning ooh fram sig egen i tolf punkt $	I Nineteenth Century kritiserade Gladstone för någon tid sedan mrs Besants skildring af den konventionella ortodoxa försoningsteorien ; han sökte vederlägga hennes uppfattning ooh framstälde sin egen i tolf punkter . 	22	uppfattning
sedan hon lemna kupé $ emellertid ej direkt till expedition utan i riktning mot norra utgångsgrinden $ hvadan konduktör häraf få den uppfattning $ att hon ämna utan vid aflägsna sig $	sedan hon lemnat kupén , emellertid ej direkt till expeditionen utan i riktning mot norra utgångsgrinden , hvadan konduktören häraf fick den uppfattning , att hon ämnade utan vidare aflägsna sig . 	22	uppfattning
när man lefver ensam i rukhen $ få man en annan uppfattning än förut af mången saka och ting $	När man lefver ensam i rukhen , får man en annan uppfattning än förut af många sakar och ting . 	11	uppfattning
men om denna få sig något egendomlig uppfattning af hvad en ordning upprätthållare egna korrigera $ därom veta nia intet $	Men om denne fått sin något egendomliga uppfattning af hvad en ordningens upprätthållare egnar korrigerad , därom vet nian intet . 	7	uppfattning
torde erinra sig $ att för icke många år bodag uppohöll sig här i wien en kinesisk statsman $ till hvil hen beröm man säga $ att linn egde en stor menniskokännedom och en riktig uppfattning nf förhållande $	torde erinra sig , att för icke många år Bodan uppohöll sig här i Wien en kinesisk statsman , till hvil hens beröm man sagt , att linn egde en stor menniskokännedom och en riktig uppfattning nf förhållandena . 	35	uppfattning
